placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88fb9e1584f863df:0xefa9628ed85fb1fd!8m2!3d32.0617016!4d-81.0964394!16s%2Fg%2F1tf5lhr1!19sChIJ32P4hBWe-4gR_bFf2I5iqe8,Mavis Tires & Brakes,4.7,1801,Tire shop,· In-store pick-up,"101 E Anderson St, Savannah, GA 31401, United States","3W63+MC Savannah, Georgia, USA",https://www.mavis.com/locations/savannah-anderson-st-ga?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=861,+1 912-208-6770,Open · Closes 6 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep3-8w9fQXny7x7FX58oSS_5DzXDx8mV7soxk0_0h5d_RWIm2tKC9_p-7jeRp23UvTDrYDD7NsmaJOYsZttsqXdXEn98EbexZ6fIl-NGNowS58XBPm47UpbLaRLVJNvfCltdTfX=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:09.509Z,,
https://www.google.com/maps/place/Waters+24+Hour+Tire+Service+and+Roadside+Assistance/data=!4m7!3m6!1s0x88fb9f72f5551ec5:0xc6a91801d95264c3!8m2!3d32.0909261!4d-81.1259802!16s%2Fg%2F11t74l9d3m!19sChIJxR5V9XKf-4gRw2RS2QEYqcY,Waters 24 Hour Tire Service and Roadside Assistance,4.3,85,Used tire shop,,"2308 W Bay St, Savannah, GA 31415, United States","3VRF+9J Savannah, Georgia, USA",,+1 912-596-2990,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbSfCIX6zjDHj6yd77144CM6keBagEvvli_vpGbMePu0IB9W4ZD9bCPMA3NTTLEtDb6ZlYQLynyDy1etdHZRuz46RF6_twnSXN-85nvg_C-7X403iJGYFM7piUjABizQj2L8jgp5keg_AH=w408-h725-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:14.805Z,,
https://www.google.com/maps/place/Barnes+Tire+%26+Brakes/data=!4m7!3m6!1s0x88fb9fdc87986b69:0xf019412203c88c65!8m2!3d32.0550434!4d-81.1359034!16s%2Fg%2F11ckcj1hft!19sChIJaWuYh9yf-4gRZYzIAyJBGfA,Barnes Tire & Brakes,4.5,189,Tire shop,· In-store pick-up,"3310 Ogeechee Rd, Savannah, GA 31405, United States","3V47+2J Savannah, Georgia, USA",https://www.bp.com/en_us/united-states/home.html,+1 912-236-9112,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqG0m9rfiaw4WC2DK8Z-k24NYtmbtisUlM2hUHFFDaJlFt2alHe6gXjIUsepjudXtDOvYmloskDgfqC8T9S3xx_BrZ0a4s0Xo5l7Ef8eWFyi_RhIFNw6K4bhdr_P0_ZK1lJ8kl-QA=w408-h544-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:19.190Z,,
https://www.google.com/maps/place/JACOBO+TIRES+LLC/data=!4m7!3m6!1s0x88fb9f796281c77d:0x3c948bcde19b4fe7!8m2!3d32.0571479!4d-81.1211776!16s%2Fg%2F11ght9flg1!19sChIJfceBYnmf-4gR50-b4c2LlDw,JACOBO TIRES LLC,4.5,127,Tire shop,· In-store shopping,"2701 Ogeechee Rd, Savannah, GA 31405, United States","3V4H+VG Savannah, Georgia, USA",https://www.facebook.com/jacobotiresllc,+1 912-245-0674,Open · Closes 6 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerSZu-93TsnJ27Ku1E-o0zWkJ9aMOYNzBigP6z1iDOrjS1mKZZCAQC8-NJiH6_N1bprv4v_M2Pc1lmMcfOH1_FQbYXkSMq_KUu2HC-N3vUKoZmd-7OuPQ1zPPbNEUZJfU3z6KHZ=w426-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:23.556Z,,
"https://www.google.com/maps/place/Parrish+Auto+Repair,+Inc./data=!4m7!3m6!1s0x88fb9e187139cd05:0xbd0b54250b4d0fa1!8m2!3d32.0523753!4d-81.0973322!16s%2Fg%2F1tf36tk1!19sChIJBc05cRie-4gRoQ9NCyVUC70","Parrish Auto Repair, Inc.",4.5,173,Auto repair shop,,"2501 Habersham St, Savannah, GA 31401, United States","3W23+X3 Savannah, Georgia, USA",https://www.facebook.com/parrishautorepairsavannah/,+1 912-236-4797,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepJFRp6vhBnSctgMxVrRvXH9KsNxuYU4OsSZGyUAPqlh6d_ugD_ifI5sJMU1S2kLK2cj6g7Xe0BbIxSEbOxU3NxKFthCofSgBx5G17Tvw1ty4VpvRKv_7SznAgsdyfWVRIDNvXKfA=w408-h544-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:27.975Z,,
https://www.google.com/maps/place/Affordable+Tunes+%26+Tires/data=!4m7!3m6!1s0x88fb9e3bc8f0a115:0xcaf1856bf5027741!8m2!3d32.0592102!4d-81.1053979!16s%2Fg%2F1tf5lhr6!19sChIJFaHwyDue-4gRQXcC9WuF8co,Affordable Tunes & Tires,5.0,1,Tire shop,,"2005 Martin Luther King Jr Blvd, Savannah, GA 31415, United States","3V5V+MR Savannah, Georgia, USA",,+1 912-433-6697,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5xa8N1F4Ms3gjUAtkyZN7npLIHPDQe98DZH-y2BzcCOxpKt_Iwtdqn5Yd8KHjvc3AwtesLalGopc1HuVZMiZw4z67P_-cltoLKD5aH_SrhWEFg-A0DYG5SSPMe-SCkYah_DA=w408-h544-k-no,true,11 am–5 pm,11 am–5 pm,11 am–5 pm,11 am–5 pm,11 am–5 pm,11 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:32.324Z,,
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88fb9df8095b156b:0x2662230553bd95f!8m2!3d32.0409999!4d-81.0654239!16s%2Fg%2F11f40zs554!19sChIJaxVbCfid-4gRX9k7VTAiZgI,Mavis Tires & Brakes,4.6,1633,Tire shop,· In-store pick-up,"2045 E Victory Dr, Savannah, GA 31404, United States","2WRM+9R Savannah, Georgia, USA",https://www.mavis.com/locations/savannah-victory-dr-ga?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=669,+1 912-208-9914,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweormqtrsq_q3z_HG3sNc6hvdWGOdrhyI4zxT4dPUOuF2S5XldXxiJs-tSMK4APzW_s3lBT8z2UwNvQDtFOKUrbsW25eUG5bOEfzN8nATHe49aAV5Bp2jUTtBPWQCOjfHLjnTzc=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:37.244Z,,
https://www.google.com/maps/place/Nevels+Mobile+Tires+and+Brakes+Service/data=!4m7!3m6!1s0x88fb9fd1fb38ad19:0x50fa56f37640e1e!8m2!3d32.0588745!4d-81.1109983!16s%2Fg%2F11kjpjy766!19sChIJGa04-9Gf-4gRHg5kN2-lDwU,Nevels Mobile Tires and Brakes Service,4.1,9,Mechanic,,"911 W 38th St, Savannah, GA 31415, United States","3V5Q+GJ Savannah, Georgia, USA",,+1 912-358-9508,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOm8PPU4LOVx0E7JvmLgggAOMvLnR61Olw7Pjl08pXLHcEmjla_2qIhtLRQ1guOnwsoiEF2ZKpcqR4s7MgVYeWmpB-59blgUSA6eOK9S0mHMt0PzNC56vpQ0Ql8bHU-DvaA4BB=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:41.787Z,,
https://www.google.com/maps/place/Auto+Intensive+Care/data=!4m7!3m6!1s0x88fb9dda28afa85b:0xb59bee65edc54785!8m2!3d32.0719947!4d-81.0651473!16s%2Fg%2F12614_09_!19sChIJW6ivKNqd-4gRhUfF7WXum7U,Auto Intensive Care,4.8,552,Auto repair shop,,"1680 E President St, Savannah, GA 31404, United States","3WCM+QW Savannah, Georgia, USA",https://autointensivecare.com/,+1 912-622-6534,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersQ2mr5HKhZeSCtXUNAzM1dLBFidd6M50rb-qiQJfs8XOT_c6pt5PgNCDk4hmqG5On1FB9cWqE_O10VMagKa3u3o6dkmnyn4GqxkMKRChoVhY7b1DLessDdP6UCbMcO8TW1ETpiA=w425-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:46.374Z,,
https://www.google.com/maps/place/M%26M+Truck+and+Tire/data=!4m7!3m6!1s0x9f42822ce81de09:0x807162ca8ba3ecaa!8m2!3d32.0778021!4d-81.133904!16s%2Fg%2F11wx4lj545!19sChIJCd6BziIo9AkRquyji8picYA,M&M Truck and Tire,5.0,8,Tire service,,"1018 Lynes Ave, Savannah, GA 31415, United States","3VH8+4C Savannah, Georgia, USA",https://mandmtruckandtire.com/,+1 912-901-6841,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer6wkJSA2K88wDBgIdVD3RmngDtrdLBpVmb1F0oUXxlYVoO4ibV87uO1A1oRAPSp16TI-6yIvoqXN8Sc-eghuYfETGG_51e3-P72nxiC43Z5UdjFEFCkbXuFqVqTa8k5Hni5UUC=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:50.729Z,,
https://www.google.com/maps/place/RNR+Tire+Express/data=!4m7!3m6!1s0x88fb759c622f8e6d:0xdd79ee65e6b5c28e!8m2!3d32.0294305!4d-81.1146472!16s%2Fg%2F1tzgkhgq!19sChIJbY4vYpx1-4gRjsK15mXued0,RNR Tire Express,4.6,1324,Tire shop,· In-store shopping · In-store pick-up,"125 W Derenne Ave, Savannah, GA 31405, United States","2VHP+Q4 Savannah, Georgia, USA",https://www.rnrtires.com/tire-shop-near-me/georgia/savannah/125-w-de-renne-ave/?utm_campaign=gmb,+1 912-691-2274,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepf4uT160h6YLqr3Q3y27KLdJygjoHLavyj9wh-j_LnXdhihT9IV4XTfA0xbGWLAzUSNPL9W4p2IaRtfNFmmmp4E3sPYIZ3KTd3VYn6ADK1Tw2mR5Boh77Rdfh69I1i98Jcj99z=w426-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:55.243Z,,
https://www.google.com/maps/place/Savannah+Car+Care/data=!4m7!3m6!1s0x88fb9dfe24868d1b:0xc151a199a86d9a46!8m2!3d32.0447719!4d-81.0748484!16s%2Fg%2F1tk1zxc3!19sChIJG42GJP6d-4gRRpptqJmhUcE,Savannah Car Care,4.4,409,Auto repair shop,,"1631 E Victory Dr, Savannah, GA 31404, United States","2WVG+W3 Savannah, Georgia, USA",https://www.savannahcarcare.com/,+1 912-354-8453,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepThfwFxaw7eeeDMkalk0KLxW13jBZ6g91qWprB7UsgiuEbNyVELt1O1bvVRFSL_4Q9GTebjAagjQRzVYvSliG90PPTRG2XdLmzWs9B9E0ojBPqydRP7wjyRabJ09eooCcn4YhPSA=w408-h272-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-03-23T15:38:59.745Z,,
