placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,isBlackOwned
https://www.google.com/maps/place/St.+Croix+Hospice/data=!4m7!3m6!1s0x87c10329b00877a5:0x9511ec446904a5fe!8m2!3d39.07878!4d-94.3925947!16s%2Fg%2F11r3mdbs74!19sChIJpXcIsCkDwYcR_qUEaUTsEZU,St. Croix Hospice,4.7,7,Hospice,"1524 East 23rd St S Suite 101, Independence, MO 64055, United States","3JH4+GX Independence, Missouri, USA",https://www.stcroixhospice.com/independence-mo/?utm_source=google&utm_medium=organic&utm_content=gmb%20listing&utm_campaign=independence%20,+1 816-379-3302,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNcPQ0f0iWr97ieMQkCIzf3nmYHzCBj2MOTNAoj=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:25.306Z,,
https://www.google.com/maps/place/One+Community+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x87c0e1ff002685e5:0xd5f560908d15c373!8m2!3d39.0449692!4d-94.4069202!16s%2Fg%2F1jgm5hxpx!19sChIJ5YUmAP_hwIcRc8MVjZBg9dU,One Community Hospice & Palliative Care,4.8,39,Hospice,"14700 E 42nd St S, Independence, MO 64055, United States","2HVV+X6 Independence, Missouri, USA",https://www.onecommunityhospice.com/,+1 816-836-1096,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMiupXJaDD6pPDWptj7O2iYzcDfbH6KRPBQXuXH=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:31.244Z,,
https://www.google.com/maps/place/Missouri+Palliative+%26+Hospice+Care/data=!4m7!3m6!1s0x87c0e2be9007f68d:0xc5abd423cafe35fc!8m2!3d39.0535613!4d-94.4136939!16s%2Fg%2F11hcfp64gf!19sChIJjfYHkL7iwIcR_DX-yiPUq8U,Missouri Palliative & Hospice Care,4.9,31,Hospice,"3675 S Noland Rd #225, Independence, MO 64055, United States","3H3P+CG Independence, Missouri, USA",http://www.missourihc.com/,+1 816-401-9836,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oUFSYRxJFitizaSafxvbtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.63527&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:36.696Z,,
https://www.google.com/maps/place/Good+Shepherd+Hospice/data=!4m7!3m6!1s0x87c0eed742f7e813:0xc39f094229a24fb!8m2!3d39.0908847!4d-94.4169564!16s%2Fg%2F11bv3y54mp!19sChIJE-j3QtfuwIcR-ySaIpTwOQw,Good Shepherd Hospice,4.1,9,Hospice,"123 W Kansas Ave, Independence, MO 64050, United States","3HRM+96 Independence, Missouri, USA",https://www.goodshepherdhospice.com/,+1 816-822-2292,Closed ⋅ Opens 8 am Thu,,https://lh3.googleusercontent.com/p/AF1QipOsQgJVDXbFDPkepnaYkgkV08tTSQ88qomUzlHt=w408-h510-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:41.604Z,,
https://www.google.com/maps/place/Specialized+Home+Care+%26+Hospice/data=!4m7!3m6!1s0x87c102cc05bfffff:0x2b7c5e18b80d4675!8m2!3d39.077291!4d-94.3715425!16s%2Fg%2F11qgylz0c4!19sChIJ__-_BcwCwYcRdUYNuBhefCs,Specialized Home Care & Hospice,4.4,13,Home health care service,"2311 Redwood Ave Suite A, Independence, MO 64057, United States","3JGH+W9 Independence, Missouri, USA",https://www.specializedhc.com/,+1 816-795-7990,Closed ⋅ Opens 8:30 am Thu,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM7GVbFx1fJUQ_KFqZrq-7bVhHWnooe4t90F4Th=w463-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:46.563Z,,
https://www.google.com/maps/place/Harbor+Hospice+of+Missouri/data=!4m7!3m6!1s0x87c11f8329a94ac5:0xb0231f7cc759f38c!8m2!3d39.0292589!4d-94.3597364!16s%2Fg%2F11rgbg9bh_!19sChIJxUqpKYMfwYcRjPNZx3wfI7A,Harbor Hospice of Missouri,4.9,73,Hospice,"4911 S Arrowhead Dr # 101, Independence, MO 64055, United States","2JHR+P4 Independence, Missouri, USA",http://www.harborhospice.com/,+1 816-600-6388,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipO8ZFymKpZ7DbU4nzyFk_ijbpLu3ryctRIRGvIW=w408-h277-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:51.739Z,,
https://www.google.com/maps/place/Shalom+Hospice/data=!4m7!3m6!1s0x87c0e35b95373f9d:0x5b41a846b63c34c6!8m2!3d39.0498082!4d-94.41632!16s%2Fg%2F11q_67jkl7!19sChIJnT83lVvjwIcRxjQ8tkaoQVs,Shalom Hospice,5.0,11,Hospice,"13905 East 39th St S, Independence, MO 64055, United States","2HXM+WF Independence, Missouri, USA",http://www.shalomhospicemo.com/,+1 816-272-8181,Closed ⋅ Opens 8:30 am Thu,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3gp1gnVyQh3JIuyImSDVZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=316.42966&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:08:56.721Z,,
https://www.google.com/maps/place/Three+Oaks+Hospice+%7C+Kansas+City/data=!4m7!3m6!1s0x87c0e97b0f603e37:0x7fdc873bdeb084ca!8m2!3d39.0323595!4d-94.3641162!16s%2Fg%2F11jgjk5z4l!19sChIJNz5gD3vpwIcRyoSw3juH3H8,Three Oaks Hospice | Kansas City,4.2,15,Hospice,"4721 S Cliff Ave Suite 220, Independence, MO 64055, United States","2JJP+W9 Independence, Missouri, USA",https://www.threeoakshospice.com/locations/overland-park/?utm_source=gbp&utm_medium=local,+1 816-203-1987,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNm5UYJlYrcMRCESKtvALP4kGhGXAAoBsgLiQoZ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:09:01.871Z,,
https://www.google.com/maps/place/Interim+HealthCare+of+Independence/data=!4m7!3m6!1s0x87c0e290c9243239:0x4aec5b86d94fc899!8m2!3d39.0616305!4d-94.371805!16s%2Fg%2F1tksj9q7!19sChIJOTIkyZDiwIcRmchP2YZb7Eo,Interim HealthCare of Independence,3.3,3,Home health care service,"3131 Rte 291 Ste C, Independence, MO 64057, United States","3J6H+M7 Independence, Missouri, USA",https://www.interimhealthcare.com/location/independence-mo,+1 913-381-3100,"Open 24 hours

Confirmed by this business 12 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOQF75LuoWEgXr4YVQdqCmpx09OkWH49AbkTUMU=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:09:06.727Z,,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x87c11daa4e1cdb9f:0xc18c4e5b952212f1!8m2!3d39.0407246!4d-94.3435718!16s%2Fg%2F11b6b857s7!19sChIJn9scTqodwYcR8RIilVtOjME,Gentiva Hospice,4.1,8,Hospice,"20101 E Jackson Dr suite a, Independence, MO 64057, United States","2MR4+7H Independence, Missouri, USA",https://www.gentivahs.com/,+1 816-795-1333,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMwhaNuk2nqqWoSfOb8mxsIKX2WhUhCIn6x_71-=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Independence+MO/@39.0911161,-94.4155068,14z",2025-09-18T00:09:11.488Z,,
