placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Down+to+Earth+Tree+Service+and+Science/data=!4m7!3m6!1s0x876befb9168e9b05:0xa55ba4193decc6e9!8m2!3d40.0513043!4d-105.2432257!16s%2Fg%2F11rzwtty7n!19sChIJBZuOFrnva4cR6cbsPRmkW6U,Down to Earth Tree Service and Science,5.0,59,Arborist service,"4743 Jay Rd, Boulder, CO 80301, United States","3Q24+GP Boulder, Colorado, USA",https://www.downtoearthtreeserviceandscience.us/,+1 720-275-4288,"Closed · Opens 7 am Wed

Updated by this business 10 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLoHT9MqI23nQuB0rfUfKna3HuBxwauBG0-1RFREgXc7sNFOhEyKgfNeqrH8jKIL4vE1I-BmaarpS8hvlfOXZsTJywlQYDrc4lgPzPBDaLcsl9pIhkfHiqr83x1CDOx7mUas8N4_BGUg4o=w408-h544-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:33:41.296Z,,,
https://www.google.com/maps/place/TLC+Tree+Expert+Inc/data=!4m7!3m6!1s0x876be963ad670849:0xb378596c0ac3b580!8m2!3d40.0217!4d-105.2406854!16s%2Fg%2F11nh6hq43m!19sChIJSQhnrWPpa4cRgLXDCmxZeLM,TLC Tree Expert Inc,5.0,143,Tree service,"4845 Pearl E Cir #101, Boulder, CO 80301, United States","2QC5+MP Boulder, Colorado, USA",https://tlctreeexpert.com/,+1 303-506-9834,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFuI3MiI0wxWgf7PCnkLam6luCxA5R-Na4_WbUASmTB3Jk8PbNrjFKDZFCnAHoN0JJdFUNNJJmlkhzS6BON4yI0I6EtLOHa-KpDhoNOT1AHBvShSSE6ljOzT5jMnTxbfv0uzvtQw=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:33:45.917Z,,,
https://www.google.com/maps/place/Bartlett+Tree+Experts/data=!4m7!3m6!1s0x876beee394394b43:0xff26d25bab5bae3!8m2!3d40.0649398!4d-105.2804443!16s%2Fg%2F1tfzxztr!19sChIJQ0s5lOPua4cR47q1uiVt8g8,Bartlett Tree Experts,4.6,9,Tree service,"5000 28th St, Boulder, CO 80301, United States","3P79+XR Boulder, Colorado, USA",https://www.bartlett.com/locations/boulder-co.cfm,+1 303-565-6541,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXMOjzp73mx8PVXLhuP4isg0wNUoX-E9B6O157z5iQAcmLoZtznq7JYURpbExIjTe6aTBOe254E3cA3ImOaR_LH_fkML3cV0MYvro-Mkqb_QJ1uTGGz4tUu39y-n-JcFRUCaQafw=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:33:50.641Z,,,
https://www.google.com/maps/place/Blue+River+Forestry+%26+Tree+Care/data=!4m7!3m6!1s0x876beddda2c41249:0x66588f98953bfd18!8m2!3d40.0187699!4d-105.2444937!16s%2Fg%2F11clwk4p0y!19sChIJSRLEot3ta4cRGP07lZiPWGY,Blue River Forestry & Tree Care,4.9,105,Tree service,"3900 Walnut St #3, Boulder, CO 80301, United States","2Q94+G6 Boulder, Colorado, USA",https://bluerivertreecare.com/?utm_source=LOCAL-BOULDER&utm_medium=ORGANIC&utm_campaign=GMB,+1 720-256-9056,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHD9doNHyS582vTHBQK4F4gdmkTXg79-pQ3rMXLbLSCHWop0ZUeVPY2E4WDdx7mggAdKpSzLTBnKGaPD5XAEl00DHQY-ofNRyVC8tspiLBHAr23OAS29ebEickG1xmD3F-JgNcZynsQPPcf=w408-h505-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:33:54.968Z,,,
https://www.google.com/maps/place/Mountain+Tree+Care/data=!4m7!3m6!1s0x876b94f0496740d1:0xcaf4ce11c03378a2!8m2!3d40.0332913!4d-105.2041772!16s%2Fg%2F119tpqmz_!19sChIJ0UBnSfCUa4cRongzwBHO9Mo,Mountain Tree Care,4.9,61,Tree service,"6397 Valmont Rd, Boulder, CO 80301, United States","2QMW+88 Boulder, Colorado, USA",http://www.mountaintreecare.com/,+1 303-443-9430,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1LcGaMcUe6uCO7NriPV7AiFhtwEu2hfrd0fn1PUp0moiGd3G1Qe5Nt8lcfvptiICyfntJxUxbQ-Zpufe7TVks3KM1pbwtVwcTDD0Tmn1f8tifpymLwLm_oDx0tVpwlysVecBU=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:33:59.248Z,,,
https://www.google.com/maps/place/Green+Saw+Tree+Service/data=!4m7!3m6!1s0x61e8ddd2da6cd67d:0xf9eab9f4aaac3606!8m2!3d40.0407903!4d-105.2346414!16s%2Fg%2F11vs_fgy39!19sChIJfdZs2tLd6GERBjasqvS56vk,Green Saw Tree Service,5.0,40,Tree service,"5117 Independence Rd, Boulder, CO 80301, United States","2QR8+84 Boulder, Colorado, USA",https://greensawtreeservice.com/,+1 405-306-6532,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwJrp6fnsDv9CPjROglVVsRCOVPYxClUJ3c_yjqA8UVEFv0PlCVdgEvYy_n3qVO-Ijr9dVHJNg_T51GC7yotIu91MD1qrmY1FvNekHNVPagBVFU3Q8VDH1nNmRWM5F93mlXKZ7=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:03.580Z,,,
https://www.google.com/maps/place/10+Star+Tree+Care/data=!4m7!3m6!1s0x876bf1b9634fffff:0xf50f92efa9cc045f!8m2!3d40.0598096!4d-105.1905602!16s%2Fg%2F11g8v4v2xd!19sChIJ__9PY7nxa4cRXwTMqe-SD_U,10 Star Tree Care,5.0,153,Tree service,"6985 Lodgepole Ct, Boulder, CO 80301, United States","3R55+WQ Boulder, Colorado, USA",http://www.10startreecare.com/,+1 720-626-8745,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyq1ix46ZdBCegoq3I_Fq2Bf2bUDmVCvi0dfI8SPx7csWnAbio2vLdrQlmg_ipMpwd61mIezdtL2UeERu4WXA_jiNWMqxHOLC_Hs_g276Nj1k7L1mvvEnBu5hXE9Wl0VxE8a7LEq-Le6TO=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:07.834Z,,,
https://www.google.com/maps/place/Boulder+Tree+Service/data=!4m7!3m6!1s0x876be86040240ee3:0xfd7e505b2503240e!8m2!3d40.0152398!4d-105.2600413!16s%2Fg%2F11dz_pqqrp!19sChIJ4w4kQGDoa4cRDiQDJVtQfv0,Boulder Tree Service,5.0,16,Tree service,"2525 Arapahoe Ave, Boulder, CO 80302, United States","2P8Q+3X Boulder, Colorado, USA",https://bouldertreeservice.com/,+1 303-444-8420,Closed · Opens 7:30 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7mWVgg9FBcCiRM09zsWom39RaQnhADhLWXAK0g0A3mgtmXwlBUhhvY-2PpO08s6UBPU_nwokJolfCbtjhbDpiWHu8USVbcmnHBA4De6z24ojwQGiOW5tzK9mbfTe3HssdkvNw=w408-h397-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:12.599Z,,,
https://www.google.com/maps/place/Berkelhammer+Tree+Experts/data=!4m7!3m6!1s0x876bedf6db183475:0xbbcb382d2f406808!8m2!3d40.031928!4d-105.2579263!16s%2Fg%2F1tlgyfhn!19sChIJdTQY2_bta4cRCGhALy04y7s,Berkelhammer Tree Experts,4.6,10,Tree service,"3158 28th St, Boulder, CO 80301, United States","2PJR+QR Boulder, Colorado, USA",http://www.berkelhammer.com/,+1 303-443-1233,Closed · Opens 7 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEY14Hijcpmyn5eF8z4iNNISfCrmI5vafVkpIV2FjsyW3Z7-Y6DLl9OmUIbKnnp2qtzL4dCpq0r1wV2eh2eW4463cf-90NXvuLEfGKw-Tfv8l1cI0lRQb3KTEFsAstlP75XwYo6HA=w408-h614-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:16.981Z,,,
https://www.google.com/maps/place/Heartwood+Tree+Care/data=!4m7!3m6!1s0x876bf10d7a756a25:0xab76a257fb061cbd!8m2!3d40.0144261!4d-105.1792579!16s%2Fg%2F11c7vv0wsd!19sChIJJWp1eg3xa4cRvRwG-1eidqs,Heartwood Tree Care,5.0,130,Tree service,"7464 Arapahoe Ave Unit B4, Boulder, CO 80303, United States","2R7C+Q7 Boulder, Colorado, USA",https://www.heartwoodtreecareboulder.com/,+1 303-641-6222,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6582xmU3FfcOftVYlWp-rs3NitUgEtKFsKNPDHVaupgZTEM6X7rw7UYDbxVM7uK1X17bORerJ8WavxzC_qozxwp63ZN8nzBl3iZh_z450U3RdhjGsmBO_DPwCOjDb6hozZwFM=w408-h305-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:21.250Z,,,
https://www.google.com/maps/place/Roots+%26+Shoots+Tree+Care/data=!4m7!3m6!1s0x876bedc7c1ec697b:0x594af8175adb92cc!8m2!3d39.1449605!4d-104.144593!16s%2Fg%2F11by__r0zt!19sChIJe2nswcfta4cRzJLbWhf4Slk,Roots & Shoots Tree Care,5.0,47,Tree service,,,http://rootsandshootstreecare.com/,+1 303-947-4390,Closed · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8OO1rP7_e4bFGOOz1PQjsmSp3SFrmimIds8-qZX-tp3b56NVL7s2xh1F7FJsJR8FLibkfG2k7Iv_KZvpexbMrrv_mcXTNzEVcTLIyoMA_DLu3lGCgVS4mUp-U7-aF9M_w93vh6_GB6aFa=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:25.463Z,,,
https://www.google.com/maps/place/SavATree/data=!4m7!3m6!1s0x876bedf7c31352a9:0x1b5aa5c80942286c!8m2!3d40.015991!4d-105.206377!16s%2Fg%2F1ptz8jbh7!19sChIJqVITw_fta4cRbChCCcilWhs,SavATree,4.9,286,Tree service,"1726 63rd St, Boulder, CO 80301, United States","2Q8V+9C Boulder, Colorado, USA",https://www.savatree.com/locations/boulder-colorado/?utm_source=GMB&utm_medium=organic&utm_campaign=boulder,+1 303-554-7035,Closed · Opens 9 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoKeGyKNV-J14xvyYHYF2jfBPWq14tqZ5Rtmb5NBhGVHVjM2ClctddGD0oz8qRajdvLuR6090Iq2sDE-iwMcfi0Lk4Y0eQ84ankAa6W9MJCKex-B9IyPBEtaMNzv96cqIHGZgxPeVXP8PD=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:29.777Z,,,
https://www.google.com/maps/place/All+Terrain+Landscaping+-+Boulder/data=!4m7!3m6!1s0x876beff215ac739b:0xd099a51bfd9e17b3!8m2!3d39.997227!4d-105.0909595!16s%2Fg%2F11jfp0szvz!19sChIJm3OsFfLva4cRsxee_RulmdA,All Terrain Landscaping - Boulder,5.0,167,Landscaper,,,https://atpslandscaping.com/,+1 970-304-1183,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFymmqu6ApCYlLRwT0non2IA-I2dJJPWDMbny3Wd8MnlCytUf8e0fPHqMVhp9MNB3VDWFWoNmicukS392K_YibUz8wIWn9iVxk_jY0Dxd6D8ls8y49FHEdGPPMFtk6rBwQH2bXA=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:34.115Z,,,
https://www.google.com/maps/place/Geesaman+Tree+Company+LLC/data=!4m7!3m6!1s0x876bf12b2b67a471:0x398e6f2da3a2a507!8m2!3d40.0752151!4d-105.1930403!16s%2Fg%2F11h6g0p1xb!19sChIJcaRnKyvxa4cRB6Wioy1vjjk,Geesaman Tree Company LLC,4.8,18,Tree service,"5540 Homestead Way, Boulder, CO 80301, United States","3RG4+3Q Boulder, Colorado, USA",http://geesamantreecompany.com/,+1 303-875-0051,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLTwuV9TFBDZe1OivLXpUrM9SsgLexyGIG6MhgbIKOeqMEXlQI9_kzeZmJNMZuIUaYZvSQSPcLA9mAAlFnOAkdHtWdgyy-CLtwT8XQGeV91vbTvzkByZp4ZPhhaVBjugbd3YAPXA=w408-h725-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:38.412Z,,,
https://www.google.com/maps/place/Ideal+Tree/data=!4m7!3m6!1s0x876bed1ab7babd0f:0x14ab02527742d949!8m2!3d39.9735142!4d-105.2559318!16s%2Fg%2F11h06n9myk!19sChIJD726txrta4cRSdlCd1ICqxQ,Ideal Tree,5.0,25,Tree service,"3135 Endicott Dr, Boulder, CO 80305, United States","XPFV+CJ Boulder, Colorado, USA",https://www.idealtreecolorado.com/contact,+1 720-378-1011,,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEycnkD9SGuEZkIlqaCmS450DZtb2x2SXTD9CNLyiYcAWrdTnjnBDzKKjngJ60J_lEEcG3QDEjZvtGNnSc4cuzLQr5oCFKlJq71FETr0lsb1trB9Vhoksw6PrSDij2lmvoL4d_uVw=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:40.705Z,,,
https://www.google.com/maps/place/Creekside+Tree+Nursery/data=!4m7!3m6!1s0x876bf1fbd9d751e3:0x6060dc8e34ac1617!8m2!3d40.0350512!4d-105.2123243!16s%2Fg%2F1tj89xvm!19sChIJ41HX2fvxa4cRFxasNI7cYGA,Creekside Tree Nursery,4.7,346,Tree service,"3283 61st St, Boulder, CO 80301, United States","2QPQ+23 Boulder, Colorado, USA",http://www.creeksideboulder.com/,+1 303-668-7647,,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEX0PwkksG6Mpn4-bC6WNPyjgdDUIoiRSfVJofGAsG8Co9yXdp8Z3oZGY0f_nVUMd6rUZzp7ukvnYBTFjnUBec19CmIB9S6Z8k8fXQsD0fS5TSG0Rnm4vgwrso9B7qpIpDp3YvR=w408-h299-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:43.016Z,,,
https://www.google.com/maps/place/Harlequin%27s+Gardens/data=!4m7!3m6!1s0x876bee551a2faed5:0xe5b8e2ee566f50e6!8m2!3d40.0615916!4d-105.2642402!16s%2Fg%2F1vpps_xz!19sChIJ1a4vGlXua4cR5lBvVu7iuOU,Harlequin's Gardens,4.8,214,Garden center,"4795 26th St, Boulder, CO 80301, United States","3P6P+J8 Boulder, Colorado, USA",http://www.harlequinsgardens.com/,+1 303-939-9403,"Closed · Opens 9 am Wed

Updated by this business 4 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdwdG4VktY0TWX9w1a_s4ZJua7vVShtACv-PjljaAEPLX9ZwQKcadvaGAj6jrnCwcLjN4MKTGn43fHHtDCjTH-GakaN2vam5zoMFW2_N7Q_UlRMP1A6MWHQt13kBjXZXJbLmcg=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/tree+service+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-04-29T04:34:47.425Z,"Organic nursery & garden center offering perennials, shrubs, herbs & other Colorado-adapted plants. · In-store shopping",,
