placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,error,attributes,isBlackOwned
https://www.google.com/maps/place/Jackson+Water+and+Fire+Damage+Restoration/data=!4m7!3m6!1s0x86285ca62485a8df:0xf32bdf19c6488b2f!8m2!3d32.2947921!4d-90.1858023!16s%2Fg%2F11cn30tmfb!19sChIJ36iFJKZcKIYRL4tIxhnfK_M,Jackson Water and Fire Damage Restoration,3.8,12,Water damage restoration service,"200 E South St, Jackson, MS 39201, United States","7RV7+WM Jackson, Mississippi, USA",,+1 228-240-9909,Closed · Opens 6 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwSDS4XZ24DVqEhn7qV8qvrFIv-OoiUaVuNvLZunB8Zw0Ih-6hK5PxtbNYQ3SJGyuB6uciK1RaKhiLsxgueitR4N0gmjn2BDl3z-cWuIxri5vKyBa2ybqiTxsjufF14pxn1iWA=w427-h240-k-no,true,8 am–8 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:03.589Z,,,
https://www.google.com/maps/place/SERVPRO+of+Jackson+and+Madison+County/data=!4m7!3m6!1s0x8629d29fc731881f:0x5d44e5476a7bdb28!8m2!3d32.4047024!4d-90.1774116!16s%2Fg%2F11c1nv5b2t!19sChIJH4gxx5_SKYYRKNt7akflRF0,SERVPRO of Jackson and Madison County,5.0,557,Water damage restoration service,"134 Marketridge Dr, Ridgeland, MS 39157, United States","CR3F+V2 Ridgeland, Mississippi, USA",https://www.servpro.com/locations/ms/servpro-of-jackson-and-madison-county,+1 601-353-2286,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerG8oeCKNJl07dXxzZMb5tsReQQiNBqMrHKjIoYKl19uFSvbZ9kJIt0tNzVBOCXMI8bV8Q5aPBgPOxHKKE2qM1jJudU8s6KpMJOZDViz_72x1hA6PP-yx1alBnExgBmk6GW5XY8z7MCgOx2=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:09.082Z,,,
https://www.google.com/maps/place/911+Restoration+of+Central+Mississippi/data=!4m7!3m6!1s0x8629d095d265304f:0x279c862a41f93a86!8m2!3d32.5198688!4d-90.0953086!16s%2Fg%2F11clvv6pnd!19sChIJTzBl0pXQKYYRhjr5QSqGnCc,911 Restoration of Central Mississippi,4.8,112,Water damage restoration service,"101 First Choice Dr Suite D, Madison, MS 39110, United States","GW93+WV Madison, Mississippi, USA",https://www.911restorationjackson.com/,+1 601-501-6119,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-XnoCP2YYYxlFxwnwqqZ3_QVzWP_TX39Fh-9xCKeE1jY7R7w61IOx-btYK-iCqmAMNBGAoGeJmf0nPl23uSawXo3W9lo756ztu47a2Azo4mb1KZ2CfPwaYFyStFTs1UZJYMlS=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:14.556Z,,,
https://www.google.com/maps/place/Restoration+1+of+Jackson/data=!4m7!3m6!1s0x8629d2a3c9b6c525:0x11246b591afa66a2!8m2!3d32.530134!4d-90.2454925!16s%2Fg%2F11f_j3rl6d!19sChIJJcW2yaPSKYYRomb6GllrJBE,Restoration 1 of Jackson,4.9,356,Water damage restoration service,,,https://restoration1.com/jackson?utm_source=GBP&utm_medium=Google,+1 601-401-3270,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoHZx_A30RflzS23FfqV3i_w6nVHS-sntXVXDXPCSSFUjMa-nYWAUSiQTrTBZ0wXC53uZzn56zjL8ulTn5gwQJVvr_AvnLhcN9ZB5Dmw6kX5an5VWxhcjPwFeAbvrsfezWp2s1AAw=w624-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:19.150Z,,,
https://www.google.com/maps/place/Water+Restoration+of+Jackson/data=!4m7!3m6!1s0x86282dc866812781:0x909f0dedbfffbc95!8m2!3d32.3004881!4d-90.1847923!16s%2Fg%2F11qgylxpzq!19sChIJgSeBZsgtKIYRlbz_v-0Nn5A,Water Restoration of Jackson,5.0,2,Water damage restoration service,"249 E Amite St, Jackson, MS 39201, United States","8R28+53 Jackson, Mississippi, USA",,+1 228-240-9909,Closed · Opens 6 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9da-Tbd4Jz42-73XeY1y9q65SljNWGcIAiDhXeVwwkHRzAh7mVYzchXHD2j2adaAqTXuw4OyCycmDZgZacPcxXCCUKsdRbUsANVeNGkv5OpbjxQePZW93_AOLX9o48Bex9LFr=w408-h408-k-no,true,8 am–8 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:23.829Z,,,
https://www.google.com/maps/place/All+Dry+Services/data=!4m7!3m6!1s0x456589791710f451:0x2781284a0b50531c!8m2!3d32.5407427!4d-90.1676051!16s%2Fg%2F11rtm6ygt_!19sChIJUfQQF3mJZUURHFNQC0oogSc,All Dry Services,5.0,44,Water damage restoration service,"106 Camden Shores, Madison, MS 39110, United States","GRRJ+7X Madison, Mississippi, USA",https://www.myalldry.com/central-mississippi/,+1 601-589-1379,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeK83RslYNjJHdzYS27UaJtQr9ch4meDngisKYrlywZPJvR4glNGrynhja01gtMRDJnd-L9I5G5U64kmS_UawS0bgJWstmCULuiTbXv35tQ8cR0-F02uAAaXoTGHa9VTgzJitmWg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:28.564Z,,,
https://www.google.com/maps/place/Recon+Restoration/data=!4m7!3m6!1s0x862831f9f2999747:0xecb1aaa7bcbfc8f9!8m2!3d32.2429164!4d-90.1632771!16s%2Fg%2F11vph1mx4y!19sChIJR5eZ8vkxKIYR-ci_vKeqsew,Recon Restoration,4.9,53,Water damage restoration service,"460A US 49, Richland, MS 39218, United States","6RVP+5M Richland, Mississippi, USA",https://reconrestorationms.com/,+1 601-361-9999,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomwIdno9KbJCxCbju8K7wZTRi8MX7YCQc-sQ2qfm-l9m-0wzIfoC-xbACVilS2R2pHQH6h0-R8XD2Xl1ZZHk3RPHq5ohdvIIrAxY5GdchbEXkdhXn5Bo51QFlB1mIk9EIIWWGaW10rIQTx=w408-h324-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:33.401Z,,,
https://www.google.com/maps/place/A-1+Rapid+Response+Restoration/data=!4m7!3m6!1s0x45dfa780d4534d47:0x1109b963e45c58e0!8m2!3d32.4082562!4d-90.1487408!16s%2Fg%2F11rd8z4tqv!19sChIJR01T1ICn30UR4Fhc5GO5CRE,A-1 Rapid Response Restoration,5.0,33,Water damage restoration service,"6701 Richmond Grove Rd #9B, Jackson, MS 39213, United States","CV52+8G Jackson, Mississippi, USA",http://a1rapidresponserestoration.com/,+1 601-298-1183,"Open 24 hours

Confirmed by this business 8 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhgbEJMYgO2OT__FCCiXkkqVTo76vG3fzMkQcZPsrbEZ8Iser5AVU0jrG7SuF151UILxD3rl0jttoxKYJ6gEhdsskWF8Kz7lkZTPYTDVf686FovF7nMuwlXABSDmIfeaw8L3c83CPaXPU=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:38.308Z,,,
https://www.google.com/maps/place/Dry+Fast+of+Jackson+-+Water+Damage+Restoration/data=!4m7!3m6!1s0x63b867ac33a7484f:0x5cb7e2612ac8b260!8m2!3d32.359049!4d-90.131287!16s%2Fg%2F11m76zfqzs!19sChIJT0inM6xnuGMRYLLIKmHit1w,Dry Fast of Jackson - Water Damage Restoration,5.0,11,Water damage restoration service,,,https://calldryfast.com/locations/jackson-mississippi/?utm_source=google&utm_medium=gmb&utm_campaign=profile,+1 601-853-1219,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrB2wtYHG3hIBbiDBUEnAZqUHk9Uze3UPEi4f7o91N0GITDwoS4mCvLSDxOrMQ1QrkBWyr6Efsr7blzZ8D3RSx6QKMATVRH3t8Z7iHtNA0F1-4QXzRxLFAqoMgaSDBOCFMpgU5w2vDtIoP=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:43.083Z,,,
https://www.google.com/maps/place/Guarantee+Restoration+Services/data=!4m7!3m6!1s0x86282dcea0107489:0x5da237b390c2df59!8m2!3d32.2711538!4d-90.0802718!16s%2Fg%2F11q1k446yp!19sChIJiXQQoM4tKIYRWd_CkLM3ol0,Guarantee Restoration Services,4.9,40,Water damage restoration service,"191 Country Pl Pkwy, Pearl, MS 39208, United States","7WC9+FV Pearl, Mississippi, USA",https://www.guaranteerestoration.com/,+1 601-691-8660,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjiK_DO9RsJh44fG8TbJviE7q0vvR1i-NkoiMZbi5eXvaSZojgm_LxtUqDbmT1WloyMmDAxso5TPVDKD-DD_IeHOXX8bMB9D3VzoIUNr7eLipZC9YXmgdT8iOHdi9qVIYOQW6HXw=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-03-23T04:09:47.754Z,,,
