placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,error,info
"https://www.google.com/maps/place/Concierge+Parking,+Valet+%26+Enforcement+Group.+LLC/data=!4m7!3m6!1s0x89ac59da94a73cdd:0x8b6d942d2f11ba42!8m2!3d35.8932161!4d-78.6484897!16s%2Fg%2F11lp1l42jm!19sChIJ3TynlNpZrIkRQroRLy2UbYs","Concierge Parking, Valet & Enforcement Group. LLC",,,Valet parking service,"8321 Six Forks Rd, Raleigh, NC 27615, United States","V9V2+7J Raleigh, North Carolina, USA",http://www.carolinaparking.com/,+1 984-281-7623,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNKcWcWoBfx4SK3lLwxSDjssB90QeuCUcP3appi=w408-h348-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Open 24 hours,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-10-28T18:30:52.386Z,,,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x8859f932cc0d1717:0xf83ef8fad77713fa!8m2!3d35.6166703!4d-82.3216818!16s%2Fg%2F11g4d7nw6w!19sChIJFxcNzDL5WYgR-hN31_r4Pvg,Public Parking,5.0,1,Public parking space,"Black Mountain, NC 28711, United States","JM8H+M8 Black Mountain, North Carolina, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5dqxBxmCVO9pcgjzZrl65Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.01495&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-10-28T18:30:55.868Z,,,
https://www.google.com/maps/place/Parking+Deck/data=!4m7!3m6!1s0x8859c31ff6a949a7:0xc20c3b43e60b8c46!8m2!3d35.3173455!4d-82.4613677!16s%2Fg%2F11khsmd9y8!19sChIJp0mp9h_DWYgRRowL5kM7DMI,Parking Deck,4.8,6,Parking lot,"432 N Church St, Hendersonville, NC 28792, United States","8G8Q+WF Hendersonville, North Carolina, USA",https://www.hendersonvillenc.gov/parking,+1 828-697-3050,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xM3TeFHZIY5aJuh2CBzqTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.33842&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hendersonville+Asheville+NC/@35.3187279,-82.4609528,14z",2025-10-28T18:31:10.851Z,,,
https://www.google.com/maps/place/Blue+Ridge+Valet+Parking/data=!4m7!3m6!1s0x8859f39b7c6851f3:0xec04ed3d75e830b8!8m2!3d35.565039!4d-82.543482!16s%2Fg%2F11y2ms88l7!19sChIJ81FofJvzWYgRuDDodT3tBOw,Blue Ridge Valet Parking,5.0,3,Valet parking service,"26 All Souls Crescent, Asheville, NC 28803, United States","HF84+2J Asheville, North Carolina, USA",http://blueridgevalet.com/,+1 980-219-3901,Open ⋅ Closes 9 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UMavhRhK3ZlJumm0sDm9kw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.49814&pitch=0&thumbfov=100,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hendersonville+Asheville+NC/@35.3187279,-82.4609528,14z",2025-10-28T18:31:15.927Z,,,
https://www.google.com/maps/place/Royal+Parking/data=!4m7!3m6!1s0x8859f33ccefdfc15:0x38681f351995655f!8m2!3d35.565039!4d-82.543482!16s%2Fg%2F12lvkg3pc!19sChIJFfz9zjzzWYgRX2WVGTUfaDg,Royal Parking,3.7,7,Valet parking service,"26 All Souls Crescent, Asheville, NC 28803, United States","HF84+2J Asheville, North Carolina, USA",http://www.royalparkinginc.com/,+1 919-829-8050,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1ghmzOoDWrs1IY_U8bX9Ng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.35178&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hendersonville+Asheville+NC/@35.3187279,-82.4609528,14z",2025-10-28T18:31:18.908Z,,,
https://www.google.com/maps/place/Parking+garage/data=!4m7!3m6!1s0x8859c3001d7c9f1f:0x76217aaf5482d523!8m2!3d35.3187279!4d-82.4609528!16s%2Fg%2F11w2y4wjzf!19sChIJH598HQDDWYgRI9WCVK96IXY,Parking garage,3.0,1,Parking lot,"Hendersonville, NC 28792, United States","8G9Q+FJ Hendersonville, North Carolina, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2kN7X4-DA_c_z8PDX6JHKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.9963&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hendersonville+Asheville+NC/@35.3187279,-82.4609528,14z",2025-10-28T18:31:21.545Z,,,
https://www.google.com/maps/place/Parki+G/data=!4m7!3m6!1s0x8859c210d1b69f09:0x2a459404376863cd!8m2!3d35.3149705!4d-82.4623134!16s%2Fg%2F11dz_vhy_v!19sChIJCZ-20RDCWYgRzWNoNwSURSo,Parki G,,,Parking lot,"216 N Washington St, Hendersonville, NC 28739, United States","8G7Q+X3 Hendersonville, North Carolina, USA",,+1 828-551-3357,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=87ZLjJjSYi5Mh2dHxUgFcQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.23165&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hendersonville+Asheville+NC/@35.3187279,-82.4609528,14z",2025-10-28T18:31:24.351Z,,,
https://www.google.com/maps/place/Friendly+Parking+Control/data=!4m7!3m6!1s0x8859f4a9a1bff737:0xe03b50f69fbda435!8m2!3d35.600564!4d-82.555018!16s%2Fg%2F11f03qbb4w!19sChIJN_e_oan0WYgRNaS9n_ZQO-A,Friendly Parking Control,1.0,6,Property management company,"174 Broadway St upstairs, Asheville, NC 28801, United States","JC2V+6X Asheville, North Carolina, USA",,+1 828-989-9918,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNldNlfvcoN995HN_Y4ucrhKtJ1XNr5An_0ILMh=w408-h326-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weaverville+Asheville+NC/@35.6970547,-82.5606851,14z",2025-10-28T18:31:38.085Z,,,
https://www.google.com/maps/place/Weaverville+Public+Parking/data=!4m7!3m6!1s0x885a1f581c394ff9:0xc1993d449be431f2!8m2!3d35.6965738!4d-82.5602775!16s%2Fg%2F11rq950349!19sChIJ-U85HFgfWogR8jHkm0Q9mcE,Weaverville Public Parking,5.0,1,Parking lot,"S Main St, Weaverville, NC 28787, United States","MCWQ+JV Weaverville, North Carolina, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTEdjK_nYxl5wxik89JlDJjdrKHVjtI_-6VyuxRDott0ZlKy9YXe1kgBo5WDocP5Z7-3C3dzK2qfXOW7kkEkr7LRMJftAL1oiQxzQnC6DThsenHZ-pdSIl1txj3smrBn89skAC=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weaverville+Asheville+NC/@35.6970547,-82.5606851,14z",2025-10-28T18:31:41.066Z,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x8859f52e68fb5503:0xbbfb2ebb2fd4d90e!8m2!3d35.6030935!4d-82.5457822!16s%2Fg%2F11vzfd3_hy!19sChIJA1X7aC71WYgRDtnUL7su-7s,parkingmgt.com,,,Parking lot,"276 E Chestnut St, Asheville, NC 28801, United States","JF33+6M Asheville, North Carolina, USA",https://parkingmgt.com/276-e-chestnut-st-asheville/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6zInd38kciklbZPvDWoF8A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.80695&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Weaverville+Asheville+NC/@35.6970547,-82.5606851,14z",2025-10-28T18:31:45.834Z,,,
