placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error
https://www.google.com/maps/place/Park+%26+Go/data=!4m7!3m6!1s0x8796bf1d1b117127:0x6dbc2cf20a7aaf25!8m2!3d40.812818!4d-96.7047527!16s%2Fg%2F1vgx17sh!19sChIJJ3ERGx2_locRJa96CvIsvG0,Park & Go,2.1,195,Parking garage,"1100 N St, Lincoln, NE 68508, United States","R77W+43 Lincoln, Nebraska, USA",http://parkandgo.org/,+1 402-441-7275,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDCi3ZaxS63ZrjILJpVPGCBREWdkZ-d4PZa28-bFi6TVxyf3m5TQkcSrmBqlF6WZXksJ8S8ikTRRE99wN2sno0Zolv3LjX2xUBTEukQ9_6G2OlvExxnrF1YjWZAwwWiAeF9JOW=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:55:53.997Z,
https://www.google.com/maps/place/Parking+%26+Transit+Services/data=!4m7!3m6!1s0x8796bf1e07591933:0x212a1dd0eb88102f!8m2!3d40.8193739!4d-96.7073793!16s%2Fg%2F1tdcgwg1!19sChIJMxlZBx6_locRLxCI69AdKiE,Parking & Transit Services,1.4,80,College,"625 Stadium Dr # A, Lincoln, NE 68588, United States","R79V+P2 Lincoln, Nebraska, USA",http://parking.unl.edu/,+1 402-472-1800,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8GGeQ_LVCjAtcbJwDwBFIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.320248&pitch=0&thumbfov=100,false,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:00.127Z,
https://www.google.com/maps/place/Park+%26+Go+Corporate+Office/data=!4m7!3m6!1s0x8796bfd68e5c41b1:0x9040cbf937098718!8m2!3d40.8126059!4d-96.705198!16s%2Fg%2F11l1xpx2x6!19sChIJsUFcjta_locRGIcJN_nLQJA,Park & Go Corporate Office,,,Government office,"Lincoln, NE 68508, United States","R77V+2W Lincoln, Nebraska, USA",https://www.lincoln.ne.gov/City/Departments/Urban-Development/Park-and-Go/About-Us,+1 402-441-7275,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kGk2eJeySLX8-H5oePuRyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.19946&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:05.591Z,
https://www.google.com/maps/place/Haymarket+Garage/data=!4m7!3m6!1s0x8796bf1d1c941a75:0x30e34728a409963f!8m2!3d40.8160875!4d-96.7087001!16s%2Fg%2F11g8_cl43q!19sChIJdRqUHB2_locRP5YJpChH4zA,Haymarket Garage,3.5,13,Parking garage,"848 Q St, Lincoln, NE 68508, United States","R78R+CG Lincoln, Nebraska, USA",https://www.lincoln.ne.gov/City/Departments/Urban-Development/Park-and-Go/Find-Parking/Haymarket-Garage,+1 402-441-4954,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJaRlTwAsVaqabt06QD-_nVawNNp8sWcQ_wKF1H70LE_UslAp4LdZ7OCAVICuIOC70dtFKru8XCMqnWobTpNiHVj8w2b06z3fzkyk5IUXViuYbffz7Lq4JNtSD0yXrWjYQfc7ozg=w492-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:10.936Z,
https://www.google.com/maps/place/Cornhusker+Square+Garage+%28Park+%26+Go%29/data=!4m7!3m6!1s0x8796befc4a8744f7:0x80b5b0fbdacb3d2e!8m2!3d40.8109866!4d-96.7037497!16s%2Fg%2F1tf71fh7!19sChIJ90SHSvy-locRLj3L2vuwtYA,Cornhusker Square Garage (Park & Go),4.5,10,Parking garage,"1220 L St, Lincoln, NE 68508, United States","R76W+9G Lincoln, Nebraska, USA",https://www.lincoln.ne.gov/City/Departments/Urban-Development/Park-and-Go,+1 402-441-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfwAcbUaW-wS-uitIFJ1P5P8I2fkZy935prVg4DCAC5ijAXJ_QbVJv7eFdnhfOzbztpXU5JnLu_e2B6AIFbCPIIaHORHYw-TBE2TkSSUKpiNVpgAnTOutb3PXQAU7UZimwYXsxQg=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:14.461Z,
https://www.google.com/maps/place/Que+Place+Garage/data=!4m7!3m6!1s0x8796bee2c3ff4fc9:0xee47a2f7f152729d!8m2!3d40.8154887!4d-96.7047806!16s%2Fg%2F1th7ndfp!19sChIJyU__w-K-locRnXJS8feiR-4,Que Place Garage,4.2,65,Parking garage,"1111 Q St, Lincoln, NE 68508, United States","R78W+53 Lincoln, Nebraska, USA",http://parkandgo.org/,+1 402-441-6480,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxNlUOR56Y4v_pjOfh8dEQYmtXYV-77wBiav4sDl8M54jqcP7Ku_6TqAPVC-8u33Vaj_R58qHVZeBffUNh9A_4b5lCo3lesmPqY0FbpQbgqgvKJJCOk4Qj6RDnnidUlnKRCTtxv=w408-h541-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:19.797Z,
https://www.google.com/maps/place/Carriage+Park+Garage+%28Park+%26+Go%29/data=!4m7!3m6!1s0x8796befdc704813b:0x4d31d22f38086f83!8m2!3d40.8106872!4d-96.7048362!16s%2Fg%2F1tdyg3x0!19sChIJO4EEx_2-locRg28IOC_SMU0,Carriage Park Garage (Park & Go),4.3,28,Parking garage,"1128 L St, Lincoln, NE 68508, United States","R76W+73 Lincoln, Nebraska, USA",https://parkandgo.org/,+1 402-441-7275,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsWpVwD8Ks5LyKqKD2Pub7FsXAmtvEbk6mJuNHFVlJ6LijNK3VDNhFC1UQofaghoAivtB8_vzXF9TREGgsTWBw4Wx9tHZGIkWFZzNihod4FDmg-qq7btZkgwps7qxsYpB-TKit4g=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:25.259Z,
https://www.google.com/maps/place/Red+1+Garage/data=!4m7!3m6!1s0x8796bf1b74df9a6d:0x7c8e78553c7028e8!8m2!3d40.8164517!4d-96.7132185!16s%2Fg%2F11c1vnkf12!19sChIJbZrfdBu_locR6ChwPFV4jnw,Red 1 Garage,3.8,38,Parking garage,"555 R St, Lincoln, NE 68508, United States","R78P+HP Lincoln, Nebraska, USA",https://parkandgo.org/,+1 402-441-0014,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvkgTn-T9xVgIqbJbFCz5dRNNnhSINFxwkbI4BD3rXHKIauI06nljzzf4EVflZ55k6BuoXN9y24iEQ2a09QBvNoGvdJXf5P6ixoP-5fE2W_dtsex1kN1-mpwFoc7ywkqJKJ1w=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:30.847Z,
https://www.google.com/maps/place/Market+Place+Garage+%28Park+%26+Go%29/data=!4m7!3m6!1s0x8796bf1d425b00f1:0x8ef0bd4ef79e7a20!8m2!3d40.8155613!4d-96.7074745!16s%2Fg%2F1tr9ny0s!19sChIJ8QBbQh2_locRIHqe90698I4,Market Place Garage (Park & Go),3.5,16,Parking garage,"925 Q St, Lincoln, NE 68508, United States","R78V+62 Lincoln, Nebraska, USA",https://www.lincoln.ne.gov/City/Departments/Urban-Development/Park-and-Go,+1 402-441-7275,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvG7d_yhBZGGO6NaE6dJE0hjXGehJcfqkh0xQwaswLZMSlzE9rkTs0nJyPEyZY0ie7rzDc4dWhDPP1KJNx9dFfIZYO039QqRva4-v5dUkrCkxM5yuTwb1R9xj8ZF5jhUnp7p8yAw=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:36.056Z,
https://www.google.com/maps/place/University+Square+Garage+%28Park+%26+Go%29/data=!4m7!3m6!1s0x8796befcaac813c9:0xc4930490795b3466!8m2!3d40.8141899!4d-96.7015544!16s%2Fg%2F1vmr1wr3!19sChIJyRPIqvy-locRZjRbeZAEk8Q,University Square Garage (Park & Go),4.2,83,Parking garage,"101 N 14th St, Lincoln, NE 68508, United States","R77X+M9 Lincoln, Nebraska, USA",https://www.lincoln.ne.gov/City/Departments/Urban-Development/Park-and-Go,+1 402-441-6477,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7ktjI-VRQemJJu07tqsULP_-7gW16xTdh5HxXM4NUY9ouDBmaQpXf0EyaqnfRZnZbnZC_jdoLr9sz4mZddGpcwz0FW8xbzs3auGQjNBl9fVRNAylTNzGjcq-xKFfnX27Pt4aucw=w428-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-10-28T18:56:41.400Z,
