placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,attributes,isBlackOwned
https://www.google.com/maps/place/Treebilly/data=!4m7!3m6!1s0x88e7707c7181553b:0x7a2385056600822f!8m2!3d28.5928361!4d-81.378979!16s%2Fg%2F11tczn618z!19sChIJO1WBcXxw54gRL4IAZgWFI3o,Treebilly,5.0,15,Tree service,"2190 W Fairbanks Ave, Winter Park, FL 32789, United States","HJVC+4C Winter Park, Florida, USA",http://www.treebilly.com/,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzuOujwvLtmhZYkSz3yaxj36IpKoJi2V13pSH8f7ry4RoDivNqv3jq3g7FIPXTxhug3UcZrk1oL2ucjxfAw6f6IV5XUFEZUKBhLlCFYoG_kWPd_tFAqLmaHEneWKggz7GApDsdKw=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:25.015Z,,,,,,,,,,
https://www.google.com/maps/place/Davey+Tree+Expert+Company/data=!4m7!3m6!1s0x88e770711dc10c7f:0x92ccef15f99c2edf!8m2!3d28.5926377!4d-81.3700378!16s%2Fg%2F1tgj9n4d!19sChIJfwzBHXFw54gR3y6c-RXvzJI,Davey Tree Expert Company,2.8,41,Tree service,"649 Nicolet Ave, Winter Park, FL 32789, United States","HJVH+3X Winter Park, Florida, USA",http://www.davey.com/,+1 321-635-4945,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQVCMiyrH-QNZU5m8iAtH5B7W0mQmERo5OujyXCeSC5utGY0UGbubcax3QgzDYp7G30UDAXCJszPQqz7L-6ZFS6Kow6aA8QA1BffaPd1lILma0wkX5ADuzIUNhjMMRL4WACCLy=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:29.064Z,,,,,,,,,,
https://www.google.com/maps/place/Tree+Doctors+of+America/data=!4m7!3m6!1s0x88e77b8c59acf0f9:0x8ec90c5e500aac63!8m2!3d28.5437059!4d-81.3788809!16s%2Fg%2F11tnvzzh58!19sChIJ-fCsWYx754gRY6wKUF4MyY4,Tree Doctors of America,4.9,225,Tree service,"111 N Orange Ave Suit 800, Orlando, FL 32801, United States","GJVC+FC Orlando, Florida, USA",https://www.treedoctorsamerica.com/,+1 386-463-4975,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2HMiLAe8R2YFzMZr1YpOg9Zk_T4498zRPQkzS27T330fZA-19y0VwpOn4JiCycgp9jzrGPP6T6FxdF4GVICsJIYnAKoM55pEvF7jbVmCqSZ0DD-YVjaCAU5aW-Ym6ishyFN9wgJ77fV8=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:33.853Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,Closed,8 am–6 pm,8 am–6 pm,,,
"https://www.google.com/maps/place/Grant%27s+Tree+Service,+Inc./data=!4m7!3m6!1s0x88e7715f362e8a09:0x48fc6d3999193d9f!8m2!3d28.6163952!4d-81.3982785!16s%2Fg%2F11hf8r42md!19sChIJCYouNl9x54gRnz0ZmTlt_Eg","Grant's Tree Service, Inc.",5.0,11,Tree service,"20 Mustard Seed Ln, Orlando, FL 32810, United States","JJ82+HM Orlando, Florida, USA",https://www.grantstreeservice.com/,+1 407-629-0966,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsaS3hvfsujAxgJHu7Ceuwkg2ownhfeIZGQRHPCHoTBvDjH7U3udUscvxFACD3FocmnpqMZXcO_91OsD89pK90Narf2m_OlGIjawkdKGr4rm1S0EOQE4epYuEJ578ZFpkCR8Yl-iDle0ml=w408-h408-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:38.609Z,8 am–5 pm,8 am–5 pm,8 am–6 pm,7 am–6 pm,10 am–3 pm,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Oscar+Tree+Services+LLC/data=!4m7!3m6!1s0x88e76fd69aba6fd7:0xd809b24d59a2fccc!8m2!3d28.6115036!4d-81.2862715!16s%2Fg%2F11p74qjvhm!19sChIJ12-6mtZv54gRzPyiWU2yCdg,Oscar Tree Services LLC,4.8,73,Tree service,"7501 Citrus Ave #1005, Goldenrod, FL 32733, United States","JP67+JF Goldenrod, Florida, USA",https://oscartreeservicesfl.com/,+1 407-405-1123,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMxGG2CXjHgkOdlPTgjzDCj4ZJ9wsYv4katUnchfWHIsGcFkUW1GF6MCUYh8bUev0aZEEUvYwo5bNgDOKt2CsqeUglzwVryCQmvP8LXBwGSKhbfC_0ZjVsMHRRKqP5vsA2vecNeFsFFgk5=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:43.548Z,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–2 pm,Closed,8 am–5:30 pm,8 am–5:30 pm,,,
https://www.google.com/maps/place/Napoleon+Tree+Service/data=!4m7!3m6!1s0x61cfd1b127e2160f:0xb8411432c2f69181!8m2!3d28.45937!4d-81.409518!16s%2Fg%2F11nnvxzg16!19sChIJDxbiJ7HRz2ERgZH2wjIUQbg,Napoleon Tree Service,5.0,123,Tree service,,,https://napoleontreeservice.com/,+1 407-733-3172,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV039qEUSJ65qECi2wTYZdfzqpPM7OeJvrbHdxOLZJikIQVL6BOTysZGj3oGaicH_ep-NtIHoC7CmAH7Udxzj2aGHhi4y0vgS86P0a9PwOkkASkWrnUBZ5UyXp07O1zk6pLj2k=w408-h270-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:48.215Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Luis+332+Service+LLC/data=!4m7!3m6!1s0x2bfbc1ddbfec5f15:0x32ae6080eb33f0d!8m2!3d28.5372261!4d-81.172182!16s%2Fg%2F11sgkq4yz0!19sChIJFV_sv93B-ysRDT-zDgjmKgM,Luis 332 Service LLC,4.8,66,Tree service,,,http://www.luis332treeservicellc.com/?cid=glbc&utm_source=google&utm_medium=organic&utm,+1 407-692-8033,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHejI9mn_IpNSXg-Yvw_3lLEiv7EZKOYy5IB2CXziy_JQxxWog4Ayp3aEAKgIlJtbtIjw482MseWvEtndYkURWs1K3wLvN06UbPvN-NFi9l7-J_JxXIZfHUtdGRNcq37HKgKuKx=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:53.014Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/JUNGLE+TREE+%26+DEBRIS+Outdoor+Services/data=!4m7!3m6!1s0x88e77b64d9e111d3:0x6846def1991827b2!8m2!3d28.5434474!4d-81.3462336!16s%2Fg%2F11q1pgt6nj!19sChIJ0xHh2WR754gRsicYmfHeRmg,JUNGLE TREE & DEBRIS Outdoor Services,4.8,23,Tree service,"2915 Kilgore St, Orlando, FL 32803, United States","GMV3+9G Orlando, Florida, USA",,+1 321-331-3912,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWZKO2e_6uqIMe0KUvkOTaWH8UAyInvF2G8USsvjNX70i6xH5ta2Eo0-EhXE1EkvhoOLK-gTteCu-efu0HGiA5_wFKgjbaxvvzajXZOhlVjyeuW7KHB09ev2XnNXrldaJI_OWaVQ=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:42:57.697Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/JDW+Outdoors+Tree+%26+Land+Services/data=!4m7!3m6!1s0x88e76fef02f9d089:0xb28645c93331d408!8m2!3d28.6043774!4d-81.2806785!16s%2Fg%2F11vb9wcgzn!19sChIJidD5Au9v54gRCNQxM8lFhrI,JDW Outdoors Tree & Land Services,5.0,61,Tree service,"7850 Lake Dawn Dr, Winter Park, FL 32792, United States","JP39+QP Winter Park, Florida, USA",http://www.jdwoutdoors.com/,+1 407-362-8852,"Closed · Opens 8 am

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWOywMiWb0OShIvcJ8qiAZqRpl-z2Abp4dtKoQRH3cdNMc3e7yJtem9Jh7iOpWLmF9o2aNaZrSh5XFLqu4Y7mACHegiTcjOPt4nlnTtpORGHCJ5MNR04GIaYpgOc-qSyb_xotJJQ=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:43:02.604Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
"https://www.google.com/maps/place/Grateful+Tree+Service,+LLC/data=!4m7!3m6!1s0x88e77156afd3546b:0x8327757dce4454ff!8m2!3d28.56746!4d-81.417667!16s%2Fg%2F11ns6gg8fq!19sChIJa1TTr1Zx54gR_1REzn11J4M","Grateful Tree Service, LLC",5.0,44,Tree service,,,http://www.gratefultreeservice.com/,+1 407-607-7080,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVsZC7yhNf2K5HSMCLJlWyyMaCW5JAwVTf0K-s-Od2zLi_UZtmknfyX_3yDAQAiPuYQrBlEBk49YxDVDMzhAX4W7sp2z6LTQAp49upKCa7B88-qXRNsShD1Gb1BzLEBQoWNek=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T06:43:07.480Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–4 pm,Closed,8 am–6 pm,8 am–6 pm,,,
