placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x88f9d36e156a3611:0x6abad7cdbed57e82!8m2!3d33.457237!4d-82.0717924!16s%2Fg%2F11fnrvv8cq!19sChIJETZqFW7T-YgRgn7Vvs3Xumo,Precision Garage Door Service,4.9,954,Garage door supplier,"1810 Wylds Rd C, Augusta, GA 30909, United States","FW4H+V7 Augusta, Georgia, USA",https://precisiongaragedooraugusta.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=augusta,+1 706-703-4344,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyuTjcqPbL3swQtQwtkK8jD1xPjxKhApu9UqSzbINzhqeEvMI3MNCyJFkQ11_4er1uNM57XZye_NAghJGR9NvJoToVTwFIrBatT0_kRbm9GO38lZEc7_C2yD446e9DyAL5-rng_=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:26:37.496Z,,,
https://www.google.com/maps/place/Access+Garage+Door+of+Augusta/data=!4m7!3m6!1s0x88f9cfa2d1ce2711:0xae0e3562b3dbd777!8m2!3d33.4498548!4d-82.0320826!16s%2Fg%2F11fv39v3pf!19sChIJESfO0aLP-YgRd9fbs2I1Dq4,Access Garage Door of Augusta,4.8,20,Garage door supplier,"2808 Wilco Ave, Augusta, GA 30904, United States","CXX9+W5 Augusta, Georgia, USA",https://www.facebook.com/2001093326591372/,+1 706-738-5505,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNKs5ofj1gs01kFwfOoHW3AEZsH5OXq-lQBrBYB=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:26:43.207Z,,,
https://www.google.com/maps/place/Garage+Door+Services+of+CSRA+LLC/data=!4m7!3m6!1s0x9aa58ca0a433da3:0x92e2f192757c799e!8m2!3d33.3903105!4d-81.815042!16s%2Fg%2F11t0qbgtz6!19sChIJoz1DCspYqgkRnnl8dZLx4pI,Garage Door Services of CSRA LLC,5.0,237,Garage door supplier,,,http://gdsofcsra.com/?utm_source=google&utm_medium=organic&utm_campaign=GBP,+1 706-877-0797,Closes soon ⋅ 7 pm ⋅ Opens 7 am Sat,https://lh3.googleusercontent.com/p/AF1QipOho24OdJMnjSKGE8w-joVP0YEnE6No5YeBbaSF=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:26:48.453Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Augusta%2FAiken%E2%84%A2/data=!4m7!3m6!1s0x88f9d3d320af4a4b:0x3a3cb65e20da040c!8m2!3d33.46269!4d-82.08534!16s%2Fg%2F11x9w9hlc!19sChIJS0qvINPT-YgRDATaIF62PDo,Overhead Door Company of Augusta/Aiken™,4.6,223,Garage door supplier,"1529 Crescent Dr, Augusta, GA 30909, United States","FW77+3V Augusta, Georgia, USA",https://ohdaugusta.com/,+1 706-725-5990,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPaGMHzzuXrcJ4Rny-2GjXg5t32dd6q0m1Gc5kw=w408-h272-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:26:53.324Z,,,
https://www.google.com/maps/place/Superior+Overhead+Garage+Door+Service/data=!4m7!3m6!1s0x88f9ce6e81743fb5:0x2606bfbb4e9d397c!8m2!3d33.4122264!4d-82.090917!16s%2Fg%2F11clytqqlh!19sChIJtT90gW7O-YgRfDmdTru_BiY,Superior Overhead Garage Door Service,4.7,498,Garage door supplier,,,https://superior-overhead-garage-door-service.ueniweb.com/,+1 706-832-0855,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMVt5pmio924_hZAcOAX4JARuZYOUJPpUXACAay=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:26:58.354Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Aiken+Augusta+Garage+Door/data=!4m7!3m6!1s0x88f82d77e14dbab7:0xfd4e1fc176c10e98!8m2!3d33.486904!4d-82.1174227!16s%2Fg%2F11ffv47y6m!19sChIJt7pN4Xct-IgRmA7BdsEfTv0,Aiken Augusta Garage Door,4.9,212,Garage door supplier,"4210 Wheeler Rd Unit B1, Martinez, GA 30907, United States","FVPM+Q2 Martinez, Georgia, USA",https://aikenaugustagaragedoor.com/,+1 706-814-8866,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipON5UjJxDg79nNdhweDEJP5bJptdFeC7rO1tUau=w408-h357-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:27:03.339Z,Identifies as women-owned,,
https://www.google.com/maps/place/Augusta+Garage+Door+Repair/data=!4m7!3m6!1s0x88f9d34213d9abb1:0x129b8cce1e89dd26!8m2!3d33.4159771!4d-82.0124488!16s%2Fg%2F11h70rq1sp!19sChIJsavZE0LT-YgRJt2JHs6MmxI,Augusta Garage Door Repair,5.0,6,Garage door supplier,,,,+1 706-395-0088,,https://lh3.googleusercontent.com/p/AF1QipPEnFD12WlaWF_zMn7vcb9y_s2Tvm5l5SjLaR1-=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:27:08.087Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Garage+Door+Repair+of+Augusta/data=!4m7!3m6!1s0x2c5bb26da8db111:0xee34cfe86d9d49cd!8m2!3d33.4430465!4d-82.1606504!16s%2Fg%2F11tsjc4jn5!19sChIJEbGN2ia7xQIRzUmdbejPNO4,Garage Door Repair of Augusta,5.0,81,Garage door supplier,,,http://augustadoors.com/,+1 706-651-9090,,https://lh3.googleusercontent.com/p/AF1QipNTDd9cQTXBAN1-YCgrRoyOi7941-PaUlisSltT=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:27:13.089Z,,,
https://www.google.com/maps/place/Augusta+Garage+Door+CO+LLC/data=!4m7!3m6!1s0x88f9d42f95e7560f:0x18e3731d2e5e7ff5!8m2!3d33.4213375!4d-82.087262!16s%2Fg%2F11fy_dbl2x!19sChIJD1bnlS_U-YgR9X9eLh1z4xg,Augusta Garage Door CO LLC,4.9,34,Garage door supplier,,,,+1 706-833-9168,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPPjTpahLZOeBSt4dnWaCT3o316FU1VJfrBCLXf=w433-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:27:17.936Z,,,
https://www.google.com/maps/place/Southern+Door+and+Fireplace+Inc/data=!4m7!3m6!1s0x88f9d3e99c224973:0xfeac1af156219593!8m2!3d33.4931283!4d-82.0917424!16s%2Fg%2F1hbpwsft2!19sChIJc0kinOnT-YgRk5UhVvEarP4,Southern Door and Fireplace Inc,2.7,7,Garage door supplier,"704 McKnight Industrial Blvd, Augusta, GA 30907, United States","FWV5+78 Augusta, Georgia, USA",,+1 706-868-8118,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8O4m-bP5OEneurhOjMEULA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.250877&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-07T23:27:20.592Z,,,
