placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes
https://www.google.com/maps/place/Legacy+Tree+Company/data=!4m7!3m6!1s0x87189f18b62d3f8d:0x2fd422c461abe434!8m2!3d35.1757846!4d-106.6186654!16s%2Fg%2F11hzqds36p!19sChIJjT8tthifGIcRNOSrYcQi1C8,Legacy Tree Company,4.9,802,Tree service,"100 El Pueblo Rd NW UNIT A, Albuquerque, NM 87114, United States","59GJ+8G Albuquerque, New Mexico, USA",https://legacytreecompany.com/albuquerque-arborist/?utm_campaign=gmb,+1 505-210-8482,"Closed · Opens 8 am Wed

Updated by this business 9 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFogYCvTJIzUbwDGt66nOx_T7qHPatFEvqnllXApne_5QhRqFp5DvrFMaHFW7rDfZxh-k6H9KdnG6tpuqJLfgHJDQoKB2wpiZYLCepAJCrDXctQA6bMMvgFFuAj2_QjpFH7wteGC8iNb29R=w458-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:28.178Z,
https://www.google.com/maps/place/Baca%27s+Trees/data=!4m7!3m6!1s0x8722740d78128bb5:0xb9b44d6a56c4566!8m2!3d35.1716447!4d-106.6180629!16s%2Fg%2F1thqh6j0!19sChIJtYsSeA10IocRZkVspdZEmws,Baca's Trees,4.1,211,Tree service,"7933 Edith Blvd NE, Albuquerque, NM 87113, United States","59CJ+MQ Albuquerque, New Mexico, USA",http://www.bacastrees.com/,+1 505-899-6666,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjGCgCbz54GrJmyPV_HH2HLcTMpsTOUQxtyLv60adiz8jD59MWW__0eURtn4EIfjhI7jkqn6OzBFta_DfZZZoEi2t4F6oAcF8mBOiqTJcCLnx8vnkMCvv_6yyf4fUzGq5haVpxhg=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:34.290Z,
https://www.google.com/maps/place/Monkey%27s+Tree+Services+LLC/data=!4m7!3m6!1s0x87220d4b3936498b:0x4bced30d0486a3d3!8m2!3d35.1688966!4d-106.6285916!16s%2Fg%2F11gy7ff43t!19sChIJi0k2OUsNIocR06OGBA3Tzks,Monkey's Tree Services LLC,4.9,133,Tree service,"7823 2nd St NW, Albuquerque, NM 87107, United States","599C+HH Albuquerque, New Mexico, USA",http://monkeystreesservices.com/,+1 505-306-0194,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeYBaSHpJk0XDtLkj_Tvm4oL6zpTDhUal8SQYlI7Gj3TF2UtPQ5QGoQxREeiA4hfKGvA6DxJPtuCjKl8oIxzVVPyOJ29xXU_WlkrSt_X9biuwHAoqirSOVV5PHSbQqbTx5NWIRPA=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:39.469Z,
https://www.google.com/maps/place/Sierra+Tree+Services/data=!4m7!3m6!1s0x8718a01400000001:0x6ecb05f4e500fee1!8m2!3d35.1625702!4d-106.6277623!16s%2Fg%2F113hpm1nj!19sChIJAQAAABSgGIcR4f4A5fQFy24,Sierra Tree Services,4.8,16,Tree service,"148 Pueblo Luna Dr NW, Albuquerque, NM 87107, United States","597C+2V Albuquerque, New Mexico, USA",,+1 505-573-6157,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uwHy6YnxubNR-hWdFXfmtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.66626&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:44.340Z,
"https://www.google.com/maps/place/Southwest+Tree+Specialists,+Inc./data=!4m7!3m6!1s0x8722738aca56e0a5:0x27055612c1d399a6!8m2!3d35.1404855!4d-106.6193225!16s%2Fg%2F113gsybtz!19sChIJpeBWyopzIocRppnTwRJWBSc","Southwest Tree Specialists, Inc.",4.5,15,Tree service,"624 Mission Ave NE, Albuquerque, NM 87107, United States","49RJ+57 Albuquerque, New Mexico, USA",,+1 505-897-1606,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6RQ21kDphO4E1HR7zc9010C_2EN2520ww5dGWyxDwfVNMlCoxInu5shspQEldG1P3ZW0RYCiQWzKf8dPyEZKyFHm1TAdFYGv51FklA9gaLxLp4ew-QKnyahzKjBOyHm68e59y=w408-h305-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:49.007Z,
https://www.google.com/maps/place/Robert%27s+Tree+Service+LLC/data=!4m7!3m6!1s0x87220d803e9baf21:0xd84c1749bf2be79f!8m2!3d35.1043326!4d-106.5319514!16s%2Fg%2F1v6l7yy6!19sChIJIa-bPoANIocRn-crv0kXTNg,Robert's Tree Service LLC,4.9,915,Tree service,"10101 Norman Ave NE, Albuquerque, NM 87112, United States","4F39+P6 Albuquerque, New Mexico, USA",http://abqtreeservices.com/,+1 505-207-3413,Open 24 hours,Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4l-LIcEQc8inF-fsWwAMHsA5WwribVqV6PWehzkA7gn5vGDxXTKZep2Xi2td2yCOg-gwDcgFE1JryFPpmJeDx08d0F1Bsbu4NWmLIFAMwll1EbTBIjn1kSiz5GDPWeDkblKjC=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:54.095Z,
https://www.google.com/maps/place/Certified+Albuquerque+Tree+Specialist/data=!4m7!3m6!1s0x8722754fb55a4213:0x7f0e8dc2fa66c4eb!8m2!3d35.1519274!4d-106.6212328!16s%2Fg%2F11nckvbp72!19sChIJE0JatU91IocR68Rm-sKNDn8,Certified Albuquerque Tree Specialist,5.0,7,Tree service,"6609 Leta Rd NE, Albuquerque, NM 87113, United States","592H+QG Albuquerque, New Mexico, USA",https://treeservicesalbuquerquenm.com/?utm_source=google&utm_medium=organic,+1 505-218-7396,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrrifk6d7vQ9lI2iHCFVuzG86yf40zkJBDvcQbscJ729nLtFidqzkHMt0UltsDjVaydHeyEh4QXSkIArYNey0EIBSovpOY9-EX49Bjch5gg_VyBcXiA86SEHLtONsYhM0ll9Tx=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:32:58.983Z,
https://www.google.com/maps/place/Red+Shovel+Landscape/data=!4m7!3m6!1s0x8722744b67ea34cf:0xbbbce4960bb57cd3!8m2!3d35.183609!4d-106.6149139!16s%2Fg%2F1hm3crbmr!19sChIJzzTqZ0t0IocR03y1C5bkvLs,Red Shovel Landscape,4.8,1748,Landscaper,"9100 2nd St NW, Albuquerque, NM 87114, United States","59MP+C2 Albuquerque, New Mexico, USA",https://redshovel.com/?utm_source=GBP&utm_medium=organic&utm_campaign=googlebusiness,+1 505-243-2277,"Closed · Opens 8 am Wed

Confirmed by this business 2 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoCPKbT3No5v8DcNh0WUkl3qTj-5IDJhXmzFOuFaJgzdrfX58ordiRxo8Jb_mnZQKGxJizMSPfUBacqEZytrCTZrPZPFBorz-VNyMQbJmy8oYd1NuOG9qpqvxhh1GDnaI6QjfB=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:33:03.922Z,
"https://www.google.com/maps/place/Treepros,+LLC/data=!4m7!3m6!1s0x872273eee3d17917:0x10b68c8246d143f9!8m2!3d35.0747637!4d-106.5176429!16s%2Fg%2F11hzt__484!19sChIJF3nR4-5zIocR-UPRRoKMthA","Treepros, LLC",4.9,400,Tree service,"333 Maxine St NE, Albuquerque, NM 87123, United States","3FFJ+WW Albuquerque, New Mexico, USA",http://www.treeprosabq.com/,+1 505-274-3049,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZbNBIe0gaD1STCAa_vzXaFFCxvbpQgO0qX962-4EIRG9Yczt9LrgqePs7OIbvHDrJst3OoG9l7eyFcMNwZ17NtIpk8zwbltEPJoCwioL0UbuvfG7AyHtZKY9D2wJpDgKe18k7aK_y9Ck=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:33:08.716Z,
https://www.google.com/maps/place/J.Harris+Tree+Care+Certified+Arborist-+Albuquerque/data=!4m7!3m6!1s0x872275f09224253d:0x996f43f365d1d3a0!8m2!3d35.0823726!4d-106.671984!16s%2Fg%2F11h6q7z9jn!19sChIJPSUkkvB1IocRoNPRZfNDb5k,J.Harris Tree Care Certified Arborist- Albuquerque,5.0,48,Tree service,,,,+1 505-316-3969,Closed · Opens 7:30 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBdcM-61m6MHqqM5ZPyc88NvfP5abjOwziuzf6uOtOzTucryq9iJA0dNHVL6T28r0Z2k74MU6TdgArJGG32r2tx6YZdu23ZJRiAXuQKdQDv-4dwkm58Z3sB_ws4gjQ4pyWfiRi=w427-h240-k-no,true,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,Closed,7:30 am–7:30 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-04-29T04:33:13.530Z,
