placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Jeff+Odom+Landscaping+%26+Property+Preservation/data=!4m7!3m6!1s0x54d2c167e49c0695:0x688123b7eb578210!8m2!3d40.4613037!4d-122.2908885!16s%2Fg%2F11fjz9rhrd!19sChIJlQac5GfB0lQREIJX67cjgWg,Jeff Odom Landscaping & Property Preservation,5.0,1,Landscaper,"3125 Sharon Ave, Anderson, CA 96007, United States","FP65+GJ Anderson, California, USA",,+1 530-221-5090,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3aFdhTvARpcLrTglGxhYFMI8dahvQ5MHKBi7tK4FkdHQwLhHyZUkO3QS5_lAq8J0x93aQfqdw-DLUMeQZCx7CnlhDTUliy0-rtW7pB9S0fw2N4NPRYuQwvaV6XbG-727WKys=w427-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,8 am–2 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:06.324Z,,,,
https://www.google.com/maps/place/Loucks+Landscape+Supply/data=!4m7!3m6!1s0x54d2c1b1332ccd97:0x1be078f0ea93119a!8m2!3d40.4814245!4d-122.2945441!16s%2Fg%2F1tdg_08q!19sChIJl80sM7HB0lQRmhGT6vB44Bs,Loucks Landscape Supply,4.9,581,Landscaping supply store,"6023 Churn Crk Rd, Redding, CA 96002, United States","FPJ4+H5 Redding, California, USA",https://www.louckslandscapesupply.com/,+1 530-378-2220,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBg2tPslx7vYHt15x-JYLNpKgYEZW4hu6e8T92IYKUTQHMwboWJol0W4ABCYuMT0OmkJPokYtTnd0YuLbvbbEsCcODc8npHxw14JJBP0oUrQwYm_mHZNcmg4W1yc3dWOksASgq=w426-h240-k-no,true,6:30 am–5:30 pm,6:30 am–5:30 pm,7 am–5 pm,8 am–3 pm,8 am–3 pm,6:30 am–5:30 pm,6:30 am–5:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:11.474Z,· In-store shopping · In-store pick-up · Delivery,Identifies as women-owned,,
https://www.google.com/maps/place/Lassen+Design+Scape+Inc./data=!4m7!3m6!1s0x2448a91023ea479f:0xfaea6f4a439d3998!8m2!3d40.478457!4d-122.194407!16s%2Fg%2F11v06wvqy_!19sChIJn0fqIxCpSCQRmDmdQ0pv6vo,Lassen Design Scape Inc.,5.0,14,Landscaper,,,https://www.lassenlandscape.com/,+1 530-999-7279,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoQzonLsxQmVDhDpedNJUmYTQ4ryyC6Gd8ZDVAOWcYXdxAP35g3xuolcoCyK7fEO5OE00Qkl8wQMC9DRnQViFvI8dUCIjlOoX0g9j8sL8dmf1RYGlMk-yTqhT4c2jfxRpSIXhCTJJtLc8=w408-h307-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–3 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:16.437Z,,,,
https://www.google.com/maps/place/Parker+and+Honey+Landscape+and+Design/data=!4m7!3m6!1s0x4a25b5bbe50c0951:0x6b22bf144e479abd!8m2!3d40.8585805!4d-121.857386!16s%2Fg%2F11x3bjlsq3!19sChIJUQkM5bu1JUoRvZpHThS_Ims,Parker and Honey Landscape and Design,5.0,12,Landscape designer,,,https://parkerandhoney.com/,+1 530-782-2287,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWNWhwS7TqIjmTfyuUzch2hx1YXt2un34W8oDdcZqyO8qKWTP4TSq07WYZgzBsm4xVlvdUIOL0ufRPx63GgCQ9oBV--26lF7nXdbFErVXpaZKNjvs-oGhQOIqdsPE9uz71c2EJtWQ2O4QT=w425-h240-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:20.705Z,,,,
https://www.google.com/maps/place/Bettercuts+Landscaping/data=!4m7!3m6!1s0x54d2e903c4718867:0xfd16b3e59b578e46!8m2!3d40.4764023!4d-122.4019993!16s%2Fg%2F11y3vkzmgn!19sChIJZ4hxxAPp0lQRRo5Xm-WzFv0,Bettercuts Landscaping,5.0,63,Landscaper,"17643 Hawthorne Ave, Anderson, CA 96007, United States","FHGX+H6 Anderson, California, USA",,+1 530-410-9518,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGap44dKitBbTXUEMdo9rCV3QYcWjf6vCpJJ5LdjAUTTGbE24rovg-IFuh56JfEPUZY-Lrwc19t6rCdPjrmzIWA78Ejs88Rvcr8vJyY_lZQqm8GtzK6B3fBVNDqT9ZqHnunfEGo=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,9 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:25.587Z,,,,
https://www.google.com/maps/place/Complete+Lawn+%26+Landscape/data=!4m7!3m6!1s0x54d2ebbde67d1f73:0x3cb82ef8dde7b036!8m2!3d40.5251471!4d-122.3816634!16s%2Fg%2F11g8_jcxzz!19sChIJcx995r3r0lQRNrDn3fguuDw,Complete Lawn & Landscape,4.7,51,Landscaper,"6259 Eastside Rd, Redding, CA 96001, United States","GJG9+38 Redding, California, USA",https://www.completelawnandlandscape.com/,+1 530-319-7101,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGmduGe_a1st2Wg4jlLDjKfx2UgrJWihumUkvAw0-qBkjJiD0sfRs8UPUvwRpDka71CeO0h_I9KpnEfE_Kv0Uf2fP1t8oy_HATYwrjUOZJN8ZMUBJrVqeGxxy-fm00-Cd4QbPm=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:30.586Z,,,,
https://www.google.com/maps/place/Wild+Toad+Landscape+Materials/data=!4m7!3m6!1s0x54d2e9f9e791c5ad:0xb85cfe79160bfa7d!8m2!3d40.4909063!4d-122.3622251!16s%2Fg%2F11yh5qhfb2!19sChIJrcWR5_np0lQRffoLFnn-XLg,Wild Toad Landscape Materials,5.0,52,Landscaping supply store,"7086 CA-273, Anderson, CA 96007, United States","FJRQ+94 Anderson, California, USA",https://wildtoadlandscapematerials.com/,+1 530-243-3037,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrFr70EALAbvBC0NmrmujUmexXoRijjBBQJLh0efqlcfB_kMFM_HJyA9yX7ZqIFA2kw4b4v7igNGQ4btibmtINe2juEeG-MFL4vtPrxM_XdNgqPJogqdcCpuSIdq0G7ReOvhq_89W9fdoI=w408-h306-k-no,true,7 am–3 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,9 am–2 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:34.934Z,· Delivery,Identifies as women-owned,,
https://www.google.com/maps/place/Rotta+and+Mckee+Landscaping/data=!4m7!3m6!1s0x54d2c3e9c3cb6f5d:0x7f491b14067f6cdd!8m2!3d40.4379905!4d-122.2938979!16s%2Fg%2F11fq8qmszl!19sChIJXW_Lw-nD0lQR3Wx_BhQbSX8,Rotta and Mckee Landscaping,,,Landscaper,"1879 Pinon Ave, Anderson, CA 96007, United States","CPQ4+5C Anderson, California, USA",,+1 530-377-4066,Open · Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BhhZDprlPiw4RlBF9YTxgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.09293&pitch=0&thumbfov=100,false,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7:30 pm,6:30 am–7:30 pm,6:30 am–7 pm,6:30 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:39.254Z,,,,
https://www.google.com/maps/place/McMullen%27s+Landscaping/data=!4m7!3m6!1s0x54d2e9e47b073007:0x367158cbd5cf12d6!8m2!3d40.4836295!4d-122.3828471!16s%2Fg%2F11hn8r0z8v!19sChIJBzAHe-Tp0lQR1hLP1ctYcTY,McMullen's Landscaping,5.0,10,Landscaper,"7146 Happy Valley Rd, Anderson, CA 96007, United States","FJM8+FV Anderson, California, USA",,+1 530-227-8232,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i2JJX8DLEoAwMX40vIogjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.3654&pitch=0&thumbfov=100,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:43.898Z,,,,
https://www.google.com/maps/place/Clifford+Landscape+Contractors/data=!4m7!3m6!1s0x68d1710310ff1335:0x32c3dbb38b4abc40!8m2!3d40.6555062!4d-122.3084046!16s%2Fg%2F11y46f3s6w!19sChIJNRP_EANx0WgRQLxKi7PbwzI,Clifford Landscape Contractors,4.9,138,Landscaper,"12631 Encanto Way, Redding, CA 96003, United States","MM4R+6J Redding, California, USA",https://www.cliffordlandscape.com/,+1 530-646-8564,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGp91f5aEABAuZVeFAJT5BQL7mka2R4tF3hOTLJ1dZAGN159X27Y3eJ3oYn03cXUfaZvU7nhO2jXM3PtamRrbJqUWhkK-S5bg5CR1kMv0PM8iXSgrP_dnlluVyLVoxrgdKONviD9Q=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-04-29T20:02:48.357Z,,,,
