placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,error
https://www.google.com/maps/place/Trident+Tree+Works+-+York+Tree+Surgeons/data=!4m7!3m6!1s0xa3ca0c79e7740b67:0x817d2b134d73d689!8m2!3d53.9775881!4d-1.0976594!16s%2Fg%2F11rwq9c0ws!19sChIJZwt053kMyqMRidZzTRMrfYE,Trident Tree Works - York Tree Surgeons,5.0,303,Arborist service,"177 Water Ln, York YO30 6PJ, United Kingdom","XWH2+2W York, UK",https://www.tridenttreeworks.com/,+44 7378 305270,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGG-8Xs2HFNvSuOoeVhrxyTwzayapZvZxcNTspsB9i1iingKwUKPPG_gOY09yF39sKMXXWLGWYRnp9ppwNgD17eeZLIiCFcqskwG1uZghbLs2dZWAXiKP3eqI4oZ0U6Led9ESMs5g=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:04.187Z,,
https://www.google.com/maps/place/Ace+Tree+Services/data=!4m7!3m6!1s0x4879295895381bfb:0xbbdfc2752da90785!8m2!3d53.939617!4d-1.1328598!16s%2Fg%2F11r98_hnx8!19sChIJ-xs4lVgpeUgRhQepLXXC37s,Ace Tree Services,5.0,149,Tree service,"Greenwood Grove, Woodthorpe, York YO24 3DT, United Kingdom","WVQ8+RV York, UK",https://www.acetreeservices.uk/,+44 7749 284488,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyWZlPR1U3yeU_djDg5ByU2sAiu3X3DX3Oj0_VfCVt-eyOzQNH6V0i2sloPntG1LrB8CiTMBUPILYr204ihp7oLgy92d_awKkYskPgJqtJ4xExVTn5SrxbMINZg79jPr8jNx8iwumOUcU=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:10.300Z,,
https://www.google.com/maps/place/Castle+Tree+Surgeons/data=!4m7!3m6!1s0x487931d2fd902923:0x4262aaaf37d3b241!8m2!3d53.9440103!4d-1.0443281!16s%2Fg%2F1tgpmjxs!19sChIJIymQ_dIxeUgRQbLTN6-qYkI,Castle Tree Surgeons,4.9,31,Arborist service,"Heslington, York YO10 3LG, United Kingdom","WXV4+J7 Heslington, York, UK",http://www.castletreesurgeons.co.uk/80690/contact.php,+44 7703 299422,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHzsVOTM4vGGwqTB30KBQUNEv6d9I16c8QDYJdQMiFgJmUkTGjA-nr6Rc_74X2JEO3muq9aMc1nyYdN3oxge14wemH8enjk39vMMkS8XTTX0HxxPP6vSAk90N3T3MOkDnTQ_39oA=w408-h376-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:15.018Z,,
https://www.google.com/maps/place/YTS+York+Tree+Surgeon+%26+Specialists/data=!4m7!3m6!1s0x89045cf7721a8fd5:0x6e521513f7a136a0!8m2!3d53.9571872!4d-1.0858009!16s%2Fg%2F11q2x3c1_7!19sChIJ1Y8acvdcBIkRoDah9xMVUm4,YTS York Tree Surgeon & Specialists,5.0,1,Arborist service,"13 Micklegate, York YO1 6RA, United Kingdom","XW47+VM York, UK",https://yorktreespecialists.com/,+44 1904 935176,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7fDFDGnq_IvnInrGnTRwKIrrofWBYray1Bft5pR_saCDM4GDO6Nnp2aol2k7giGV22Spf6cDyxZMJzq7KLgQHgdXp2tWy6ylbHTWrXFpCrpN9AwVzWWSsTqUAte3whxoV3VM=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:19.772Z,,
https://www.google.com/maps/place/The+Green+Man+of+York/data=!4m7!3m6!1s0x451574e312cdfcd9:0xb15552c5262a60e3!8m2!3d53.9547056!4d-1.0492772!16s%2Fg%2F11kj5bxqc4!19sChIJ2fzNEuN0FUUR42AqJsVSVbE,The Green Man of York,5.0,10,Gardener,"12 Lilac Ave, York YO10 3AT, United Kingdom","XX32+V7 York, UK",https://www.facebook.com/profile.php?id=100092248895740,+44 1904 423496,Closed · Opens 9 am,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPpI4mkW91NFKJhYEiJV4xHxUPwr-L4eOrrIoHcV3kIU20gzLXgGYKYtyDR6EwgIOgMe8-BypJ6XUPCCz59qe8S3EMByeko3evDvrLuRG6A7snUvbo9dr-dxkHUm0ckC3gw1Wf=w426-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,Closed,9 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:24.469Z,,
https://www.google.com/maps/place/York+Tree+Surgeons/data=!4m7!3m6!1s0x487931a92ed8f555:0xb84976cadeb61484!8m2!3d53.8742525!4d-0.8258584!16s%2Fg%2F11bwh5ts_z!19sChIJVfXYLqkxeUgRhBS23sp2Sbg,York Tree Surgeons,5.0,1,Arborist service,,,,+44 1904 500144,Open · Closes 11 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRj-kiOMVt_7m3brx25X3yaqDLtqami9QW0eVeQ85y82KmX6wlUwTUknqrz_5Mra0CGEHYxBWlVyYFZ0pa3GbT9ByfAXFenJgd8WY9dLUkcpuFipwO2CCzkl7F0YS5hLIelSr-=w408-h306-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:29.047Z,,
https://www.google.com/maps/place/Laycock+Firewood+%26+Tree+Experts/data=!4m7!3m6!1s0x487931fd4b774e21:0xb6edc32e367b6e30!8m2!3d53.9625079!4d-1.1288786!16s%2Fg%2F11px39z1d8!19sChIJIU53S_0xeUgRMG57Ni7D7bY,Laycock Firewood & Tree Experts,5.0,39,Tree service,"44 Tostig Ave, Acomb, York YO26 5QF, United Kingdom","XV7C+2C York, UK",https://laycockfirewood.co.uk/,+44 7910 039013,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF68HnkrXULZJxisSwI9poL05K83bgmARqv2pVOKPgAJy5El-BDiPsY2pF_h0PaCGwpkSHEoia4YBIKYXvVGm8Lt2z6AI9AZ55pWBEuZkWVJD4epKeOgn21UBoyrtYGJbx0ZkjowbqCPlo=w408-h883-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:34.017Z,,
https://www.google.com/maps/place/York+Tree+Services/data=!4m7!3m6!1s0x487931a92eb06761:0xe5a373c744a9d740!8m2!3d53.9570811!4d-1.0815135!16s%2Fg%2F11rx8q3z0m!19sChIJYWewLqkxeUgRQNepRMdzo-U,York Tree Services,,,Tree service,"7-9 Clifford St, York YO1 9RG, United Kingdom","XW49+R9 York, UK",https://yorktreeservices.co.uk/about-us/,+44 1904 500144,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GC3lH9Gab0M6nf1895DGRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=104.91953&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:36.438Z,,
https://www.google.com/maps/place/Lewis+Tree+Surgery/data=!4m7!3m6!1s0x487925707bacf681:0x8cda8b8739ce1e5a!8m2!3d53.8956419!4d-0.9865347!16s%2Fg%2F11f54md02c!19sChIJgfase3AleUgRWh7OOYeL2ow,Lewis Tree Surgery,4.8,38,Tree service,"The Woodyard, York YO19 6BH, United Kingdom","V2W7+79 Wheldrake, York, UK",https://www.lewistreesurgeryyork.co.uk/,+44 1904 448088,Closed · Opens 9 am,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6I0cLK77H7thNoRQKCi6YEmpJmqeQiVNx4CZWJqVQkj-YLM-PvD4HwMdepS2hNINlAFO8lthZ8PEN2923b8ZpGLg_35ZyCBTiQ8e0smvsXk6IUa-WYUc1SVPCSxzeC_8_1aI_=w408-h544-k-no,true,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:41.258Z,,
https://www.google.com/maps/place/Ryland+Horticulture+Ltd/data=!4m7!3m6!1s0x487936b1bb40a76d:0x40b7526f2499e994!8m2!3d53.9792558!4d-1.1497706!16s%2Fg%2F1tdk4ps0!19sChIJbadAu7E2eUgRlOmZJG9St0A,Ryland Horticulture Ltd,5.0,53,Landscaper,"159 Long Ridge Ln, Upper Poppleton, York YO26 6HA, United Kingdom","XVH2+P3 Upper Poppleton, York, UK",https://rylandhorticulture.co.uk/,+44 1904 799032,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1JbtOzKpUIBf4gaGNWJDeS7me9-q8MNtAQAHID12CiHRJRl11IL0Znxa4k2QR4oWCOsQlHp4ibHq7ECnGGvFJTORlOuDcnRwAjYa698ywY8tdCkbouLy4wlXwOgxwy_G8S3BG=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-04-29T05:11:46.032Z,,
