placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,isBlackOwned,error
https://www.google.com/maps/place/Total+Mental+Wellness+-+Integrative+Psychiatry+-+Fort+Lauderdale/data=!4m7!3m6!1s0x88d90101c224e197:0x58ef370086cb32b1!8m2!3d26.1219286!4d-80.1351962!16s%2Fg%2F11h3qsfptl!19sChIJl-EkwgEB2YgRsTLLhgA371g,Total Mental Wellness - Integrative Psychiatry - Fort Lauderdale,4.8,75,Psychiatrist,"The Cumberland Building, 800 E Broward Blvd Suite 310, Fort Lauderdale, FL 33301, United States","4VC7+QW Fort Lauderdale, Florida, USA",https://totalmentalwellnessfl.com/,+1 954-361-2669,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipP3C6-I5wpMJbGxOakSlvZ1osfPosVvIDhLcRvu=w408-h725-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:52:39.287Z,,,,,,,,,
https://www.google.com/maps/place/House+of+Wellness-Psychiatry+Mental+Health/data=!4m7!3m6!1s0x88d903d68ffacedb:0xe2bc01ea550c36eb!8m2!3d26.1846983!4d-80.1174173!16s%2Fg%2F11jt2cggzt!19sChIJ2876j9YD2YgR6zYMVeoBvOI,House of Wellness-Psychiatry Mental Health,5.0,24,Psychiatrist,"4546 N Federal Hwy, Fort Lauderdale, FL 33308, United States","5VMM+V2 Fort Lauderdale, Florida, USA",http://www.myhouseofwellness.org/,+1 954-662-0500,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOqWKsil3X4XdemrJ-pjDdvDVgwBy7HbEnNC62d=w408-h612-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:52:44.623Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/FAMh+-+For+All+Mental+Health+Fort+Lauderdale/data=!4m7!3m6!1s0x88d901822c2e0625:0x281a434db4c5f396!8m2!3d26.1201687!4d-80.1428786!16s%2Fg%2F11vkd_11hn!19sChIJJQYuLIIB2YgRlvPFtE1DGig,FAMh - For All Mental Health Fort Lauderdale,5.0,17,Mental health clinic,"200 S Andrews Ave Ste 504, Fort Lauderdale, FL 33301, United States","4VC4+3R Fort Lauderdale, Florida, USA",https://forallmentalhealth.com/,+1 877-400-0540,Closed · Opens 7 am Tue,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOhH2F7bwi4QaxO2jHImI1AJ1olg8tOMweGYsyU=w408-h272-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:52:49.930Z,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,,
https://www.google.com/maps/place/MorMindful+Therapy+%26+Psychiatry+Fort+Lauderdale/data=!4m7!3m6!1s0x88d901b4e654beab:0xec79b775574681b6!8m2!3d26.182278!4d-80.1189114!16s%2Fg%2F11khmzvb77!19sChIJq75U5rQB2YgRtoFGV3W3eew,MorMindful Therapy & Psychiatry Fort Lauderdale,5.0,47,Psychologist,"4390 N Federal Hwy Suite 207, Fort Lauderdale, FL 33308, United States","5VJJ+WC Fort Lauderdale, Florida, USA",https://www.mormindful.com/?utm_source=Google&utm_medium=Organic+traffic&utm_campaign=google_my_business_fortlauderdale,+1 954-889-7929,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPvA74GFTxlELaF0FtTItP7NU-slP7M3_zqnUxy=w408-h382-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:52:54.990Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,Closed,,
https://www.google.com/maps/place/Reclamation+Center+of+Fort+Lauderdale/data=!4m7!3m6!1s0x88d903f6622d9505:0x611ce6766a1b9556!8m2!3d26.2018081!4d-80.1851382!16s%2Fg%2F11r7skmm7r!19sChIJBZUtYvYD2YgRVpUbanbmHGE,Reclamation Center of Fort Lauderdale,4.9,31,Mental health clinic,"2900 W Cypress Creek Rd Suite #5 and #13, Fort Lauderdale, FL 33309, United States","6R27+PW Fort Lauderdale, Florida, USA",http://www.reclamationcntr.com/,+1 954-343-6552,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNT0otmE8y1sxMF1B5h19YM4zu08iSyTVtlrbRz=w408-h271-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:52:59.781Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Envision+Mindcare/data=!4m7!3m6!1s0x88d9014deaacca8b:0xe8c68a7ca7cbd06b!8m2!3d26.1125143!4d-80.1426032!16s%2Fg%2F11vytnbr4s!19sChIJi8qs6k0B2YgRa9DLp3yKxug,Envision Mindcare,5.0,51,Psychiatrist,"12 SE 7th St #705, Fort Lauderdale, FL 33301, United States","4V74+2X Fort Lauderdale, Florida, USA",https://envisionmcare.com/,+1 786-220-1969,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipN6HWIBDxiXmxbyTF6XHx5x-Gd6FpWqhCIBBXwB=w408-h310-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:53:04.801Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,10 am–5 pm,Closed,,
https://www.google.com/maps/place/Metamorphosis+Psychcierge+Psychiatry/data=!4m7!3m6!1s0x8159f82bef4d04ef:0xbe23f4004ddbd83a!8m2!3d26.1197837!4d-80.1389799!16s%2Fg%2F11tb_rgg5_!19sChIJ7wRN7yv4WYEROtjbTQD0I74,Metamorphosis Psychcierge Psychiatry,5.0,23,Mental health clinic,"401 E Las Olas Blvd #1400a, Fort Lauderdale, FL 33301, United States","4V96+WC Fort Lauderdale, Florida, USA",http://www.metamorphosispsychcierge.com/,+1 954-228-0616,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mUjX5CmmkSlh0gFbi6OW5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.62855&pitch=0&thumbfov=100,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:53:09.764Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,8 am–2 pm,true,
"https://www.google.com/maps/place/New+Age+Psychiatry+-+ADHD,+Anxiety,+Depression/data=!4m7!3m6!1s0x88d90117ea1fffe1:0x444f928b38c44d64!8m2!3d26.1200182!4d-80.1401216!16s%2Fg%2F11n5db15rq!19sChIJ4f8f6hcB2YgRZE3EOIuST0Q","New Age Psychiatry - ADHD, Anxiety, Depression",4.4,90,Mental health clinic,"300 SE 2nd St Suite 600 - 64, Fort Lauderdale, FL 33301, United States","4VC5+2X Fort Lauderdale, Florida, USA",https://newagepsychiatry.com/,+1 561-713-2788,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNQHub6alq69gjEZKK7FXbyiNf3t8KdembqNcwU=w426-h240-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:53:14.835Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Vital+Psych+MD+-+Comprehensive+Psychiatrist+-+Fort+Lauderdale/data=!4m7!3m6!1s0x88d9016313fa0d4d:0xa513eaa7f76a9535!8m2!3d26.1227953!4d-80.1430893!16s%2Fg%2F11m61tf0xh!19sChIJTQ36E2MB2YgRNZVq96fqE6U,Vital Psych MD - Comprehensive Psychiatrist - Fort Lauderdale,5.0,4,Mental health clinic,"1 E Broward Blvd #700, Fort Lauderdale, FL 33301, United States","4VF4+4Q Fort Lauderdale, Florida, USA",https://www.vitalpsychmd.com/,+1 305-204-5372,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPbSAwOKfG62-tfPrP03rMp2CqIjk5B44pAf8Lb=w408-h272-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:53:19.684Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Harmony+United+Psychiatric+Care+-+Fort+Lauderdale/data=!4m7!3m6!1s0x88d903ccb0a3ebcb:0x72acd408d484082!8m2!3d26.1860471!4d-80.116567!16s%2Fg%2F11x7qws4v8!19sChIJy-ujsMwD2YgRgkBIjUDNKgc,Harmony United Psychiatric Care - Fort Lauderdale,5.0,17,Mental health service,"4750 N Federal Hwy #202, Fort Lauderdale, FL 33308, United States","5VPM+C9 Fort Lauderdale, Florida, USA",https://hupcfl.com/locations/fort-lauderdale-florida/,+1 800-457-4573,Closed · Opens 7:15 am Tue,,https://lh3.googleusercontent.com/p/AF1QipO_DdTfM4zmd91hxty3TKZEm3QrSZQHeyS-BmpH=w408-h544-k-no,true,https://www.google.com/maps/search/Psychiatry+clinics+in+Central+Beach+Fort+Lauderdale+FL/,2025-12-16T01:53:24.523Z,7:15 am–6:15 pm,7:15 am–6:15 pm,7:15 am–6:15 pm,7:15 am–6:15 pm,Closed,Closed,Closed,,
