placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes
https://www.google.com/maps/place/Mike+Jones+%26+Sons+Tree+Service+LLC/data=!4m7!3m6!1s0x8830d773d6eb5461:0xa27f885ff23228ae!8m2!3d41.0133374!4d-81.5315565!16s%2Fg%2F11gjstwd86!19sChIJYVTr1nPXMIgRrigy8l-If6I,Mike Jones & Sons Tree Service LLC,4.8,94,Tree service,,,https://www.mikejonessonstreeservice.com/#/,+1 234-300-2311,Closed · Opens 7 am,Identifies as veteran-owned,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHm2Gw9yI3GJ0yycSyB4Nqfoo76rr5IR-waj8-mY9Bn447JJdd8zayyM5M_znphEcuz8ZVbLrW6GKLTzeRcfmiD-8RphyAplfxl9ZCPCPcx7c8UK2oHWeEipuyLTReZAhx9Y0vbdA=w408-h544-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:18.204Z,
https://www.google.com/maps/place/Hercules+Tree+Service+LLC/data=!4m7!3m6!1s0x8836b73db3f3fb21:0xd7402d38b06742bc!8m2!3d41.0297357!4d-81.5671875!16s%2Fg%2F12mk_3ghm!19sChIJIfvzsz23NogRvEJnsDgtQNc,Hercules Tree Service LLC,4.7,460,Tree service,"2700 Cory Ave, Akron, OH 44314, United States","2CHM+V4 Akron, Ohio, USA",http://herculestree.com/,+1 330-696-5638,Open 24 hours,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxA1ATehKstD8qQP5eQntlDuOzXUz5b5vGdwMKihT4iPx0qDdQyPfiZaVIa13yOCQRTDiAW7GoVGxR4S82P8TB3ZZeQQxx-N0froLmRe2eam1cJbOfpNgXvuVc6C7RDM0H3rByg9l6zv1-=w408-h331-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:22.847Z,
https://www.google.com/maps/place/Tree+Service+Akron+Ohio/data=!4m7!3m6!1s0x8830d7d29b1f819b:0x71b575199e1a776f!8m2!3d41.078467!4d-81.520322!16s%2Fg%2F11f6635rn0!19sChIJm4Efm9LXMIgRb3canhl1tXE,Tree Service Akron Ohio,3.7,3,Tree service,"263 S Main St, Akron, OH 44308, United States","3FHH+9V Akron, Ohio, USA",,+1 330-208-9252,Open 24 hours,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFc4OVDsH1pxfXmK3McLVIc8T6-D9LtcZsqG4MWtgeaD-MtBc9I_AVVqLgT-uQreXTKOfFtkobqT3-DYu8uwpNVhJaP7UUuNnXLBnajqyyIEtGbFo_q9P4PKJ-_0FDKm7VB2Vqy=w408-h294-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:27.608Z,
https://www.google.com/maps/place/Tree+Service/data=!4m7!3m6!1s0x8830d7da6923ffff:0x2f7d01113c1c6130!8m2!3d41.100206!4d-81.5229985!16s%2Fg%2F11twq3y2f3!19sChIJ__8jadrXMIgRMGEcPBEBfS8,Tree Service,,,Tree service,"367 Spaulding St, Akron, OH 44310, United States","4F2G+3R Akron, Ohio, USA",https://www.mikejonessonstreeservice.com/about-us,+1 234-300-2311,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vwhhHht6mZp0k75s0wVpMQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.06424&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:29.757Z,
https://www.google.com/maps/place/Alvin%E2%80%99s+tree+Service/data=!4m7!3m6!1s0x636acc76136a0f9b:0x9d71f4c7e5ea8d16!8m2!3d41.073198!4d-81.513419!16s%2Fg%2F11rmrf4kd0!19sChIJmw9qE3bMamMRFo3q5cf0cZ0,Alvin’s tree Service,5.0,107,Tree service,,,https://www.alvinstreeservice.com/,+1 330-990-3018,Closed · Opens 7 am,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPBPFUwH6N6BhCbrnYVLYnMcbXZ2b998fYfxVG4KgE90kLPwBrOpY_ANu-tijK5Oj_ErEJyGRTaOw5gQwqDp1dBDGSNoAPMFIpaQBkC6oFeCbAhaTOLSWQSNURSc77idxhxO4=w408-h544-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:34.019Z,
https://www.google.com/maps/place/Buck+Moran%27s+Tree+%26+Landscape/data=!4m7!3m6!1s0x8830d7c0a81a0c19:0xe40ef542c761083e!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11cls7flpz!19sChIJGQwaqMDXMIgRPghhx0L1DuQ,Buck Moran's Tree & Landscape,5.0,2,Tree service,,,,+1 330-836-6554,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw_ZQsP-66P9uKFBbhB49CDdBY7fJHrzJq8loIiCej0G-pgBUuXlLqqhBUReehwiXoCsjIZyjjJCv0mw4N3a_qJETGO5MQoEZFpzhTkEZJWWp-qetTj2y_z3CkCaWjLYFmM9ML=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:36.299Z,
https://www.google.com/maps/place/McNeill+%26+Sons+Tree+Service/data=!4m7!3m6!1s0x88312d33ba7c0013:0x50e64a17335b83b8!8m2!3d41.0248052!4d-81.3919419!16s%2Fg%2F11gggn8ty4!19sChIJEwB8ujMtMYgRuINbMxdK5lA,McNeill & Sons Tree Service,4.9,117,Tree service,"18 Waterloo Rd, Mogadore, OH 44260, United States","2JF5+W6 Mogadore, Ohio, USA",http://mcneilltree.com/,,Open 24 hours,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6Eq-wzTjv9ilpoXS-r-y0tJKfOtDnA2mXO_sYAbF1_ZHsW_dOtxtmNTnQYV2UXsxY6FxItrEyGVKm777t5Cs5t_OGe9Tz0r__fWF5SUoJBLwlnR4vM9SEROG3V35qDUcebIbA=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:40.691Z,
https://www.google.com/maps/place/Jeff%27s+Tree+Removal+LLC/data=!4m7!3m6!1s0x88312b89eb321e73:0x2a09f7f5e6eeec70!8m2!3d41.0290972!4d-81.4960936!16s%2Fg%2F11g_x796lt!19sChIJcx4y64krMYgRcOzu5vX3CSo,Jeff's Tree Removal LLC,4.7,24,Tree service,"864 E Waterloo Rd, Akron, OH 44306, United States","2GH3+JH Akron, Ohio, USA",http://jeffstr.net/,+1 330-634-7844,"Closed · Opens 9 am

Updated by this business 7 weeks ago",,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElVyMdlUfA7XoZY31VfhcueuoT70dy_yGVR10ktT6GEW3lqSv6LgbTTAYToD9XRK0dpDtKdUHg1LEydZLHIK0yD1hsfKvpLVrvjQ4epyQrpC7ZnCwH4gONFJrnAhAnIXPg9b5pOucB22bA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:44.993Z,
https://www.google.com/maps/place/Barberton+Tree+Service/data=!4m7!3m6!1s0x8830d3edb0d357e3:0xfa0399490b49d030!8m2!3d41.0251919!4d-81.612161!16s%2Fg%2F1tfn3ctg!19sChIJ41fTsO3TMIgRMNBJC0mZA_o,Barberton Tree Service,4.8,709,Tree service,"635 Norton Ave, Barberton, OH 44203, United States","29GQ+34 Barberton, Ohio, USA",https://www.barbertontree.com/,+1 330-848-2344,Open 24 hours,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHy_V8CWilUIlO1PC5bIJMLevIa9zgOSZkNiQNBKSZcOymY_UXe_eNpgns1IGe8UncAOFfS0laImE56XbvsHi3asn3tyXlA1afEuVsjNCki5quyejGsPFQ6-pKtQ7bgllcO8pbDOQ=w557-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:49.508Z,
https://www.google.com/maps/place/Kustom+Trim+Tree+Service+LLC/data=!4m7!3m6!1s0x88312958081437fd:0x15bbd0efe3c4d7d5!8m2!3d41.0430056!4d-81.4396703!16s%2Fg%2F1v2jdkk1!19sChIJ_TcUCFgpMYgR1dfE4-_QuxU,Kustom Trim Tree Service LLC,4.4,41,Tree service,"808 Abington Rd, Akron, OH 44312, United States","2HV6+64 Akron, Ohio, USA",https://kustomtrim.com/,+1 330-734-0401,Closed · Opens 7:30 am,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZSslZhLpo3M-AknOgK29JNvN0NyMiXjj3kgfWB4SQTVZoCK-1EZgJ5aGmeVNKmhfOaomWN8BFypSUbSioJ98WrKlebje5Orh9-9s4RNHQWvoeqJ3XpKDImWjdPbcsg11B35bf=w484-h240-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,8:30 am–5 pm,9 am–4 pm,7:30 am–6 pm,7:30 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Akron+OH/@41.081199,-81.5188377,14z",2026-04-29T05:29:54.148Z,
