placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Aaron+Overhead+Door+-+Monterey/data=!4m7!3m6!1s0x808de508c436aa8b:0x65b2e5c07d51f9f!8m2!3d36.595623!4d-121.8608209!16s%2Fg%2F1tdftcbs!19sChIJi6o2xAjljYARnx_VB1wuWwY,Aaron Overhead Door - Monterey,4.9,297,Garage door supplier,"121 Fairground Rd, Monterey, CA 93940, United States","H4WQ+6M Monterey, California, USA",https://aaronoverheaddoor.com/?utm_source=gmb&utm_medium=organic,+1 831-649-3667,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipPJGoCRPyMwuC4X3HU5XETTXMgJl_UBDxGOVihe=w408-h306-k-no,true,7 am–7 pm,9 am–4 pm,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:34.918Z,,,
https://www.google.com/maps/place/Paradise+Garage+Door+Service/data=!4m7!3m6!1s0x808de4dafc83ffff:0xbc7b04a44d401bd8!8m2!3d37.0049044!4d-121.809799!16s%2Fg%2F11j03bt7xl!19sChIJ__-D_NrkjYAR2BtATaQEe7w,Paradise Garage Door Service,5.0,46,Garage door supplier,,,,+1 831-999-0871,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWM0Jla4RrTYuqZfSKZ0V2TnhOuRKE9-MH_ycYos2ru__hqVUboyH8foQjqCBf6UUS8jORgng0qmCIBBK1U-z3hPe9IlTN7kiqtfdE9Kt6ZtoAW7WHFrzES5ELwxeh2Gs38QQUpA=w408-h306-k-no,true,7 am–5 pm,9 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:40.467Z,,,
"https://www.google.com/maps/place/R%26S+Erection+of+Monterey+Bay,+Inc./data=!4m7!3m6!1s0x808e075d2561e1e9:0xf4f62f781cb64eaf!8m2!3d36.7551596!4d-121.7399387!16s%2Fg%2F1tdqhq1y!19sChIJ6eFhJV0HjoARr062HHgv9vQ","R&S Erection of Monterey Bay, Inc.",5.0,5,Door supplier,"11185 Commercial Pkwy Suite E, Castroville, CA 95012, United States","Q746+32 Castroville, California, USA",https://www.rsdoorsmontereybay.com/,+1 831-632-0343,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPYiwzvMAfjkOAM7MY8ZWVhcba_YcpA8nGxhHka=w753-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:46.146Z,,,
https://www.google.com/maps/place/Roll+Garage+Door+%26+Gate+Repair+In+Carmel+Valley/data=!4m7!3m6!1s0x808de9e93cffecb7:0xf291a95d8ac4ed09!8m2!3d36.5407351!4d-121.9044558!16s%2Fg%2F11y030kdry!19sChIJt-z_POnpjYARCe3Eil2pkfI,Roll Garage Door & Gate Repair In Carmel Valley,,,Garage door supplier,"26385 Carmel Rancho Blvd, Carmel-By-The-Sea, CA 93923, United States","G3RW+76 Carmel-By-The-Sea, California, USA",https://garagerepaircarmelvalley.com/,+1 858-299-2557,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JZnzLi4TXj9yFnUWoRPsUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.70267&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:50.940Z,,,
https://www.google.com/maps/place/Central+Coast+Garage+Doors/data=!4m7!3m6!1s0x808dffe2e896cd77:0x72a45ae374e17485!8m2!3d36.933199!4d-121.127354!16s%2Fg%2F11fd4lm7d_!19sChIJd82W6OL_jYARhXThdONapHI,Central Coast Garage Doors,5.0,156,Contractor,,,https://centralcoastgaragedoors.com/,+1 831-970-4628,,https://lh3.googleusercontent.com/p/AF1QipPIRvMNp4JS5kAWfsHjTHQr9QLyR88wZ1mbszim=w708-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:53.673Z,,,
https://www.google.com/maps/place/J+%26+J+Garage+Doors/data=!4m7!3m6!1s0x808df8b257940001:0x837170425a4ed4a6!8m2!3d36.6949125!4d-121.6419249!16s%2Fg%2F11fll6n22m!19sChIJAQCUV7L4jYARptROWkJwcYM,J & J Garage Doors,4.7,12,Door supplier,"87 St Brendan Way, Salinas, CA 93906, United States","M9V5+X6 Salinas, California, USA",,+1 831-970-3322,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPECzXNKCthIol6kFsdAG79G8XyDNR8qVefrYzq=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:18:59.364Z,,,
https://www.google.com/maps/place/Busby+Doors+Inc/data=!4m7!3m6!1s0x808df8eadd67a503:0x85b67217e28874c9!8m2!3d36.6745978!4d-121.6254837!16s%2Fg%2F1hc1wx901!19sChIJA6Vn3er4jYARyXSI4hdytoU,Busby Doors Inc,5.0,10,Garage door supplier,"1047 Connely St, Salinas, CA 93905, United States","M9FF+RR Salinas, California, USA",https://busbydoorsinc.com/,+1 831-594-0523,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fIZ-uUQdacBLWrvU1DDlCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.1947727&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:19:04.713Z,,,
https://www.google.com/maps/place/Precision+Door+Services/data=!4m7!3m6!1s0x80c2c0fab346d56b:0x5cffa843781f38f1!8m2!3d34.0459942!4d-118.1645066!16s%2Fg%2F1hhk0clc7!19sChIJa9VGs_rAwoAR8TgfeEOo_1w,Precision Door Services,4.9,1038,Garage door supplier,"2550 Corporate Pl c105, Monterey Park, CA 91754, United States","2RWP+95 Monterey Park, California, USA",https://precisiondoorla.com/?utm_source=gmb&utm_medium=location_northla&utm_campaign=website,+1 626-537-3568,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM9S9U4KbOgjPAZi3jgZlmMcqRfXecFi319XGP-=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:19:09.850Z,,,
https://www.google.com/maps/place/KING+GARAGE+DOOR%27S+%7C+Guaranteed+Service/data=!4m7!3m6!1s0x808dffc2fbec234d:0x2bdd17391d347912!8m2!3d35.749214!4d-119.732045!16s%2Fg%2F11q1jhqf5w!19sChIJTSPs-8L_jYAREnk0HTkX3Ss,KING GARAGE DOOR'S | Guaranteed Service,5.0,15,Garage door supplier,,,https://kinggaragedoorsinc.com/,+1 831-240-7472,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3MmPe_cuTmARXi0s5AdVwiDBwebNMr4EwnvVP5ua-O6RcOtObPS0tr3luyKmgKD9t2MVC2yLx5_IyFdykxut2xfvBUUIksRknTo4NzkQeHwoWfAu5UIgDV1ht7sWL0pS1dRBu=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:19:14.634Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Monterey+Coast+Door+%26+Supply/data=!4m7!3m6!1s0x808de45a6e13042f:0xb9810c4c2f119cf1!8m2!3d36.6027139!4d-121.8645144!16s%2Fg%2F1tcz8k2n!19sChIJLwQTblrkjYAR8ZwRL0wMgbk,Monterey Coast Door & Supply,5.0,9,Door supplier,"2226 Del Monte Ave, Monterey, CA 93940, United States","J43P+35 Monterey, California, USA",https://montereycoastdoor.com/,+1 831-372-4100,Closes soon ⋅ 4 pm ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNCCS_7cpKdAfol-AYGRrgs_qP-mrNrWVaSGPoU=w426-h240-k-no,true,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-11-07T23:19:19.823Z,,,
