placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,info
https://www.google.com/maps/place/Dallas+Hospice+and+Palliative+Care/data=!4m7!3m6!1s0x864c2e5f650fb4cb:0xdf3b3280bfec5296!8m2!3d33.0336939!4d-97.0766163!16s%2Fg%2F11c54wxm1g!19sChIJy7QPZV8uTIYRllLsv4AyO98,Dallas Hospice and Palliative Care,4.9,76,Hospice,"3020 Broadmoor Ln STE 300, Flower Mound, TX 75022, United States","2WMF+F9 Flower Mound, Texas, USA",http://www.dallashospiceandpalliative.com/,+1 214-383-8188,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPDnR8YO-XXU8llsypCZPlPfOl6rA7z6nUAVNBb=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-17T23:27:31.772Z,,
https://www.google.com/maps/place/Mercy+Hospice/data=!4m7!3m6!1s0x14e49c60ff8f09d7:0x70f2bdf4710c0edb!8m2!3d33.0356988!4d-97.063331!16s%2Fg%2F11b6bk00pt!19sChIJ1wmP_2Cc5BQR2w4McfS98nA,Mercy Hospice,5.0,5,Hospice,"2281 Olympia Dr #100, Flower Mound, TX 75028, United States","2WPP+7M Flower Mound, Texas, USA",http://mercyhospicetx.com/,+1 972-459-9992,Open ⋅ Closes 11:55 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ECrTCb61hmo58NB5zzYx4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.73883&pitch=0&thumbfov=100,false,12 am–11:55 pm,12 am–11:55 pm,12 am–11:55 pm,12 am–11:55 pm,12 am–11:55 pm,12 am–11:55 pm,12 am–11:55 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-17T23:27:37.403Z,,
https://www.google.com/maps/place/Arcy+Hospice/data=!4m7!3m6!1s0x864c2d7504ce02ad:0xe065ffc2c53cc71c!8m2!3d33.039359!4d-97.052131!16s%2Fg%2F12647d1zz!19sChIJrQLOBHUtTIYRHMc8xcL_ZeA,Arcy Hospice,4.7,117,Hospice,"700 Parker Square Rd # 105, Flower Mound, TX 75028, United States","2WQX+P4 Flower Mound, Texas, USA",https://arcyhc.com/arcy-hospice/,+1 469-293-1515,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOkuytLytcCoFJO5q3ef5OoM38kHsCkc4i4Eczl=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-17T23:27:42.764Z,,
https://www.google.com/maps/place/Arcy+Supportive+Care/data=!4m7!3m6!1s0x864c2d53471b49cd:0xdf106611f2e0e248!8m2!3d33.0393475!4d-97.05213!16s%2Fg%2F11lh5g7wsd!19sChIJzUkbR1MtTIYRSOLg8hFmEN8,Arcy Supportive Care,4.9,12,Health consultant,"700 Parker Square Rd #265, Flower Mound, TX 75028, United States","2WQX+P4 Flower Mound, Texas, USA",https://arcyhc.com/arcy-supportive-care/,+1 469-348-0670,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMQ61R24gJmjRSnIPE45H8_oSORZnr5CYtAtx8p=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-17T23:27:47.741Z,,
https://www.google.com/maps/place/Arcy+Healthcare/data=!4m7!3m6!1s0x864c2d6d6c8bbb97:0xea6839bd6d12fbc!8m2!3d33.039359!4d-97.052131!16s%2Fg%2F11qn13skr5!19sChIJl7uLbG0tTIYRvC_R1puDpg4,Arcy Healthcare,5.0,1,Medical group,"700 Parker Square Rd # 105, Flower Mound, TX 75028, United States","2WQX+P4 Flower Mound, Texas, USA",https://arcyhc.com/,+1 469-293-1515,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipOPWsUfrQZhUspDiST3l1SSk9_igWLPgF794UDx=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-17T23:27:52.857Z,,
https://www.google.com/maps/place/Center+for+Executive+Medicine/data=!4m7!3m6!1s0x864c236167f92221:0x2141f23f9be1ef47!8m2!3d33.044177!4d-96.83197!16s%2Fg%2F1tf3zs35!19sChIJISL5Z2EjTIYRR-_hmz_yQSE,Center for Executive Medicine,5.0,2,Medical clinic,"6020 W Parker Rd #420, Plano, TX 75093, United States","25V9+M6 Plano, Texas, USA",http://www.texasmed.com/,+1 972-244-1300,Closed ⋅ Opens 7 am Thu,https://lh3.googleusercontent.com/p/AF1QipMKjRpu3klQB5_ValV39C3xnRZmBe6YleDNbro_=w408-h271-k-no,true,7 am–4 pm,7 am–4 pm,7 am–2 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Plano+DFW+TX/@33.0216577,-96.6979973,14z",2025-09-17T23:28:08.305Z,,
https://www.google.com/maps/place/Ameri+Hospice/data=!4m7!3m6!1s0x864c1f9ce67aaaab:0x10ea80637e927fda!8m2!3d33.015457!4d-96.798178!16s%2Fg%2F11g0k18bkn!19sChIJq6p65pwfTIYR2n-SfmOA6hA,Ameri Hospice,4.5,8,Hospice,"5068 W Plano Pkwy Suite 295, Plano, TX 75093, United States","2682+5P Plano, Texas, USA",http://www.amerihospice.com/,+1 972-499-4757,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOU2GrYWzW4hXfy-6BCZjjgiYxActvguQN-1uAD=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Plano+DFW+TX/@33.0216577,-96.6979973,14z",2025-09-17T23:28:13.192Z,,
https://www.google.com/maps/place/Kindful+Health/data=!4m7!3m6!1s0x864c21995ad4a3e9:0xd4c3d5c8630d25e0!8m2!3d33.0446502!4d-96.706667!16s%2Fg%2F11vf1tlff9!19sChIJ6aPUWpkhTIYR4CUNY8jVw9Q,Kindful Health,5.0,12,Hospice,"3369 Premier Dr Ste 300, Plano, TX 75023, United States","27VV+V8 Plano, Texas, USA",https://www.kindfulhealth.com/,+1 866-730-4550,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNCWR-PE4R8xbeF3vlxhvLIZI_1OhqTFtKCncB6=w422-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Plano+DFW+TX/@33.0216577,-96.6979973,14z",2025-09-17T23:28:18.050Z,,
https://www.google.com/maps/place/Remarkable+Hospice/data=!4m7!3m6!1s0x864c18fac0400001:0x7f86975815ec7d32!8m2!3d33.0234154!4d-96.7158696!16s%2Fg%2F11s8gj2sqq!19sChIJAQBAwPoYTIYRMn3sFViXhn8,Remarkable Hospice,4.8,4,Hospice,"1700 Alma Dr #109, Plano, TX 75075, United States","27FM+9M Plano, Texas, USA",https://remarkablehospice.com/locations/remarkableplano/,+1 214-473-4491,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMm03iwdas6RswTS3BRM_W7l-uiL9WLLP68Bl-u=w454-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Plano+DFW+TX/@33.0216577,-96.6979973,14z",2025-09-17T23:28:23.059Z,,
https://www.google.com/maps/place/Delta+Hospice/data=!4m7!3m6!1s0x864c2879f1155555:0x75ac11a0764f4e5!8m2!3d33.0299417!4d-96.7034772!16s%2Fg%2F11gglpcrdl!19sChIJVVUV8XkoTIYR5fRkBxrBWgc,Delta Hospice,4.2,5,Hospice,"850 Central Pkwy E #105, Plano, TX 75074, United States","27HW+XJ Plano, Texas, USA",http://www.deltahospicecare.net/,+1 972-424-4001,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hyZEjIIXh34ck_plyh20Hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.07666&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Plano+DFW+TX/@33.0216577,-96.6979973,14z",2025-09-17T23:28:27.989Z,,
