placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,isBlackOwned
https://www.google.com/maps/place/Kids+Plus+Pediatrics/data=!4m7!3m6!1s0x8834f1edbce1424d:0x53befd7ba9b0ec48!8m2!3d40.4273087!4d-79.9382936!16s%2Fg%2F1v7pz3vk!19sChIJTULhvO3xNIgRSOywqXv9vlM,Kids Plus Pediatrics,4.8,959,Pediatrician,"4070 Beechwood Blvd, Pittsburgh, PA 15217, United States","C3G6+WM Pittsburgh, Pennsylvania, USA",http://www.kidsplus.com/,+1 412-521-6511,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNm1PWtgtPeun9J5pDeq29tzl4CNkVY8lXuANsdVumKL2RrzHuhnS6gynAFJvEBDPFgoqw5xvNv8zklx9mJOWRdERbh8h3bRNvqLndeBixXsRU3aupd1-UITqpfJF4YRyWlfon9BbENJg=w408-h544-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:28.597Z,,,,,,,,,
https://www.google.com/maps/place/UPMC+Children%27s+Community+Pediatrics+%E2%80%93+Squirrel+Hill/data=!4m7!3m6!1s0x8834f2046165bf71:0x7ac3e325bcdd3439!8m2!3d40.443832!4d-79.9272063!16s%2Fg%2F1tj9cngd!19sChIJcb9lYQTyNIgROTTdvCXjw3o,UPMC Children's Community Pediatrics – Squirrel Hill,4.2,45,Pediatrician,"5608 Wilkins Ave #202, Pittsburgh, PA 15217, United States","C3VF+G4 Pittsburgh, Pennsylvania, USA",https://www.childrenspeds.com/find/locations/bass-wolfson-squirrel-hill?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-swpa-upmc-childrens-community-pediatrics-squirrel-hill,+1 412-422-3590,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMqGRj8uxysbGPHHdG7nz45GP_cBl_ND_gICUpb=w445-h240-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:34.736Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,,
https://www.google.com/maps/place/UPMC+Children%27s+Community+Pediatrics+%E2%80%93+Pittsburgh/data=!4m7!3m6!1s0x8834f1669e44b799:0xed3b9dee2d57b90e!8m2!3d40.436059!4d-79.9809806!16s%2Fg%2F11c3sqf0x2!19sChIJmbdEnmbxNIgRDrlXLe6dO-0,UPMC Children's Community Pediatrics – Pittsburgh,4.9,124,Pediatrician,"1811 Boulevard of the Allies #200, Pittsburgh, PA 15219, United States","C2P9+CJ Pittsburgh, Pennsylvania, USA",https://www.childrenspeds.com/find/locations/greater-pittsburgh?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-swpa-upmc-childrens-community-pediatrics-pittsburgh,+1 412-566-1568,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOKWBPWPnqQO05tNnBtsCoBlvxQBqbZfF_Te3qo=w445-h240-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:39.580Z,8 am–5 pm,8 am–5 pm,8 am–6 pm,8 am–4 pm,Closed,Closed,8 am–5 pm,,
"https://www.google.com/maps/place/Anna+Ahn,+MD/data=!4m7!3m6!1s0x8834f363c65c8d43:0x93abf87a8b090c53!8m2!3d40.4438755!4d-79.9273042!16s%2Fg%2F11twcknvtt!19sChIJQ41cxmPzNIgRUwwJi3r4q5M","Anna Ahn, MD",5.0,2,Pediatrician,"The Wilkins Bldg, 5608 Wilkins Ave #202, Pittsburgh, PA 15217, United States","C3VF+H3 Pittsburgh, Pennsylvania, USA",https://providers.upmc.com/provider/anna-ahn/1324969?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-swpa-anna-ahn,+1 412-422-3590,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TvEqg2RjsRTbmKa-WKyIUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.54745&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:42.309Z,,,,,,,,,
https://www.google.com/maps/place/UPMC+Children%27s+Community+Pediatrics+%E2%80%93+East+End/data=!4m7!3m6!1s0x8834ed8a83323ad7:0xe05a826696c91b11!8m2!3d40.4592363!4d-79.9191827!16s%2Fg%2F1twy_66h!19sChIJ1zoyg4rtNIgRERvJlmaCWuA,UPMC Children's Community Pediatrics – East End,3.8,30,Pediatrician,"6343 Penn Ave Ste 201, Pittsburgh, PA 15206, United States","F35J+M8 Pittsburgh, Pennsylvania, USA",https://www.childrenspeds.com/find/locations/gil-pittsburgh?utm_source=google&utm_campaign=business-profile&utm_content=primary-care-swpa-upmc-childrens-community-pediatrics-east-end,+1 412-363-2200,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTKDtSAfUtQdh_hlen7w03525ProJtiIWMWOo39sch0zs65e-E_DdnRfIixI3audAbzPkO4SkhYtz15UFl0Bi5WDsxXduOFr9PVNQzaRfNNr43gUH8Ef9mtFn6DVDbz4sAzCP3XoztrxW6=w408-h724-k-no,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:47.097Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8–11:30 am,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Romberger+James+A+MD/data=!4m7!3m6!1s0x8834f2046165bf71:0x85aea644b4f1db53!8m2!3d40.443814!4d-79.927242!16s%2Fg%2F1tdc1931!19sChIJcb9lYQTyNIgRU9vxtESmroU,Romberger James A MD,5.0,1,Pediatrician,"The Wilkins Bldg, 5608 Wilkins Ave #202, Pittsburgh, PA 15217, United States","C3VF+G4 Pittsburgh, Pennsylvania, USA",,+1 412-422-3590,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TvEqg2RjsRTbmKa-WKyIUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=158.57451&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:49.679Z,,,,,,,,,
"https://www.google.com/maps/place/David+Wolfson,+MD/data=!4m7!3m6!1s0x8834f2046165bf71:0x61b5277dd5a0941a!8m2!3d40.4438362!4d-79.9272571!16s%2Fg%2F1tw_nxqs!19sChIJcb9lYQTyNIgRGpSg1X0ntWE","David Wolfson, MD",5.0,1,Pediatrician,"The Wilkins Bldg, 5608 Wilkins Ave #202, Pittsburgh, PA 15217, United States","C3VF+G3 Pittsburgh, Pennsylvania, USA",https://providers.upmc.com/provider/david-wolfson/1326674?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-swpa-david-wolfson,+1 412-422-3590,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TvEqg2RjsRTbmKa-WKyIUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.15344&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:52.545Z,,,,,,,,,
https://www.google.com/maps/place/Valasek+Aaron+DMD/data=!4m7!3m6!1s0x8834f1fc5b81670f:0x923f06d65d249036!8m2!3d40.4306799!4d-79.9230829!16s%2Fg%2F1260vxqy9!19sChIJD2eBW_zxNIgRNpAkXdYGP5I,Valasek Aaron DMD,5.0,3,Pediatric dentist,"2345 Murray Ave #220, Pittsburgh, PA 15217, United States","C3JG+7Q Pittsburgh, Pennsylvania, USA",http://www.childrensdentistrypittsburgh.com/,+1 412-422-1582,Closed · Opens 7 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sWSe5p6LO5iYrB05enEcPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.341545&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:57.298Z,Closed,7 am–2 pm,Closed,7 am–12 pm,Closed,Closed,7 am–2 pm,,
"https://www.google.com/maps/place/Dr.+Rachna+Kapoor,+MD/data=!4m7!3m6!1s0x8834f207443be77d:0xc3fd06f4c0365c9a!8m2!3d40.443257!4d-79.9194441!16s%2Fg%2F1td_cbdb!19sChIJfec7RAfyNIgRmlw2wPQG_cM","Dr. Rachna Kapoor, MD",,,Pediatrician,"1405 Shady Ave, Pittsburgh, PA 15217, United States","C3VJ+86 Pittsburgh, Pennsylvania, USA",http://www.amazingkids.org/,+1 412-420-2400,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WxPZUIkosYMg7APdXGa9cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.594698&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:21:59.883Z,,,,,,,,,
"https://www.google.com/maps/place/Anna+Kim,+MD/data=!4m7!3m6!1s0x8834f2046165bf71:0x31771bfc568f3b44!8m2!3d40.4438343!4d-79.9272482!16s%2Fg%2F1tfh_7gb!19sChIJcb9lYQTyNIgRRDuPVvwbdzE","Anna Kim, MD",,,Pediatrician,"The Wilkins Bldg, 5608 Wilkins Ave #202, Pittsburgh, PA 15217, United States","C3VF+G4 Pittsburgh, Pennsylvania, USA",https://providers.upmc.com/provider/anna-kim/1324538?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-swpa-anna-kim,+1 412-422-3590,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TvEqg2RjsRTbmKa-WKyIUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.9093&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pediatrician+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-10T23:22:02.314Z,,,,,,,,,
