placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,error
https://www.google.com/maps/place/George+%26+Son/data=!4m7!3m6!1s0x886d6fb4595a07b9:0xbcb51c9f41dbdeb2!8m2!3d39.4790066!4d-87.3791914!16s%2Fg%2F11h6t7fjnk!19sChIJuQdaWbRvbYgRst7bQZ8ctbw,George & Son,4.6,103,Brake shop,"1020 N 25th St, Terre Haute, IN 47803, United States","FJHC+J8 Terre Haute, Indiana, USA",,+1 812-822-8413,Open · Closes 5 pm,Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepL3LCPiRSt8JYxz3JwoPvBaK6AOjn8g_GAPnXgl4cvjbJsiU87nfTy4EtJ2wEmyCzsMHIzCABN0GG6ZGu80nYUQ9IY4fIoRcPvGcpOs4KTZD_9hI_luecCXJA30c2URnhTZ-o=w408-h274-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:56:59.729Z,,
https://www.google.com/maps/place/Locust+St+Tire+and+Auto/data=!4m7!3m6!1s0x886d655e0153e763:0x7e928b651bdd42cd!8m2!3d39.4776463!4d-87.3855479!16s%2Fg%2F11b6c9kztk!19sChIJY-dTAV5lbYgRzULdG2WLkn4,Locust St Tire and Auto,3.8,144,Used tire shop,"2146 Locust St, Terre Haute, IN 47807, United States","FJH7+3Q Terre Haute, Indiana, USA",,+1 812-231-0188,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqixFLBi8lE2VMS8GkwmkbQLag_RPRovhxScjPeU2qezbdLCCp7ld4VVBIrIRCrwdO91XCuXF0JNBBHievg80Q7qEs0qQiHeHQhzlYxLjbfIWj73hGWmlSs1vRNMxZB95dtROoP=w408-h725-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:05.474Z,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x886d65379a7c64fb:0x902fe04b5266b385!8m2!3d39.4672975!4d-87.402969!16s%2Fg%2F1w0r0nl8!19sChIJ-2R8mjdlbYgRhbNmUkvgL5A,Firestone Complete Auto Care,4.3,485,Tire shop,"940 Wabash Ave, Terre Haute, IN 47807, United States","FH8W+WR Terre Haute, Indiana, USA",https://www.firestonecompleteautocare.com/indiana/terre-haute/940-wabash-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 812-645-6979,"Open · Closes 6 pm

Confirmed by this business 6 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweooKMvbGpB2n1qyAbVojAEuMdhyymWCCxiCP4HinkNxGJw32uM2g6k0yTClNcUp0Rz5PHVeb8EDzGgWdw165DJLoSTb77RktsXs8CV84b4tWh-3tedM_yfZ6jN8-TUlsEkJ4NOh=w426-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:11.261Z,· In-store shopping · Kerbside pickup,
"https://www.google.com/maps/place/RNR+Tire+Express+%28Terre+Haute,+IN%29/data=!4m7!3m6!1s0x886d7b17f3d7aacf:0xe4d970ee981bf45f!8m2!3d39.444083!4d-87.4143471!16s%2Fg%2F11t9ktn849!19sChIJz6rX8xd7bYgRX_QbmO5w2eQ","RNR Tire Express (Terre Haute, IN)",4.6,373,Tire shop,"2101 S 3rd St, Terre Haute, IN 47802, United States","CHVP+J7 Terre Haute, Indiana, USA",http://www.rnrtires.com/location/terre-haute-in,+1 812-233-3347,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerlRGsJ3lOf6wnf-QxXieQAU3Le5ika-KqYFmF1oKRZDkTthZTZU7PCDHFkXkTAfXUqbAfjfSZs6ebC3rYaKMYQU8AawLKvTGyZANF-VF-KqwhXGcsll84V5zuDOEwy7soBxy_ocNKXA0s5=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:16.580Z,· In-store shopping,
https://www.google.com/maps/place/Tire+Man+Terry/data=!4m7!3m6!1s0x886d7b003486fcd9:0x761188db9203e77c!8m2!3d39.4506281!4d-87.4014216!16s%2Fg%2F11y19hyc27!19sChIJ2fyGNAB7bYgRfOcDktuIEXY,Tire Man Terry,5.0,2,Tire repair shop,"1466 S 11th St, Terre Haute, IN 47802, United States","FH2X+7C Terre Haute, Indiana, USA",,+1 812-990-1961,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GfZXTCqRB5AmLN8EuGM-Cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.20731&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:21.743Z,,
https://www.google.com/maps/place/First+Choice+Auto+Repair+and+Tire+Service/data=!4m7!3m6!1s0x886d6f556aaba907:0xd0f859d74fc0afd0!8m2!3d39.4880895!4d-87.3932317!16s%2Fg%2F11vhgngkpj!19sChIJB6mralVvbYgR0K_AT9dZ-NA,First Choice Auto Repair and Tire Service,4.4,19,Auto repair shop,"1462 Ash St, Terre Haute, IN 47804, United States","FJQ4+6P Terre Haute, Indiana, USA",,+1 812-917-0155,Open · Closes 5:30 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fq0acKmmwSRqr3sVhia3cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=335.05246&pitch=0&thumbfov=100,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:26.717Z,,
https://www.google.com/maps/place/Garvin+%26+Lidster+Auto+Service/data=!4m7!3m6!1s0x886d7ac3f39455cb:0x4f9cc8120c4ff90b!8m2!3d39.4412751!4d-87.4072895!16s%2Fg%2F1tgfxcmm!19sChIJy1WU88N6bYgRC_lPDBLInE8,Garvin & Lidster Auto Service,4.8,384,Auto repair shop,"2331 S 7th St, Terre Haute, IN 47802, United States","CHRV+G3 Terre Haute, Indiana, USA",http://garvinlidster.com/,+1 812-247-6507,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep8TzxB2ObE_r_vP6LzvjDHpsOKz169lZzE7OepORuplykLsY9xGl45wduRvEbpD20uh9F9cgxlU4-Qn1LrhXEqKS-11KuH-eIjAnRkMO5PNXkfNynhp0VnpFO050HMIC_yM44=w408-h306-k-no,true,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:31.947Z,,
https://www.google.com/maps/place/Neal+Tire+%26+Auto+Service/data=!4m7!3m6!1s0x886d652e7a3c53c1:0x3e55f357dcf64848!8m2!3d39.4633203!4d-87.412813!16s%2Fg%2F1tg4xlfw!19sChIJwVM8ei5lbYgRSEj23FfzVT4,Neal Tire & Auto Service,4.5,287,Tire shop,"301 S 4th St, Terre Haute, IN 47807, United States","FH7P+8V Terre Haute, Indiana, USA",http://www.nealtire.com/,+1 812-238-2596,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerhrCLz0axNAoLAb-4faZQzV8nIw085NA5gPmlqwob2ML92A7UbkiQugzQeEy2xMLI5RQmNSVT9M3Wde0NimArPEm_8J5pJn2gMl-J5oHZmZaU0Ax5UDy_FsZmF_Y0NvpmhJ9U=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:37.210Z,· In-store pick-up,
https://www.google.com/maps/place/Burns+Truck+Tire+Services/data=!4m7!3m6!1s0x886d7a423e2a30bd:0x966fdb0552879cf3!8m2!3d39.4781382!4d-87.4030322!16s%2Fg%2F11btmscd_k!19sChIJvTAqPkJ6bYgR85yHUgXbb5Y,Burns Truck Tire Services,4.6,27,Tire shop,"910 N 10th St, Terre Haute, IN 47807, United States","FHHW+7Q Terre Haute, Indiana, USA",,+1 812-243-3078,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoslKWi2iv5Z4yKHedsKHLt-olQ_Zwhl8QVhtr-UtD9l5gkdq9POxiWp92S2fhuR7ODGRwqLJJrAegaItPY23_njrTexQIBTr9c9e_qdpNMkPexqWdtiR80FNozmHIGsPKBnnNx=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:43.113Z,,
https://www.google.com/maps/place/Garzo+Tire/data=!4m7!3m6!1s0x886d7ad8f0e0a829:0x858673fb560532c!8m2!3d39.4448435!4d-87.4189577!16s%2Fg%2F1263yb4jv!19sChIJKajg8Nh6bYgRLFNgtT9nWAg,Garzo Tire,4.6,30,Tire shop,"201 Demorest St, Terre Haute, IN 47802, United States","CHVJ+WC Terre Haute, Indiana, USA",https://garzotire.com/,+1 812-232-7269,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep4DomkE0kX0XQmF1VMQHuYk3PIS2vnW4-D8nDgjkzsqNdtksCZPwfpSn7M_g8F-qwK3QX0Z6F0QgV5a8rFoLnMjP0xUDSTS8vvJDAxnBRn7EqKtghnjHnClZCdzXSVFeW1N1wN=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T15:57:49.015Z,,
