placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Boss+Disaster+Restoration+Inc./data=!4m7!3m6!1s0x88fe710bd529798d:0xf2df95bd7604c9c9!8m2!3d32.7988625!4d-79.857604!16s%2Fg%2F1tf58rms!19sChIJjXkp1Qtx_ogRyckEdr2V3_I,Boss Disaster Restoration Inc.,4.8,163,Water damage restoration service,"1055 Chuck Dawley Blvd, Mt Pleasant, SC 29464, United States","Q4XR+GX Mt Pleasant, South Carolina, USA",https://boss247.com/,+1 843-884-4000,"Open 24 hours

Confirmed by this business 7 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTAVIbIiECspUORYHMb7bV1ZJ3J484sqWPFP2HjmifcugB79Pht2Ezuny9_7Y_JrTAcKTn48WGXB0kzxysBzJd9P-q1dIUP5_UX6bm4rB77XDLhzHyBdH2qdV9ueBNEwTAWbIzwm1jPJUe=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:14.489Z,,
https://www.google.com/maps/place/Disaster+Plus/data=!4m7!3m6!1s0x88fe71a1e29abb25:0xc59a1d83033e0ba4!8m2!3d32.805769!4d-79.8525579!16s%2Fg%2F1tfdf9w7!19sChIJJbua4qFx_ogRpAs-A4MdmsU,Disaster Plus,5.0,223,Water damage restoration service,"1342 Chuck Dawley Blvd, Mt Pleasant, SC 29464, United States","R44W+8X Mt Pleasant, South Carolina, USA",https://disasterplus247.com/mount-pleasant-sc-restoration-services/,+1 843-724-7247,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerf-AujWRlO3s0O1U1f56wf0WzkOhFIyqVFZhp7UbB7zLnWXx80YQUo6bAVETn3jrAcHnKS8h_A-HBz6LreCkNWdaHKPGoSTI0I-6d--EBk6gTjC3FJ7Oc94Bipp8q2N76gahkl=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:20.576Z,,
https://www.google.com/maps/place/All+Dry+Services+of+Charleston/data=!4m7!3m6!1s0xa514469e58b8f9fd:0xaecab6c5d8e0ee0c!8m2!3d32.8232152!4d-79.9915256!16s%2Fg%2F11tsk79p28!19sChIJ_fm4WJ5GFKURDO7g2MW2yq4,All Dry Services of Charleston,4.7,14,Water damage restoration service,,,https://www.myalldry.com/charleston-south-carolina/,+1 843-874-0411,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqFfXez9CBtydbc3H-ook71MGHIf1ijAx79nxApm9gkG7sBSYnhNYV2kgqoFLAsUEIP_hnfrF9NLFNPm3RjMtJRzq8b5AGawN42eCNIS7jp0dhWqucQIyE8tebUfU52UjIVf-sjYg=w408-h510-k-no,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:23.152Z,,
https://www.google.com/maps/place/Disaster+Crews/data=!4m7!3m6!1s0x646f0eaff975cabd:0x3306541cdc8b4bb9!8m2!3d32.8666704!4d-79.9779916!16s%2Fg%2F11s34q_h94!19sChIJvcp1-a8Ob2QRuUuL3BxUBjM,Disaster Crews,5.0,33,Water damage restoration service,,,https://www.disastercrews.com/,+1 843-300-5611,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweru4Q48dt4BppIa81Ueh2a8ojFp6Y18Ueh1CENLdxOW5JCXd9yBgOaP5x1-6y6iS4qgZKRW8b5uvhnWC5K4aVblguxXtYI8iJ1N4_H4NNMI7z9WCirDWBVh_hFot9IgzDQUuEU=w408-h303-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:27.856Z,,
https://www.google.com/maps/place/Lowcountry+Remediation/data=!4m7!3m6!1s0xa4f10182a2ecd995:0x199d8dcc57bd1675!8m2!3d32.805758!4d-80.3126114!16s%2Fg%2F11sst8gp54!19sChIJldnsooIB8aQRdRa9V8yNnRk,Lowcountry Remediation,5.0,76,Water damage restoration service,,,http://www.lcremediation.com/,+1 843-410-9938,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIvhSnrJafW4AIa8WlUZRLPXVwlWLK54h38E_kCGtYhfa_-UpppCsID2mC_qvrH6f78EhX5-eY74yUiFeoEKwTXgnK4DzSgpZYAnC6MqZhwTYV1yFiOk1D1zT_21LDpeuJnz1JcIOYdk60=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:32.716Z,,
https://www.google.com/maps/place/All+Dry+Services+of+Mount+Pleasant+%26+Greater+Charleston/data=!4m7!3m6!1s0x166ac36d75381e5:0xa5a0e03d6cf5ef8!8m2!3d33.2082104!4d-79.8685899!16s%2Fg%2F11t46x3ycq!19sChIJ5YFT1zasZgER-F7P1gMOWgo,All Dry Services of Mount Pleasant & Greater Charleston,5.0,87,Water damage restoration service,,,https://www.myalldry.com/mount-pleasant-charleston-south-carolina/,+1 843-891-0911,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoHohdvlcpU1MJYi5AADIT-H-_9grCKeCmPK-9IIwwQarWGfIOjsV3Y10IOylg_35Krp0QIbxBG3QnMNPomqwmQD3D8u3tdSPGAHUeVyuhn8TbADQDeZYAD4ucNgqOyo9e3LZzB8A=w408-h510-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:37.296Z,,
https://www.google.com/maps/place/Seaside+Services/data=!4m7!3m6!1s0x88fe63208c07fea7:0x437db5ba9b91a10c!8m2!3d32.910193!4d-80.0298884!16s%2Fg%2F11fsvyqsb6!19sChIJp_4HjCBj_ogRDKGRm7q1fUM,Seaside Services,5.0,58,Water damage restoration service,"2235 Technical Pkwy Suite E, North Charleston, SC 29406, United States","WX6C+32 North Charleston, South Carolina, USA",http://www.seasiderestorationchs.com/,+1 843-405-7400,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCUymHwtd07SgdEc0Kr8cD5spAv3Nce2eEeMO3KJR-M8z0aFnefLWgJfVTsCeUDoO1aCaFhJaZLF4ydwCSVdQyS872Zn3QlhhsjGCBp3673jOTDRtOMXyoCIZvQ0EVyfLBX2rrHg=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:42.288Z,,
https://www.google.com/maps/place/PuroClean+Disaster+Restoration+of+Charleston/data=!4m7!3m6!1s0x88fe71c000000001:0x8ce6e6b3e3c4bb73!8m2!3d32.9036279!4d-79.9203376!16s%2Fg%2F1td48v75!19sChIJAQAAAMBx_ogRc7vE47Pm5ow,PuroClean Disaster Restoration of Charleston,4.9,178,Water damage restoration service,"461 Jessen Ln suite d, Charleston, SC 29492, United States","W33H+FV Charleston, South Carolina, USA",http://www.puroclean.com/pdrs-sc,+1 843-972-4200,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgCa2ApJphVYddseyvmMvMWwBINFKFSivrtTSG1HKJ3OBKSACDuip058eKfCWVb9FuWOTmllrld0ErZemWGM7oKQyH88jgyB4F8ws8g7768-l-aTFMaYGvdAF64WAyDuzh-cKTLw=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:47.322Z,,
"https://www.google.com/maps/place/Rytech+of+Charleston/@32.8232152,-79.9460553,11z/data=!3m1!4b1!4m6!3m5!1s0x88fe71f819af8ffb:0x5e7c5884afd0b3a0!8m2!3d32.8232152!4d-79.9460552!16s%2Fg%2F11nftc1w73",Rytech of Charleston,4.4,7,Water damage restoration service,,,https://charleston-sc.rytechinc.com/,+1 843-605-9887,Open 24 hours,,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:53.995Z,,
https://www.google.com/maps/place/Water+Damage+Pros/data=!4m7!3m6!1s0x54abdba102f3b5d:0x59fc87a211f00b8!8m2!3d32.8746632!4d-79.9196195!16s%2Fg%2F11scn2l0dn!19sChIJXTsvELq9SgURuAAfIXrInwU,Water Damage Pros,5.0,73,Water damage restoration service,,,http://waterdamageprossc.com/,+1 843-990-1921,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep540FnV3bLxwVwOBmOxnlCaIRhb2NZb5iM92UXFNiSQplFe4PvX_2omY7CD7uHTR1DrlRCLY20OVc01RZuOJuTuCr6aeU4FInOjEUnWdL_bOEZHo-y4PnwxSWLhk6h2djn9GllM5hp1Cpo=w408-h545-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2026-03-23T03:33:58.808Z,,
