placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Express+Tire+and+Auto+Service/data=!4m7!3m6!1s0x88606223912c5bf3:0xe41f839d9c72aa1f!8m2!3d35.0928368!4d-85.1823761!16s%2Fg%2F1tg68vcj!19sChIJ81sskSNiYIgRH6pynJ2DH-Q,Express Tire and Auto Service,4.5,138,Auto repair shop,"4911 TN-58, Chattanooga, TN 37416, United States","3RV9+42 Chattanooga, Tennessee, USA",http://www.expresstirechattanooga.net/,+1 423-499-3576,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepEHhhHJslskWvYpoKcDPUuvOrUPilSv8V5WZMg6R4RO5QY8Hy8FWUXH-wYMLshDfTN2-ZZfWpCIf8C4k3B0iYxEYxQoagzRpjnE_h6wjRhYgB3Oa4m_FdQGdLtrKntOQ7_qOpA2w=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:25.031Z,,,,
https://www.google.com/maps/place/Snider+Fleet+Solutions/data=!4m7!3m6!1s0x886063c25b1f5cd3:0x6942a111a9a43b8c!8m2!3d35.0731229!4d-85.1877385!16s%2Fg%2F11g0vzg_b5!19sChIJ01wfW8JjYIgRjDukqRGhQmk,Snider Fleet Solutions,4.5,23,Tire shop,"6114 Bonny Oaks Dr, Chattanooga, TN 37416, United States","3RF6+6W Chattanooga, Tennessee, USA",http://www.sniderfleet.com/,+1 423-352-9150,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomHQndfAzUCqcrO4grVb3FFTJCrIjO-wqcbQLf0r9V0uZFqOka971sIqXG8CBKgYbpdJNyOvpM0_nvKpxbRxledamn_7TLyANRHGVkSqdbqlse0SrFKHcd9SKnkKSE0m3PPOy4JQ=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:30.687Z,· Delivery,,,
https://www.google.com/maps/place/Bavarian+Auto/data=!4m7!3m6!1s0x8860617e201eb3f7:0x3f9928140612a554!8m2!3d35.0718308!4d-85.1896857!16s%2Fg%2F1tfbp1hp!19sChIJ97MeIH5hYIgRVKUSBhQomT8,Bavarian Auto,4.6,338,Auto repair shop,"6150 Enterprise Park Dr, Chattanooga, TN 37416, United States","3RC6+P4 Chattanooga, Tennessee, USA",https://www.bavarian-auto.com/,+1 423-499-8800,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep7ayREi4UXOMFDwKFoavutpqI-dLXThyb6w_QJLoTBsRj8Gys1elAa5GMl4z1NjS2S07hIYlBP81VUECrmA4kV6YOGVNRKBPqgxZ3UYaD_hqfTwUgFQmffgyjmFXTKxbOXKJwSXQ=w408-h305-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:35.956Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Peewee%27s+Rim+Shop/data=!4m7!3m6!1s0x886061a113626049:0x1def57a36f2b7e0a!8m2!3d35.080691!4d-85.2136577!16s%2Fg%2F11dzt4mdpm!19sChIJSWBiE6FhYIgRCn4rb6NX7x0,Peewee's Rim Shop,5.0,48,Tire shop,"4274 Bonny Oaks Dr, Chattanooga, TN 37406, United States","3QJP+7G Chattanooga, Tennessee, USA",,+1 423-304-6255,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfuOgHoj4VUhRXWrUsgDjP7aaXmjnMsSR7MA-Q3RUnwS4emljnTay8rbyIDfZWIXjLKiBIZgxafd9mav9Q1R-gUENB430xz3vAoLN_M6nMrb229RJ6WQ7vgC-t6HhFoAkwGP0=w430-h240-k-no,true,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–12:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:41.073Z,,,,
https://www.google.com/maps/place/Hub+Cap+Annie/data=!4m7!3m6!1s0x886061677b312303:0x9052ddd54e6b68b!8m2!3d35.0546147!4d-85.1966134!16s%2Fg%2F1tfw3s2j!19sChIJAyMxe2dhYIgRi7bmVN0tBQk,Hub Cap Annie,4.7,136,Wheel store,"5926 Shallowford Rd, Chattanooga, TN 37421, United States","3R33+R9 Chattanooga, Tennessee, USA",,+1 423-855-4432,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoAZew1fdX9y2AvoDOUuNrAsbx-DyplJ2DwqP0W63pNQDJRKVKIpe7qtk5xiI-09r92-ntyuTPM1qaOVAK8xbN3P9oFwo0JaMj2M656BpZ0cIagEjewbChkVNxTmgr7KHlFGZjGog=w408-h544-k-no,true,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:46.612Z,,,,
https://www.google.com/maps/place/Affordable+Tires/data=!4m7!3m6!1s0x8860623c4dd1fb33:0xb039123b1049b3d!8m2!3d35.094075!4d-85.1759338!16s%2Fg%2F1tcv712f!19sChIJM_vRTTxiYIgRPZsEsSORAws,Affordable Tires,4.7,289,Tire shop,"5008 TN-58, Chattanooga, TN 37416, United States","3RVF+JJ Chattanooga, Tennessee, USA",,+1 423-499-2741,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoiPAvFmt7GsK3oCUPEux4exLTQSXxChSa7R_ywa-sKbUHzL4a0x2thbj-LLwItRLdkh3t1oPIXw2WvMh4DWvMPij1tqm9F1JoS3rf5VHEiV6nK52obi1c7187AB4-3lPOZVfk=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:51.703Z,· In-store pick-up,,,
https://www.google.com/maps/place/H.B.+VIP+Tires/data=!4m7!3m6!1s0x8860615eda41e22d:0x5e09a37dadc08dc4!8m2!3d35.0986115!4d-85.2597765!16s%2Fg%2F11mvt2j24v!19sChIJLeJB2l5hYIgRxI3ArX2jCV4,H.B. VIP Tires,4.9,115,Wheel store,,,,+1 423-313-5866,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLIrzkos68wDhOj0xVakqedGIUQxoLwKplIAVdwdKA1r6id8tMW1uRqxMNrM_dimuyRb_7sYV_bAW17l202Yh6gmeY67WtsqSrruXP4ewlgHzMUs-VxFT6KW2gDh9Jyb3_yzJt=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:49:57.027Z,· Delivery,LGBTQ+ friendly,,
https://www.google.com/maps/place/Highland+Tire+and+Auto+Service/data=!4m7!3m6!1s0x886060057661627b:0x7faaf44f3700612b!8m2!3d35.11242!4d-85.2642712!16s%2Fg%2F1vsps6rx!19sChIJe2JhdgVgYIgRK2EAN0_0qn8,Highland Tire and Auto Service,4.6,197,Tire shop,"3886 Hixson Pike, Chattanooga, TN 37415, United States","4P6P+X7 Chattanooga, Tennessee, USA",https://highlandtire.net/,+1 423-877-8524,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqcv-wFr21w5ApPw7XY-4r8xe1eKGGiSOplrGreLQzyZeXkHs366ji7t8PbrHkxHS4DE03wqf5HeutQ2w-RPomWQ_m_IBsbYnaFJUPyAuA6jblUr0DWwh8eyjr2Qg21sVmH0Dco=w575-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7:30 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:50:02.294Z,· In-store shopping,,,
https://www.google.com/maps/place/Quick+Everett%27s+Garage/data=!4m7!3m6!1s0x886061a15eca87ed:0xa7aef1f51a6a11c4!8m2!3d35.0906192!4d-85.2549851!16s%2Fg%2F11gh_n_k27!19sChIJ7YfKXqFhYIgRxBFqGvXxrqc,Quick Everett's Garage,4.6,121,Auto repair shop,"910 Creekside Rd A1, Chattanooga, TN 37406, United States","3PRW+62 Chattanooga, Tennessee, USA",http://www.quickeverettsgarage.com/,+1 423-498-5449,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfLrQ7fjnnR27M4yR3xFE20GP7AZPoZ3qN4TmSPlS8LN0tGFy_03deMzlvu3R0FArDUCePP7RiRJUIW3TAuujH-KSjdF02vYwq48I110SRvB68GUMMvdc4nfSCBYpVRM9cEx6yG-2i1uyN=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:50:08.903Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Best+One+Tire+Truck+Tire+Center/data=!4m7!3m6!1s0x88606159c75f5d97:0x38efc7cdfaea8eb9!8m2!3d35.0428158!4d-85.1882645!16s%2Fg%2F1w0p6c48!19sChIJl11fx1lhYIgRuY7q-s3H7zg,Best One Tire Truck Tire Center,4.7,63,Tire shop,"2036 Polymer Dr E, Chattanooga, TN 37421, United States","2RV6+4M Chattanooga, Tennessee, USA",https://www.ttcchatt.biz/,+1 423-892-9983,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepVhAXaiu50ouEoToFZwLpv7idE5d3jHGnzr3svq1kqH5qlUHbEqw9jb0FYU9reE1rF2D0xVq1wA_0kxEQwEtw_oWgM2_ECOJfzZlTv_JmNUjLWaeTVNJw6oWM4oWHbZwHpeh7m8g=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T14:50:14.384Z,· Delivery,,,
