placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes
https://www.google.com/maps/place/Telecare+Santa+Cruz+Psychiatric+Health+Facility+%28PHF%29/data=!4m7!3m6!1s0x808e400091732161:0x7708d9c28e14db71!8m2!3d36.9833595!4d-121.9936626!16s%2Fg%2F11c5gcmd_4!19sChIJYSFzkQBAjoARcdsUjsLZCHc,Telecare Santa Cruz Psychiatric Health Facility (PHF),1.4,34,Mental health service,"2250 Soquel Ave, Santa Cruz, CA 95062, United States","X2M4+8G Santa Cruz, California, USA",http://www.telecarecorp.com/santa-cruz-psychiatric-health-facility/,+1 831-600-2801,"Open 24 hours

Updated by this business 11 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TVxBA9woyluOMTI8sH5fTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.42136&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:22.161Z,,
https://www.google.com/maps/place/Coastal+Breeze+Mental+Health/data=!4m7!3m6!1s0x808e41d19c83ec93:0x6d6349068dc4cf27!8m2!3d36.9766181!4d-122.0283969!16s%2Fg%2F11yrqskwl2!19sChIJk-yDnNFBjoARJ8_EjQZJY20,Coastal Breeze Mental Health,5.0,1,Mental health clinic,"777 Chestnut St, Santa Cruz, CA 95060, United States","XXGC+JJ Santa Cruz, California, USA",https://www.coastalbreezementalhealth.com/,+1 831-291-3540,"Closed · Opens 8 am Tue

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPPIZ2z6P3XLzUcRZtD3Vooofi_g0tbQi3f9DTv=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:27.845Z,,
https://www.google.com/maps/place/Mindpath+College+Health+Psychiatrists+%26+Therapists+-+Santa+Cruz/data=!4m7!3m6!1s0x808e41ba742abeaf:0xf68606ca50032dd8!8m2!3d36.9754937!4d-122.0250528!16s%2Fg%2F11h5n750cb!19sChIJr74qdLpBjoAR2C0DUMoGhvY,Mindpath College Health Psychiatrists & Therapists - Santa Cruz,3.0,10,Mental health service,"740 Front St UNIT 220, Santa Cruz, CA 95060, United States","XXGF+5X Santa Cruz, California, USA",https://college.mindpath.com/locations/california/santa-cruz/?pk_source=gmb&pk_medium=organic,+1 831-999-3524,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNg5pSEuaIJgBv39vU7R9FW1OGhtexWapEFfV24=w427-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:32.792Z,,
https://www.google.com/maps/place/Santa+Cruz+Behavioral+Health+Division/data=!4m7!3m6!1s0x808e404080a4e685:0xd8975005e88cf2e8!8m2!3d36.992828!4d-122.018133!16s%2Fg%2F1vm7bpm4!19sChIJheakgEBAjoAR6PKM6AVQl9g,Santa Cruz Behavioral Health Division,1.8,25,Mental health service,"1400 Emeline Ave #1976, Santa Cruz, CA 95060, United States","XXVJ+4P Santa Cruz, California, USA",http://www.santacruzhealth.org/HSAHome/HSADivisions/BehavioralHealth.aspx,+1 831-454-4170,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q8dZi2I8IhNnSo3-rNNtnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.52472&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:37.736Z,,
https://www.google.com/maps/place/7th+Avenue+Center+LLC/data=!4m7!3m6!1s0x808e6aac785a5c7d:0xc100ca3174193aaa!8m2!3d36.9744949!4d-121.9959091!16s%2Fg%2F1tj2nprj!19sChIJfVxaeKxqjoARqjoZdDHKAME,7th Avenue Center LLC,4.3,3,Mental health service,"1171 7th Ave, Santa Cruz, CA 95062, United States","X2F3+QJ Santa Cruz, California, USA",,+1 831-476-1700,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyfgKEcFx8T3NinZbuPzmQW9m8PoJxq8VykixwkKsFI3wp88TFVqnx3A8aO1GEE5Oj5k7hfVSejdriK5JUYfyNjSpOoCBO2iWtmFR3N93dG9YgiZ83yo6F8WDA0SILRysanoO9M=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:40.334Z,,
https://www.google.com/maps/place/Santa+Cruz+Therapy+Collective/data=!4m7!3m6!1s0x64c01f08db9aeae5:0xc77e557bf57cd2a3!8m2!3d36.9768189!4d-122.0176137!16s%2Fg%2F11svwz8s25!19sChIJ5eqa2wgfwGQRo9J89XtVfsc,Santa Cruz Therapy Collective,5.0,5,Mental health service,"573 Soquel Ave, Santa Cruz, CA 95062, United States","XXGJ+PX Santa Cruz, California, USA",https://www.sctcollective.com/,+1 831-302-2323,Closes soon · 7 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMsT6iB5KyUnc0xdRnUyQe5C6OmLrUOEZIK_lri=w408-h307-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:45.103Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Connections+Santa+Cruz/data=!4m7!3m6!1s0x808e41b57b163aa9:0x32b343ed14ab7c08!8m2!3d36.9723445!4d-122.0257935!16s%2Fg%2F11p5ndf9j2!19sChIJqToWe7VBjoARCHyrFO1DszI,Connections Santa Cruz,1.0,4,Mental health service,"1121 Pacific Ave, Santa Cruz, CA 95060, United States","XXCF+WM Santa Cruz, California, USA",https://www.sanjosebh.com/programs/connections-santa-cruz/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand,+1 669-758-7785,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipO_Yipc2UPeOLkofq1JTFxjSUkh3AmAS5mhWM9O=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:50.193Z,,
https://www.google.com/maps/place/The+KEY+Addiction+Treatment+Center/data=!4m7!3m6!1s0x808e4106a214e8c3:0x68a393c5aa1e8600!8m2!3d36.9745058!4d-122.0254525!16s%2Fg%2F11ss9rppxr!19sChIJw-gUogZBjoARAIYeqsWTo2g,The KEY Addiction Treatment Center,5.0,52,Addiction treatment center,"725 Front St Suite 206, Santa Cruz, CA 95060, United States","XXFF+RR Santa Cruz, California, USA",https://thekeyiop.com/?utm_source=GPB&utm_medium=Local+SEO,+1 831-484-4191,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMPnPwgZV9CTOtgzCzLngoDvljx6nnMvmw90_xt=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:55.152Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Behavioral+Health+Center/data=!4m7!3m6!1s0x808e40009040d99d:0xa3ca98c748286d76!8m2!3d36.9834327!4d-121.9936262!16s%2Fg%2F11cnc9vqb7!19sChIJndlAkABAjoARdm0oSMeYyqM,Behavioral Health Center,1.0,5,Mental health clinic,"2280 Soquel Ave, Santa Cruz, CA 95062, United States","X2M4+9G Santa Cruz, California, USA",,+1 831-458-4888,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQU9n8rJnw7Px7nm9zWxWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.060646&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:10:57.933Z,,
https://www.google.com/maps/place/Santa+Cruz+Wellness+Center/data=!4m7!3m6!1s0x808e402c2f4d33ad:0x9dd7dc1d0e81d7ae!8m2!3d36.975154!4d-122.0331208!16s%2Fg%2F1pp2x6ykq!19sChIJrTNNLyxAjoARrteBDh3c150,Santa Cruz Wellness Center,4.7,6,Wellness center,"501 Mission St #106, Santa Cruz, CA 95060, United States","XXG8+3Q Santa Cruz, California, USA",http://www.santacruzwellnesscenter.org/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hvCJ5XVPeLWrTh8xZxrEHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=141.27939&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2025-12-16T02:11:00.794Z,,
