placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Accelerated+Management/data=!4m7!3m6!1s0x864c2c2fe7c63c69:0x76df4adc05d115d9!8m2!3d33.029478!4d-97.069453!16s%2Fg%2F11c58pwq30!19sChIJaTzG5y8sTIYR2RXRBdxK33Y,Accelerated Management,4.7,73,Property management company,"2651 Sagebrush Dr #104, Flower Mound, TX 75028, United States","2WHJ+Q6 Flower Mound, Texas, USA",http://www.acceleratedmgmt.com/am/sub_category_list.asp?category=3&title=Contact+Us,+1 972-372-0752,Open ⋅ Closes 5 pm,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4-SZmG7UBtsvgJ7DiCuYtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=95.40256&pitch=0&thumbfov=100,true,9 am–5 pm,Closed,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:23.068Z,,,
https://www.google.com/maps/place/3G+Properties+Group/data=!4m7!3m6!1s0x864c2d1526f2d9cd:0x99664968aeb2396c!8m2!3d33.0353149!4d-97.0689174!16s%2Fg%2F1pxwjgjc9!19sChIJzdnyJhUtTIYRbDmyrmhJZpk,3G Properties Group,4.4,126,Property management company,"2611 Cross Timbers Rd # 100, Flower Mound, TX 75028, United States","2WPJ+4C Flower Mound, Texas, USA",http://3gpropertiesgroup.com/,+1 940-262-0091,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMYXaGQMgy_Cy5rlN2z2W2kNsFDuU9nny35Tk6-=w631-h240-k-no,true,9 am–5 pm,9 am–5 am,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:28.880Z,,,
https://www.google.com/maps/place/PMI+Alliance/data=!4m7!3m6!1s0x864c2ce9a17feb57:0x8d67b3cf55eaea6!8m2!3d32.9986558!4d-97.0690879!16s%2Fg%2F11vhf_4_l2!19sChIJV-t_oeksTIYRpq5e9Tx71gg,PMI Alliance,5.0,1,Property management company,"1011 Surrey Ln, Flower Mound, TX 75022, United States","XWXJ+F9 Flower Mound, Texas, USA",https://www.dallascommunitymanagement.com/contact,+1 214-295-9661,Open ⋅ Closes 5:30 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gWvj5JM3a-zj-Sqz32xusQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.53366&pitch=0&thumbfov=100,false,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 am,8 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:33.753Z,,,
https://www.google.com/maps/place/PMI+Alliance/data=!4m7!3m6!1s0x864dcf4774607617:0xb4c34e0679ef7081!8m2!3d32.9543685!4d-97.031894!16s%2Fg%2F11jx1lsx1_!19sChIJF3ZgdEfPTYYRgXDveQZOw7Q,PMI Alliance,4.8,36,Property management company,,,https://www.dallascommunitymanagement.com/,+1 214-295-9661,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXhpEY7ouSq8AA3vU_rzNrV1Ct6Q_4pUNVhPjSoBm9dJ-6Wd0eb9ZBYJASQjqDprwMWCTtJYwThVJV1bZco-63L20VlmVVhfA2kDpuxJwQrUPBGG8B9ahl5sVWd3MCEeHZTGxJ=w408-h610-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:38.726Z,,,
https://www.google.com/maps/place/US+Property+Consultants/data=!4m7!3m6!1s0x864e7f2b67cfffff:0xcaf0383001f1e3ca!8m2!3d32.9982791!4d-97.063373!16s%2Fg%2F11ghr0x1ly!19sChIJ___PZyt_ToYRyuPxATA48Mo,US Property Consultants,4.6,9,Property management company,"2201 Spinks Rd Suite 282, Flower Mound, TX 75022, United States","XWXP+8M Flower Mound, Texas, USA",http://www.us-pc.com/,+1 817-494-0504,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipNxriIojrv_au0eQNI8j5wB42a_FjGXlDlpotsU=w434-h240-k-no,true,10 am–5:30 pm,10 am–5:30 pm,Closed,Closed,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:44.435Z,,,
https://www.google.com/maps/place/Dallas-Fort+Worth+Property+Management/data=!4m7!3m6!1s0x864c2d15c29ee5f1:0xfd7d441d0a595ea8!8m2!3d33.031348!4d-97.0699928!16s%2Fg%2F11c1vh_xd6!19sChIJ8eWewhUtTIYRqF5ZCh1Eff0,Dallas-Fort Worth Property Management,,,Property management company,"3360 Long Prairie Rd # 100, Flower Mound, TX 75022, United States","2WJJ+G2 Flower Mound, Texas, USA",http://www.managemydfwproperty.com/contact,+1 972-999-1511,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wbdn8Tb2C-MjBsdqT8YvYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.51154&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:50.169Z,,,
https://www.google.com/maps/place/Best+Property+Management/data=!4m7!3m6!1s0x864dd39f46497525:0xbf9563dd1581c1bc!8m2!3d33.0467554!4d-97.0948428!16s%2Fg%2F11fd71qjb3!19sChIJJXVJRp_TTYYRvMGBFd1jlb8,Best Property Management,1.0,2,Property management company,"4113 Liberty Ct, Flower Mound, TX 75028, United States","2WW4+P3 Flower Mound, Texas, USA",https://www.bestpropertymanagementllc.com/,+1 214-228-5553,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNjSxnU4l_RNZsnC3JdjPSaJ32ADV6x7RGNPnOc=w408-h306-k-no,true,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:02:56.139Z,,,
https://www.google.com/maps/place/XM+Tek/data=!4m7!3m6!1s0x864c2d1545b469e7:0xe6e744776d23044b!8m2!3d33.035205!4d-97.0699918!16s%2Fg%2F1tnl1t6l!19sChIJ52m0RRUtTIYRSwQjbXdE5-Y,XM Tek,,,Property management company,"3634 Long Prairie Rd, Flower Mound, TX 75022, United States","2WPJ+32 Flower Mound, Texas, USA",http://www.xmtek.net/,+1 469-296-8351,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pRNtPKcpowAVTZvJLxlwBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.41838&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:03:01.667Z,,,
"https://www.google.com/maps/place/INC+Management+Group,+PLLC/data=!4m7!3m6!1s0x864e6f181d982f4d:0xa7c4c994e4651a85!8m2!3d33.0339751!4d-97.0933184!16s%2Fg%2F11fm9nfd74!19sChIJTS-YHRhvToYRhRpl5JTJxKc","INC Management Group, PLLC",4.7,13,Business management consultant,"4028 Mattise Dr Ste F, Flower Mound, TX 75022, United States","2WM4+HM Flower Mound, Texas, USA",,+1 817-330-4104,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=boVEehTPHK5M9W3Xxodl9Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.55923&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:03:06.788Z,,,
https://www.google.com/maps/place/CENTURY+21+Judge+Fite+Company/data=!4m7!3m6!1s0x864c2d16070bbc63:0x59be75a2ff65c802!8m2!3d32.9942474!4d-97.0627288!16s%2Fg%2F1tvym53g!19sChIJY7wLBxYtTIYRAshl_6J1vlk,CENTURY 21 Judge Fite Company,4.6,11,Real estate agency,"870 International Pkwy #150, Flower Mound, TX 75022, United States","XWVP+MW Flower Mound, Texas, USA",http://century21judgefite.com/,+1 972-691-9987,,,https://lh3.googleusercontent.com/p/AF1QipPle8xTSoEXUnRtLifYnKJbgUsIMfuwWgJAa4Fm=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2025-09-25T17:03:12.042Z,,,
