placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
https://www.google.com/maps/place/Dyson+Pediatrics/data=!4m7!3m6!1s0x86d66e1bf26cedcd:0x52a0fb64529e9182!8m2!3d32.2480127!4d-110.8750064!16s%2Fg%2F1thw2lbr!19sChIJze1s8htu1oYRgpGeUmT7oFI,Dyson Pediatrics,4.7,896,Pediatrician,"2222 N Craycroft Rd Suite 150, Tucson, AZ 85712, United States","64XF+6X Tucson, Arizona, USA",http://www.dysonpediatrics.com/,+1 520-202-3488,Open · Closes 5 pm,true,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerSvrl81DJwOxHqtFWO_bnYV-5kuUzEQeYJnYpybswwasjCU-xxpb2Sfx8d3nX6GBQb9I7CWO3WflR7f7JWkp6CD9U2qZwYzgGz-oNePDnS7I-ejjUgv7NtHNA5FQXFG-GBE6o=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:40:45.046Z,,
"https://www.google.com/maps/place/Catalina+Pediatrics,+PC/data=!4m7!3m6!1s0x86d66e198f194ee1:0xf562a05f92b995e9!8m2!3d32.263197!4d-110.8929518!16s%2Fg%2F1wn_6k0q!19sChIJ4U4Zjxlu1oYR6ZW5kl-gYvU","Catalina Pediatrics, PC",4.0,104,Pediatrician,"3085 N Swan Rd, Tucson, AZ 85712, United States","7474+7R Tucson, Arizona, USA",https://www.catalinapediatrics.com/,+1 520-323-3099,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwere0PPCRAr0b2aQH77Ma9p5Vn1HPwuU9DAbiGg96U2AYmG-gBUxHQ5WfLnVhPPjAELxXjwQkvAUtS2Rg4TAA-xclB3wapJTgPVQARWu5e9B9AYqWzUesiqmMtkv58D0C-jvOUmuMw=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:40:51.229Z,,
https://www.google.com/maps/place/Tucson+Central+Pediatrics/data=!4m7!3m6!1s0x86d6702c759f1b49:0xfa617f616c3f7b26!8m2!3d32.2422663!4d-110.9089288!16s%2Fg%2F1tgj981t!19sChIJSRufdSxw1oYRJns_bGF_Yfo,Tucson Central Pediatrics,3.9,69,Pediatric clinic,"1628 N Alvernon Way, Tucson, AZ 85712, United States","63RR+WC Tucson, Arizona, USA",https://tucsoncentralpediatrics.com/,+1 520-325-8000,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EcfAfc6HAjE8r7xul4n1CQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=104.72556&pitch=0&thumbfov=100,false,"8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm","8 am–12 pm, 1–5 pm",Closed,Closed,"8 am–12 pm, 1–5 pm","https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:40:56.345Z,,
https://www.google.com/maps/place/Skyline+Pediatrics/data=!4m7!3m6!1s0x86d672f4be0ad0a3:0x255d638cb36e8984!8m2!3d32.2963365!4d-110.9604171!16s%2Fg%2F1tgdjfhw!19sChIJo9AKvvRy1oYRhIlus4xjXSU,Skyline Pediatrics,4.1,64,Child health care center,"4930 N 1st Ave, Tucson, AZ 85718, United States","72WQ+GR Tucson, Arizona, USA",http://www.skylinepeds.com/,+1 520-577-3333,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uKbm4HqjddScMLBk3J3S9Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=357.41428&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:01.600Z,,
https://www.google.com/maps/place/Mesquite+Pediatrics/data=!4m7!3m6!1s0x86d66e383cf26fe7:0x3d14a67f548c2226!8m2!3d32.251497!4d-110.864644!16s%2Fg%2F1td9qzg_!19sChIJ52_yPDhu1oYRJiKMVH-mFD0,Mesquite Pediatrics,4.6,57,Pediatrician,"5983 E Grant Rd # 105, Tucson, AZ 85712, United States","742P+H4 Tucson, Arizona, USA",http://www.mesquitepediatrics.com/,+1 520-648-5437,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipO4EF7-j6UeCd3Z3uYDsvyeTiMmCJWrt12UU-8y=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:06.412Z,,
https://www.google.com/maps/place/Hom+Robert+MD/data=!4m7!3m6!1s0x86d671d72cb15049:0x3cd3760c9d4da477!8m2!3d32.2422759!4d-110.9089455!16s%2Fg%2F1td_hps9!19sChIJSVCxLNdx1oYRd6RNnQx20zw,Hom Robert MD,4.5,18,Pediatrician,"1628 N Alvernon Way, Tucson, AZ 85712, United States","63RR+WC Tucson, Arizona, USA",https://rymap.org/business/hom-robert-md-hu6t5d,+1 520-325-8000,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4txW8kA-2xd6BqGdCr01EQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.09&pitch=0&thumbfov=100,false,7:30 am–5 pm,8 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:11.504Z,,
"https://www.google.com/maps/place/Banner+-+University+Medicine+Pediatrics+Clinic+%7C+Tucson,+AZ+%7C+Campbell+Ave./data=!4m7!3m6!1s0x86d671619f21637d:0x12c1a01328e03a35!8m2!3d32.2410854!4d-110.946286!16s%2Fg%2F11hz9d7ln9!19sChIJfWMhn2Fx1oYRNTrgKBOgwRI","Banner - University Medicine Pediatrics Clinic | Tucson, AZ | Campbell Ave.",3.5,6,Medical clinic,"1501 N Campbell Ave Rm 3401, Tucson, AZ 85724, United States","63R3+CF Tucson, Arizona, USA",https://www.bannerhealth.com/locations/tucson/banner-university-medicine-pediatrics-clinic?y_source=1_MTE5MDc1MDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 520-626-5437,,,https://lh3.googleusercontent.com/p/AF1QipNPvIRpBT1JyJO7281-OHIkYDfj3740CiQWP5xd=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:14.152Z,,
https://www.google.com/maps/place/Arizona+Pediatric+Surgery+and+Urology/data=!4m7!3m6!1s0x86d66e3f0069f571:0xcaf3fa835596ae42!8m2!3d32.257258!4d-110.881998!16s%2Fg%2F1vljgsbm!19sChIJcfVpAD9u1oYRQq6WVYP688o,Arizona Pediatric Surgery and Urology,4.5,18,Surgical center,"5166 E Glenn St, Tucson, AZ 85712, United States","7449+W6 Tucson, Arizona, USA",http://azpediatricsurgery.com/,+1 520-795-5338,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JdxP6MOnjVGVJl_95_0nUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=106.73862&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:18.894Z,,
https://www.google.com/maps/place/Desert+Pediatrics/data=!4m7!3m6!1s0x86d66e4cffb457ff:0xd9dc3fc5d1bd0f90!8m2!3d32.251624!4d-110.8645122!16s%2Fg%2F1tg_ghd4!19sChIJ_1e0_0xu1oYRkA-90cU_3Nk,Desert Pediatrics,3.9,37,Pediatrician,"5983 E Grant Rd #117, Tucson, AZ 85712, United States","742P+J5 Tucson, Arizona, USA",http://www.desertpedsaz.com/,+1 520-721-5350,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMyvyEQlfhXrHYdqhpR7w1u_T8NFISO7l0vlf0m=w408-h383-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:23.918Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/Diamond+Children%27s+Medical+Center+%7C+Tucson,+AZ+%7C+Campbell+Ave./data=!4m7!3m6!1s0x86d671a6600edf39:0xf7e0998f061bd2dc!8m2!3d32.2422296!4d-110.9462207!16s%2Fg%2F11c3n1r58d!19sChIJOd8OYKZx1oYR3NIbBo-Z4Pc","Diamond Children's Medical Center | Tucson, AZ | Campbell Ave.",3.2,62,Children's hospital,"1625 N Campbell Ave, Tucson, AZ 85719, United States","63R3+VG Tucson, Arizona, USA",https://www.bannerhealth.com/locations/tucson/diamond-childrens-medical-center?y_source=1_MTE5MDczMjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 520-694-5437,,,https://lh3.googleusercontent.com/p/AF1QipPs_OWraN-sJRA0AszVqbQeCZ6vfP7yt2-HT3k=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:28.762Z,,
https://www.google.com/maps/place/Children%E2%80%99s+Medical+Center+of+Tucson/data=!4m7!3m6!1s0x86d673747425320b:0x6b74b04c792d74b8!8m2!3d32.3136752!4d-110.978425!16s%2Fg%2F1tf5f5k8!19sChIJCzIldHRz1oYRuHQteUywdGs,Children’s Medical Center of Tucson,4.1,207,Pediatrician,"5861 N Oracle Rd, Tucson, AZ 85704, United States","827C+FJ Tucson, Arizona, USA",http://cmctmed.com/,+1 520-293-6686,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMSYOcipIjBYBMKB5WBOukep6StIRV2g7fplazB=w408-h257-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Tucson+Tucson+AZ/@32.2539787,-110.9741769,14z",2026-02-10T22:41:33.703Z,,
