placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error
https://www.google.com/maps/place/Studio+Otto+J%C3%B6rg+Massaggi+Napoli/data=!4m7!3m6!1s0x133b091c3b17311d:0x35068bbe43cae155!8m2!3d40.8337852!4d14.2216009!16s%2Fg%2F11g6n_l4n5!19sChIJHTEXOxwJOxMRVeHKQ76LBjU,Studio Otto Jörg Massaggi Napoli,4.9,84,Massage therapist,"Via Francesco Giordani, 56, 80122 Napoli NA, Italy","R6MC+GJ Naples, Metropolitan City of Naples, Italy",,+39 333 868 6023,Closed · Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipP4G_Oaylp0i08opIz1imbQ-0dnsL42C-KrM9Af=w408-h510-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:06.365Z,,
https://www.google.com/maps/place/Naples+Center+for+Functional+Medicine/data=!4m7!3m6!1s0x88db1eac03c79ef1:0x7103d986bda6e426!8m2!3d26.271751!4d-81.7909348!16s%2Fg%2F1tf5fkcs!19sChIJ8Z7HA6we24gRJuSmvYbZA3E,Naples Center for Functional Medicine,4.1,265,Medical clinic,"1265 Creekside Pkwy Suite #200, Naples, FL 34108, United States","76C5+PJ Naples, Florida, USA",https://naplescfm.com/,+1 239-649-7400,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerONitn6HRr-oS7OIATGsYUU-kZOv_oJumsxfX2Y6b9so0D0vjz5EqauSfktYbYAM7Cpp4wtOkLUBH_rMQwyGKsKirXqyk8KsMYpI1yKaJlH27cxoULGtMKPCl-BwnmUlOK08xx=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:11.997Z,LGBTQ+ friendly,
https://www.google.com/maps/place/The+Florida+Center+For+Functional+Medicine+%E2%80%93+Naples/data=!4m7!3m6!1s0x88db1d7a13ab215f:0x4e63b557093eacac!8m2!3d26.2744267!4d-81.7442175!16s%2Fg%2F11ty2bx51g!19sChIJXyGrE3od24gRrKw-CVe1Y04,The Florida Center For Functional Medicine – Naples,5.0,1,Alternative medicine practitioner,"5660 Strand Ct suite 212, Naples, FL 34110, United States","77F4+Q8 Naples, Florida, USA",https://www.floridafunctionalmedicine.com/,+1 239-748-0070,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipOAaC-Sav500RGrIz9zXc2NtSZycwTiSse4mBho=w408-h408-k-no,true,10 am–5:30 pm,9 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,10 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:17.229Z,,
"https://www.google.com/maps/place/VitalGate+Health+-+Naples,+FL+%7C+Pain+Management+%7C+Thermography+%7C+Acupuncture+%7C+Cancer+%7C+Oxygenation+%7C+Biomagnetic+%7C+Cancer/data=!4m7!3m6!1s0x88dae1330c63de6d:0xd0cbd07cd2515a0c!8m2!3d26.1412271!4d-81.8023476!16s%2Fg%2F11tx7xpnfs!19sChIJbd5jDDPh2ogRDFpR0nzQy9A","VitalGate Health - Naples, FL | Pain Management | Thermography | Acupuncture | Cancer | Oxygenation | Biomagnetic | Cancer",5.0,39,Holistic medicine practitioner,"365 5th Ave S #201, Naples, FL 34102, United States","45RX+F3 Naples, Florida, USA",https://www.vitalgate.com/,+1 917-348-9287,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNbpfwyD2rSUH7JGyVMQc-dJklKa1EKVGuKfPbD=w408-h585-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:22.111Z,Identifies as women-owned,
"https://www.google.com/maps/place/Naples+Vitality:+Dr.+Linell+King,+MD/data=!4m7!3m6!1s0x88db1c266237b1bd:0x3e1c8b4bc65aec10!8m2!3d26.1753841!4d-81.7988662!16s%2Fg%2F1v9lclff!19sChIJvbE3YiYc24gREOxaxkuLHD4","Naples Vitality: Dr. Linell King, MD",4.8,124,Wellness center,"2390 Tamiami Trl N STE 108, Naples, FL 34103, United States","56G2+5F Naples, Florida, USA",https://naplesvitality.com/,+1 239-465-0098,Closed · Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipMinZubwwTnjFhi2LPyKogMChjc768uBaf9c9tb=w408-h581-k-no,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:26.987Z,,
"https://www.google.com/maps/place/Dr.+Svetlana+Kogan,+M.D.+%26+Institute+of+Functional+Medicine+Practitioner+%28IFMCP%29/data=!4m7!3m6!1s0x88dae134fe653bbb:0xa945b199e331061e!8m2!3d26.1413162!4d-81.7972209!16s%2Fg%2F11fkq456qd!19sChIJuztl_jTh2ogRHgYx45mxRak","Dr. Svetlana Kogan, M.D. & Institute of Functional Medicine Practitioner (IFMCP)",5.0,120,Doctor,"720 5th Ave S #209, Naples, FL 34102, United States","46R3+G4 Naples, Florida, USA",http://customlongevity.com/,+1 239-676-6883,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipOkB1tcNTuPoolttTBbfj2lzHDC5EhZ6taWP5JV=w408-h306-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:31.888Z,Identifies as women-owned,
https://www.google.com/maps/place/Maristany+Medical/data=!4m7!3m6!1s0x88db577fb1b49425:0x40567c8062eb1cfd!8m2!3d26.1542209!4d-81.7968706!16s%2Fg%2F11vj39ns1w!19sChIJJZS0sX9X24gR_RzrYoB8VkA,Maristany Medical,4.9,59,Medical clinic,"625 Tamiami Trl N #103, Naples, FL 34102, United States","5633+M7 Naples, Florida, USA",https://www.maristanymedical.com/,+1 239-212-2022,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=glvGbxH2sVmrCI37vc7dsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.43857&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:36.550Z,,
https://www.google.com/maps/place/Harmony+Health+Clinic+-+Functional+Medicine+%26+Holistic+Wellness/data=!4m7!3m6!1s0x88db1c24337312ed:0x4ccb4e28cc42e22!8m2!3d26.1534658!4d-81.7946622!16s%2Fg%2F11bbrj33kz!19sChIJ7RJzMyQc24gRIi7EjOK0zAQ,Harmony Health Clinic - Functional Medicine & Holistic Wellness,5.0,364,Chiropractor,"538 10th St N, Naples, FL 34102, United States","5634+94 Naples, Florida, USA",https://www.flharmony.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5512543068153032393,+1 239-596-4801,,https://lh3.googleusercontent.com/p/AF1QipOxabXhDa3jafwEzgXTLIUUh54E-_cToDx2ysux=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:41.643Z,,
https://www.google.com/maps/place/The+Drugless+Doctors+-+Naples+Florida/data=!4m7!3m6!1s0x88dae18d87a418e9:0xd06f2d9916eae227!8m2!3d26.1572916!4d-81.7890401!16s%2Fg%2F11hbpxt961!19sChIJ6Rikh43h2ogRJ-LqFpktb9A,The Drugless Doctors - Naples Florida,5.0,39,Chiropractor,"704 Goodlette-Frank Rd Unit 210, Naples, FL 34102, United States","5646+W9 Naples, Florida, USA",http://www.druglessdoctor.com/florida,+1 239-227-9066,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOHUC8vjwMp87ZSJ7Vo0ExYEg0EghPudUxuJ32k=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:46.553Z,,
https://www.google.com/maps/place/Naples+Natural+Medicine+%26+Diagnostics/data=!4m7!3m6!1s0x88db1e202d0ad9f9:0xf3aa8a20bc1f6f11!8m2!3d26.188073!4d-81.800781!16s%2Fg%2F11b5wllfpy!19sChIJ-dkKLSAe24gREW8fvCCKqvM,Naples Natural Medicine & Diagnostics,4.5,11,Chiropractor,"840 Anchor Rode Dr, Naples, FL 34103, United States","55QX+6M Naples, Florida, USA",http://naplesnaturalhealth.com/,+1 239-597-3929,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNLWRxxccLMpjFl7lBHCWllrM3WqnTmHv0Z5jIf=w428-h240-k-no,true,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-02-23T18:51:51.509Z,,
