placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Tecnoservice+assistenza+caldaie+e+climatizzatori+plurimarche+Assistenza+sanitrit/data=!4m7!3m6!1s0x133b0f8d0a8611d7:0x2967a52bf60954b1!8m2!3d40.860708!4d14.228782!16s%2Fg%2F11n1s_pdcb!19sChIJ1xGGCo0POxMRsVQJ9iulZyk,Tecnoservice assistenza caldaie e climatizzatori plurimarche Assistenza sanitrit,4.9,218,Heating contractor,"Via Bernardo Cavallino, 61/D, 80131 Napoli NA, Italy","V66H+7G Naples, Metropolitan City of Naples, Italy",http://www.tecnoservice24.it/,+39 328 767 8096,Closed · Opens 8:30 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqdRP-fyvET1WodCmgmlNUHOlnwJJMSrJ2MOLVBIn-QnE32PFMpFZb1IyZQrcdFR3vMjXlfmcT4VVsLzXXJ1mC2U9sWxyusKYaYiV_rFMK5dR5fSuufvVjJBl3_ie3iMt8Fv-4yg4cyT6mK=w408-h725-k-no,true,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–2 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:00:46.521Z,,,,
https://www.google.com/maps/place/Dryzone+Water+Damage+%26+Mold+Clean+Up+Experts+in+Naples/data=!4m7!3m6!1s0x88dae35c6018ab11:0x46eea9ea390d85fe!8m2!3d26.1644614!4d-81.7543399!16s%2Fg%2F11vzbn11m0!19sChIJEasYYFzj2ogR_oUNOeqp7kY,Dryzone Water Damage & Mold Clean Up Experts in Naples,5.0,21,Water damage restoration service,"4595 Progress Ave 2 1, Naples, FL 34104, United States","567W+Q7 Naples, Florida, USA",https://www.dryzoneinc.net/,+1 239-643-1990,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepkF-vqWlfM4ypJEfNrEpBghamFe21OYPEyuF-vMhC15KvJSFLRrkmTnJdMsgPZeeXDRCpBHWG2n3WSn1eMv_1AajiepoDP86CiXhJv-y1dcxUwHIye3UhJ-lWJsu1LQbpN8aNY=w408-h554-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:00:51.308Z,,,,
https://www.google.com/maps/place/SERVPRO+of+North+Naples/data=!4m7!3m6!1s0x88db1964d9d28fb1:0x480196489f55fd9d!8m2!3d26.156549!4d-81.7576372!16s%2Fg%2F11g6m22tfk!19sChIJsY_S2WQZ24gRnf1Vn0iWAUg,SERVPRO of North Naples,4.9,196,Water damage restoration service,"4328 Corporate Square #B, Naples, FL 34104, United States","564R+JW Naples, Florida, USA",https://www.servpro.com/locations/fl/servpro-of-north-naples?utm_medium=organic&utm_source=gbp,+1 239-592-0100,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqSoOa5lFKEEDZtBSBEToEYdRSB1nBIbqI57F3PoSYit3bwLdPiUR8oy5lVXGmu1M4Uw1sM7UfOtEYHzhKYrOZh44kKAVtP2y865K_CJnOO0ftGKawnJGeckAbX3lZO8XQL2vihtw=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:00:56.452Z,Identifies as women-owned,,,
https://www.google.com/maps/place/United+Water+Restoration+Group+of+Naples/data=!4m7!3m6!1s0x88db1dd795c1a7df:0xf7a897c144812e90!8m2!3d26.2208489!4d-81.7767022!16s%2Fg%2F11h1lv2_d!19sChIJ36fBldcd24gRkC6BRMGXqPc,United Water Restoration Group of Naples,4.8,206,Water damage restoration service,"6120 Lee Ann Ln, Naples, FL 34109, United States","66CF+88 Naples, Florida, USA",https://floridahomerestoration.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Naples-FL,+1 419-896-4398,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqpR2Al9jsHvyQwWV3et8ootSAhX5pnodnGoW8VPjZjBXr5HfNLPAT-xFdac-69E1uX2A27kqU2eq92CAqwjW69d-f5q10jez4lLjHS-uICqnFF74TSzvtwRGkiGrSAPhDSfLEoGwIPXp4=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:00.927Z,,,,
https://www.google.com/maps/place/PuroClean+of+Naples/data=!4m7!3m6!1s0x88db1b41c34cdef1:0xf2f94e1afef8514b!8m2!3d26.1553385!4d-81.678438!16s%2Fg%2F11f095b7mn!19sChIJ8d5Mw0Eb24gRS1H4_hpO-fI,PuroClean of Naples,5.0,62,Water damage restoration service,"3887 Mannix Dr STE 617, Naples, FL 34114, United States","584C+4J Naples, Florida, USA",https://www.puroclean.com/naples-fl-puroclean-naples,+1 239-330-3939,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1FfHCeK9ItJBYxeUoMDlG2qbXHpBBFc-4BjYAiONO5wyQHmcUb4j1EpSxW96fSaeUsvuTZ9dy57knZCyZN9Yjv04LpNFw0Jt_3sUXE6r7dNUkhd_ZrAMa8-5c408PHyz6PXk=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:05.557Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Naples+%2F+Marco+Island/data=!4m7!3m6!1s0x88dae2188eea92df:0x5a6581a59bfe0dfd!8m2!3d26.1613888!4d-81.7708583!16s%2Fg%2F11ddx6g5fh!19sChIJ35Lqjhji2ogR_Q3-m6WBZVo,SERVPRO of Naples / Marco Island,4.8,150,Water damage restoration service,"2900 Horseshoe Dr S #1400, Naples, FL 34104, United States","566H+HM Naples, Florida, USA",https://www.servpro.com/locations/fl/servpro-of-naples-marco-island?utm_medium=organic&utm_source=gbp,+1 239-302-5700,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRuYirntAvoiDJ3JU-WZCo2qVvIpv4C8cjeGuoQ_AYE6kIfqpT6YuNKnxrHMKa0T08-MwZ5hn_CcIoT2J4-xd5BY_VkHK9plrOx9ZZij7Lj2Sx_zUIWZ3en67qaWIhAJbkWCux=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:10.532Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Flood+Pros+USA/data=!4m7!3m6!1s0x88db1f7628680bd3:0x4c8430bc55ea905c!8m2!3d26.20583!4d-81.8013412!16s%2Fg%2F11q9tx8551!19sChIJ0wtoKHYf24gRXJDqVbwwhEw,Flood Pros USA,4.9,60,Building consultant,"4851 Tamiami Trl N STE 200, Naples, FL 34103, United States","654X+8F Naples, Florida, USA",http://floodprosusa.com/,+1 239-354-7557,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepteG79iCtcffBORQaMJz53FGKUpBGKAQ94yzHx7ZiR1XyypoME14QtBHHmTLAyLOA9440ACBlUyJ1FeHo0pyshZsse5hRAsXPatpkxCrbV2fX18HntZXX6gouDaKJTeXRjZ4yOSg=w408-h279-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:15.000Z,,,,
https://www.google.com/maps/place/iMold+Cleaning+and+Restoration+-+Water+Damage+and+Mold+Removal+Specialists/data=!4m7!3m6!1s0x88db1eeca560ad51:0x18373a339d01f8f6!8m2!3d26.2484886!4d-81.8027766!16s%2Fg%2F11g7p111r5!19sChIJUa1gpewe24gR9vgBnTM6Nxg,iMold Cleaning and Restoration - Water Damage and Mold Removal Specialists,5.0,153,Water damage restoration service,"8805 Tamiami Trl N #147, Naples, FL 34108, United States","65XW+9V Naples, Florida, USA",http://imold.us/locations/naples/,+1 239-747-7492,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAr3jAKXJhvFFYOZatBB0rywo2PakNOETRJgZKUxkpvk-35C6NdB-3pHbqGFP5CEJtphmVEWgdsyXM9hZZ4NNUn5FPwPXRjNwTpZOzwodwNL_AyBvpRzpkc_CIW5V_fmsSms-_=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:19.544Z,,,,
https://www.google.com/maps/place/All+Dry+SWFL/data=!4m7!3m6!1s0x88db1d4eac5ad213:0x7bc187ad94e68f30!8m2!3d26.1895919!4d-81.7390242!16s%2Fg%2F11k4pgmwrt!19sChIJE9JarE4d24gRMI_mlK2HwXs,All Dry SWFL,5.0,67,Water damage restoration service,"434 Rosemeade Ln, Naples, FL 34105, United States","57Q6+R9 Naples, Florida, USA",https://alldryswfl.com/,+1 239-286-7177,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwermKZAo7QNESWHladQ3qBVFBka8gXAoEOFhQPWLoefm3G1GaBGMGcm8SVxN6SG1yPApP52mQXbwYc7re2A-YmmbilORaJtEQQDVau8jslmKaz88g903XiDUV6d2tcGLNeGoWlvf=w408-h309-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:23.993Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/AdvantaClean+of+Naples/data=!4m7!3m6!1s0x88dae324b05af989:0x87d70e72aac10adb!8m2!3d26.19506!4d-81.679844!16s%2Fg%2F11fhqnt_mq!19sChIJiflasCTj2ogR2wrBqnIO14c,AdvantaClean of Naples,4.9,58,Water damage restoration service,,,https://www.advantaclean.com/naples-fl/,+1 239-227-2688,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo_BVPcSp19GUnFRpVsY8q9_rEJKjzBKV5E3uja8lg-U5b5lpe-sVoA4V3ZeFy3n5Ai9vUM7Q4d79Ts_YXvuqKh9qWpYiWsIu8FQmOL9i-tjMfC87N9Upo6R2RVGTAOEGO-jPRyfw92qYBA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T04:01:28.359Z,Identifies as women-owned,,,
