placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,info,attributes,error
https://www.google.com/maps/place/Veritas+Medical/data=!4m7!3m6!1s0x86fe6c8c58bd730d:0xa1c93fe6523050d0!8m2!3d33.5829233!4d-101.8460732!16s%2Fg%2F1q6h_z93d!19sChIJDXO9WIxs_oYR0FAwUuY_yaE,Veritas Medical,4.6,132,Medical clinic,"1316 Texas Ave, Lubbock, TX 79401, United States","H5M3+5H Lubbock, Texas, USA",https://veritaswellnessmember.com/,+1 855-683-7482,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOuJDUAg0Wm4tHy7FzsUeIFPnUUk7xVupUTN3xfrUEJGCFgJNABWXv9ZCxDRN_31ejdaD_3TZ9uIDJapRHYM2BDmwS41qCJHG5Fz8mm0sxOtcvA6D1Srbwlft8nxVg1OgSU_q2=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:30.505Z,,,,
https://www.google.com/maps/place/Lubbock+Integrated+Medical+Institute/data=!4m7!3m6!1s0x86fe6d4fa7ef38b7:0x353c7e2a7b5f4698!8m2!3d33.570797!4d-101.8749051!16s%2Fg%2F1v7tlv2s!19sChIJtzjvp09t_oYRmEZfeyp-PDU,Lubbock Integrated Medical Institute,4.9,448,Chiropractor,"2630 26th St, Lubbock, TX 79410, United States","H4CG+82 Lubbock, Texas, USA",https://www.mydrsteve.com/,+1 806-765-8443,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipOV0iwJ0owDvLgWc2OPzFPgbS7nxiirUka4_YiO=w408-h272-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–12 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:36.837Z,,,,
"https://www.google.com/maps/place/Rhiannon+Newsom,+NP-C/data=!4m7!3m6!1s0x86fe72aa4a6ce1f7:0x9bf496efd7f9c874!8m2!3d33.573949!4d-101.8917526!16s%2Fg%2F11c44f0_4c!19sChIJ9-FsSqpy_oYRdMj51--W9Js","Rhiannon Newsom, NP-C",5.0,10,Nurse practitioner,"3519 22nd Pl, Lubbock, TX 79410, United States","H4F5+H7 Lubbock, Texas, USA",https://www.bodysculptinglubbock.com/,+1 806-789-3218,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNauHvz0lOH7-D0TVUwy9eTX0FPGqbJgsI5gJ63=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:41.753Z,,,,
https://www.google.com/maps/place/Lubbock+Integrative+Medical+%26+Aesthetics/data=!4m7!3m6!1s0x86fe72705cf21553:0xdbcdff38166d881e!8m2!3d33.4907911!4d-101.9334466!16s%2Fg%2F1hc41y6np!19sChIJUxXyXHBy_oYRHohtFjj_zds,Lubbock Integrative Medical & Aesthetics,4.6,33,Family practice physician,"5518 114th St, Lubbock, TX 79424, United States","F3R8+8J Lubbock, Texas, USA",https://www.limalubbock.com/,+1 806-795-1393,Closes soon · 12 pm · Reopens 1:30 pm,https://lh3.googleusercontent.com/p/AF1QipNr6xf5l48CgF2ckfqZ_PD_t1vU5KQlfG6B4XgX=w408-h544-k-no,true,"8 am–12 pm, 1:30–5 pm","8 am–12 pm, 1:30–5 pm","8 am–12 pm, 1:30–5 pm","8 am–12 pm, 1:30–5 pm",Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:46.669Z,,,,
https://www.google.com/maps/place/Alternative+Medicine+Center/data=!4m7!3m6!1s0x86fe7188b213dc21:0xf6bc16e8cebc7fed!8m2!3d33.5224799!4d-101.9218364!16s%2Fg%2F1tykvv9k!19sChIJIdwTsohx_oYR7X-8zugWvPY,Alternative Medicine Center,3.9,7,Naturopathic practitioner,"7805 Slide Rd Suite C, Lubbock, TX 79424, United States","G3CH+X7 Lubbock, Texas, USA",https://amcchiropractic.com/,+1 806-794-6252,Open · Closes 5 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nMQuudD-cAONb_mFESME9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.6859&pitch=0&thumbfov=100,true,8 am–5 am,8 am–5 pm,8 am–5 pm,8 am–5 am,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:51.598Z,,,,
https://www.google.com/maps/place/Natural+Health+Chiropractic/data=!4m7!3m6!1s0x86fe72c7b9b9d45f:0xb995aecd30d2b21a!8m2!3d33.5629996!4d-101.9140303!16s%2Fg%2F1tdbr9vk!19sChIJX9S5ucdy_oYRGrLSMM2ulbk,Natural Health Chiropractic,4.9,132,Chiropractor,"4801 34th St, Lubbock, TX 79410, United States","H37P+59 Lubbock, Texas, USA",http://naturalchiropractic.com/,+1 806-791-0191,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqLXRZ1228D2fZkOIAcvew7MftBQzTLFg6K8ajOvLyVgNQl-GdVsjYggEd7t5LG2IUZNVyiWXqXDeQqib2DArE12AAKW5q1VVXp_uLNcnjJhsb6tUFW5FX3QHY89GhQemDn-dA=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,7:30 am–6 pm,8 am–6 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:56.847Z,,,,
https://www.google.com/maps/place/Jubilee+Health+%26+Wellness/data=!4m7!3m6!1s0x86fe6d684bf0b213:0xe422ec662374d7f4!8m2!3d33.5558677!4d-101.8752487!16s%2Fg%2F11hy_yjky7!19sChIJE7LwS2ht_oYR9Nd0I2bsIuQ,Jubilee Health & Wellness,,,Alternative medicine practitioner,"4200 Boston Ave, Lubbock, TX 79413, United States","H44F+8W Lubbock, Texas, USA",,+1 806-500-7874,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FgjzpzcyIh2rITI5rFcHFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.3584&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:05:59.688Z,,,,
https://www.google.com/maps/place/Infinity+Wellness+Center-+Chiropractic+%26+Acupuncture/data=!4m7!3m6!1s0x86fe0d3ecf5d48cb:0xa4444617123e97a4!8m2!3d33.5927952!4d-101.9157451!16s%2Fg%2F1hhw8cy7v!19sChIJy0hdzz4N_oYRpJc-EhdGRKQ,Infinity Wellness Center- Chiropractic & Acupuncture,5.0,299,Wellness center,"4716 4th St #102, Lubbock, TX 79416, United States","H3VM+4P Lubbock, Texas, USA",https://www.infinitywellnesslubbock.com/,+1 806-224-0063,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfHBiFXTnpTjlLSb24zoEuTTN9tjYuO-7Qkoqx1UD-1hVL3_zBvPrvJVROE7LgWIKYGDU8etsnngPvgnL4_w_QGcvrGZY5R_2ML9sHG0hYbGvLt1e914yi-r8ETvoOONo4Pmywr1f_DjHU=w408-h544-k-no,true,7 am–5:30 pm,7 am–2 pm,9 am–5:30 pm,7 am–2 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:06:04.749Z,,,,
https://www.google.com/maps/place/Lubbock+Cryo+Recovery/data=!4m7!3m6!1s0x86fe73ca382e4bcb:0x105d8f15fbaeb2a8!8m2!3d33.5499769!4d-101.9201683!16s%2Fg%2F11hds6zsmz!19sChIJy0suOMpz_oYRqLKu-xWPXRA,Lubbock Cryo Recovery,5.0,8,Holistic medicine practitioner,"5020 50th St, Lubbock, TX 79414, United States","G3XH+XW Lubbock, Texas, USA",,+1 806-782-1518,Closed · Opens 11 am Tue,https://lh3.googleusercontent.com/p/AF1QipMcWmhFns6oeyW_hfHtoABs298RSufSvimz6HPz=w408-h264-k-no,true,Closed,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:06:09.652Z,,,,
https://www.google.com/maps/place/Frankl+Clinic/data=!4m7!3m6!1s0x86fe72ad01ffd147:0x8ee2fcde88ad18c6!8m2!3d33.5747911!4d-101.8982118!16s%2Fg%2F11b6t86l73!19sChIJR9H_Aa1y_oYRxhitiN784o4,Frankl Clinic,5.0,18,Medical clinic,"3813 22nd St #5b, Lubbock, TX 79410, United States","H4F2+WP Lubbock, Texas, USA",http://www.franklcliniclubbock.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,+1 806-368-7730,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4JIxFg1kJwmswbXufmjRfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.0263&pitch=0&thumbfov=100,true,10 am–5 pm,10 am–5 pm,10 am–3 pm,10 am–5 pm,10 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2026-02-23T17:06:14.930Z,,,,
