placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Precision+Garage+Door+of+Delaware/data=!4m7!3m6!1s0x89c7a9ef3176428b:0xb75ae29a133bb9de!8m2!3d39.145324!4d-75.386594!16s%2Fg%2F1tz76yn9!19sChIJi0J2Me-px4kR3rk7E5riWrc,Precision Garage Door of Delaware,4.9,2073,Garage door supplier,,,https://www.precisiondoordelaware.com/,+1 866-266-6288,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNfXBQuTxM2YNl7p15xMTEV8qBXaOMzKCcgEccV=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:45:37.883Z,,,,
"https://www.google.com/maps/place/Delaware+Express+Garage+Door+Service,+LLC/data=!4m7!3m6!1s0x89c703974f080a85:0xe30006d817d73d2a!8m2!3d39.7248552!4d-75.5809545!16s%2Fg%2F11c5zqfbx_!19sChIJhQoIT5cDx4kRKj3XF9gGAOM","Delaware Express Garage Door Service, LLC",4.8,682,Garage door supplier,"409 Meco Dr, Wilmington, DE 19804, United States","PCF9+WJ Wilmington, Delaware, USA",https://www.degaragedoors.com/,+1 302-562-5080,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOL-3QJmoSsmSaDd-hrfl9vtOtHDNItjIJDmMWK=w408-h503-k-no,true,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:45:43.587Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Full+Circle+Overhead+Door+LLC/data=!4m7!3m6!1s0x89c7039d3088e8e3:0x3628f61e23750f10!8m2!3d39.7305101!4d-75.5811364!16s%2Fg%2F11h9kzyz10!19sChIJ4-iIMJ0Dx4kREA91Ix72KDY,Full Circle Overhead Door LLC,4.9,60,Garage door supplier,"9 Brookside Dr, Wilmington, DE 19804, United States","PCJ9+6G Wilmington, Delaware, USA",http://www.fullcircleohd.com/,+1 302-434-6994,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNwj13cprcFKsiXrkriup7439si6tXa0C9gyrtk=w436-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:45:48.986Z,,,,
https://www.google.com/maps/place/United+Garage+Doors/data=!4m7!3m6!1s0x89c764a67f687e6b:0x90f736caf5ecb19a!8m2!3d39.6547699!4d-75.6155032!16s%2Fg%2F11ggp__c5k!19sChIJa35of6Zkx4kRmrHs9co295A,United Garage Doors,4.7,148,Garage door supplier,"222 S Dupont Hwy, New Castle, DE 19720, United States","M93M+WQ New Castle, Delaware, USA",http://unitedgaragedoors247.com/,+1 302-414-9220,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPRdbcW1eFLksAeeysLMsj-ZAfWJ71jAtC9lxdp=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:45:53.849Z,,,,
https://www.google.com/maps/place/First+State+Garage+Door+Inc/data=!4m7!3m6!1s0x47e591027f8cde9f:0x5d7d17a54ececb8d!8m2!3d39.767703!4d-75.748857!16s%2Fg%2F11mckz3gbz!19sChIJn96MfwKR5UcRjcvOTqUXfV0,First State Garage Door Inc,5.0,111,Garage door supplier,,,https://www.firststategaragedoors.com/,+1 302-832-9122,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNHSJ7zenC0hYs4ZrZtwZV0TVtUKqXHC8uZohCJ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:45:58.587Z,,,,
https://www.google.com/maps/place/Delaware+Doors+LLC/data=!4m7!3m6!1s0x89c707e5daa792cb:0x8c6e7f435d152e65!8m2!3d39.5932193!4d-75.7078682!16s%2Fg%2F11mvsdcbfk!19sChIJy5Kn2uUHx4kRZS4VXUN_bow,Delaware Doors LLC,5.0,46,Garage door supplier,"302 N Hickory Dr, Bear, DE 19701, United States","H7VR+7V Bear, Delaware, USA",http://www.deldoors.com/,+1 302-312-1260,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOXJD-zalx-JY-pw33LQOZlLvgMVrcbcAKoO6Ak=w408-h408-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:03.413Z,,,,
"https://www.google.com/maps/place/Clark+and+Sons,+Inc./data=!4m7!3m6!1s0x89c703dba3e34043:0x71bccd12fbc3c7b1!8m2!3d39.7130812!4d-75.6041173!16s%2Fg%2F11qyfc2cps!19sChIJQ0Djo9sDx4kRscfD-xLNvHE","Clark and Sons, Inc.",4.8,18,Garage door supplier,"314 E Ayre St, Newport, DE 19804, United States","P97W+69 Newport, Delaware, USA",https://clarkandsonsdoors.com/locations/newport-garage-doors/,+1 302-998-7552,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOIMUBI01NtWZiRcjLWmF4naKaYbWTL5qd6sAKs=w408-h306-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:08.268Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Precision+Garage+Door+of+Delaware+%28Newark%29/data=!4m7!3m6!1s0x89c7a93c90fe0467:0xe7e13339fc3f2765!8m2!3d39.6813925!4d-75.756089!16s%2Fg%2F11hz6f577m!19sChIJZwT-kDypx4kRZSc__Dkz4ec,Precision Garage Door of Delaware (Newark),4.9,189,Garage door supplier,,,https://www.precisiondoordelaware.com/,+1 302-319-2255,Closed ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipOIncRFZtuYYvflahLPOCt9ZOUTuoS2C4Orr3S-=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:13.133Z,,,,
https://www.google.com/maps/place/247+Garage+Door+guys/data=!4m7!3m6!1s0x224703b3211921e9:0xa1cc03758fc75ae4!8m2!3d39.6170735!4d-75.524711!16s%2Fg%2F11x1ftk9t7!19sChIJ6SEZIbMDRyIR5FrHj3UDzKE,247 Garage Door guys,5.0,27,Handyman/Handywoman/Handyperson,,,https://www.247garagedoorguys.com/,+1 215-987-7991,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNClTco8WDK66hqrj0ObsWSm5NwJ3-QRDucuOlf=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:17.953Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Delaware+Valley+Door+Inc/data=!4m7!3m6!1s0x89c7a9e06e312e0b:0x53dfcf711129519f!8m2!3d39.6486222!4d-75.7112986!16s%2Fg%2F1thx5039!19sChIJCy4xbuCpx4kRn1EpEXHP31M,Delaware Valley Door Inc,5.0,12,Garage door supplier,"94 Albe Dr, Newark, DE 19702, United States","J7XQ+CF Newark, Delaware, USA",,+1 302-366-8371,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVuD3M5eDc-lIbVmFlTHPop6xuc3Q7-twSMfj7K3GwzlJER573xhIthpRXDhewBxldhg2bcogy0lc7tUSMwQQNkoDAiVBMUM-0qT22pHgw9z8yGJZfxBUTEyqDS1YWYLRJaeIo=w408-h839-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:22.833Z,,,,
https://www.google.com/maps/place/GRB+Overhead+Door+%26+Gate+Repair/data=!4m7!3m6!1s0x89c70799036056fd:0xac68bee6870f9884!8m2!3d39.8040587!4d-75.504361!16s%2Fg%2F11xzxrmrgn!19sChIJ_VZgA5kHx4kRhJgPh-a-aKw,GRB Overhead Door & Gate Repair,5.0,1,Garage door supplier,"11 Branmar Plz, Wilmington, DE 19810, United States","RF3W+J7 Wilmington, Delaware, USA",,+1 302-592-3669,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOWSK6h9AQnYyy_ubDZDd2-KNwMVh2uBsBHZmwu=w437-h240-k-no,true,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:27.510Z,,,,
"https://www.google.com/maps/place/Sanco+Overhead+Door+%26+Gate+Repair,+Co./data=!4m7!3m6!1s0x89c703583100b6a5:0xbe15a1f5d5788b5a!8m2!3d39.7560972!4d-75.5702901!16s%2Fg%2F11mf5bmy_v!19sChIJpbYAMVgDx4kRWot41fWhFb4","Sanco Overhead Door & Gate Repair, Co.",5.0,2,Garage door supplier,"1110 N Bancroft Pkwy, Wilmington, DE 19805, United States","QC4H+CV Wilmington, Delaware, USA",,+1 302-200-5068,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNlXE2MLO7wmXoZuT6FFUpQUozYbCQ_D6mS9JXf=w408-h298-k-no,true,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:32.297Z,,,,
https://www.google.com/maps/place/Allmark+Door+Company/data=!4m7!3m6!1s0x89c703e4261e5ee5:0x18ca887a3a35c8ca!8m2!3d39.6693008!4d-75.612872!16s%2Fg%2F1tdpn10g!19sChIJ5V4eJuQDx4kRysg1OnqIyhg,Allmark Door Company,3.6,13,Door supplier,"502 Churchmans Rd, New Castle, DE 19720, United States","M99P+PV New Castle, Delaware, USA",https://allmarkdoors.com/,+1 800-417-9995,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOw51n0bznt9UX2oX9hqoAzqmBiMv_A74H1HfDK=w780-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:37.303Z,,,,
https://www.google.com/maps/place/Precision+Door+Service/data=!4m7!3m6!1s0x89c6f16fb129e0e5:0x43f5a2ef3a1e98f9!8m2!3d39.960552!4d-75.586466!16s%2Fg%2F1tht2dty!19sChIJ5eApsW_xxokR-ZgeOu-i9UM,Precision Door Service,4.9,1006,Garage door supplier,"315 Westtown Rd STE 10, West Chester, PA 19382, United States","XC67+6C West Chester, Pennsylvania, USA",https://precisiondoorsoutheastpa.com/?utm_source=GMBListing&utm_medium=organic,+1 610-756-9100,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNa-felAq3wqytna-XP1zWjSZKal_Ofm-a0HZ7j=w408-h305-k-no,true,7 am–8 pm,7 am–5 pm,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:42.240Z,,,,
https://www.google.com/maps/place/Precision+Overhead+Garage+Door+Service/data=!4m7!3m6!1s0x89c6cd527b6c04d1:0x5da74b0a58ec0562!8m2!3d39.9064424!4d-74.9667878!16s%2Fg%2F11h69s7jwp!19sChIJ0QRse1LNxokRYgXsWApLp10,Precision Overhead Garage Door Service,5.0,1327,Garage door supplier,"1998 Springdale Rd Suite #104, Cherry Hill Township, NJ 08003, United States","W24M+H7 Cherry Hill Township, New Jersey, USA",https://precisiondoorsouthjersey.com/?utm_source=gmb&utm_medium=location_cherryhill&utm_campaign=website,+1 856-202-6986,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNOIJe-ewOABljRzpWrKoS0t2nKBZBrpu-IIUqc=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:47.125Z,,,,
https://www.google.com/maps/place/Garage+Door+Service+Company/data=!4m7!3m6!1s0x89c6ed84b227ca1f:0xdf8b8606934a2843!8m2!3d39.975416!4d-75.4515214!16s%2Fg%2F11rpddq98s!19sChIJH8onsoTtxokRQyhKkwaGi98,Garage Door Service Company,4.9,157,Garage door supplier,"3922 N Providence Rd, Newtown Square, PA 19073, United States","XGGX+59 Newtown Square, Pennsylvania, USA",http://www.mcsgaragedoor.com/,+1 610-356-2902,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOMLjVG1WhkAL9UpOTZlApSzn0wr3COat8sxvCi=w408-h306-k-no,true,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:51.970Z,,,,
https://www.google.com/maps/place/Experts+Garage+Doors/data=!4m7!3m6!1s0x89c6c7927d9dd491:0xf6d48f1b4be605a6!8m2!3d39.975233!4d-75.1594222!16s%2Fg%2F11h_k3lt5z!19sChIJkdSdfZLHxokRpgXmSxuP1PY,Experts Garage Doors,4.9,639,Garage door supplier,"1427 N Carlisle St, Philadelphia, PA 19121, United States","XRGR+36 Philadelphia, Pennsylvania, USA",https://expertsgaragedoors.com/locations/pa/garage-door-installation-repair-philadelphia/,+1 267-662-2134,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPeZlC7FGR-SfdckhWXykdq31Uidnj3Pd2ng_mQ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:46:56.897Z,LGBTQ+ friendly,true,,
https://www.google.com/maps/place/JC+Garage+Door+Repair/data=!4m7!3m6!1s0xaa57bae8121ba5c9:0xc5bb30895f2a963!8m2!3d39.7014344!4d-75.1531604!16s%2Fg%2F11rzn7v49f!19sChIJyaUbEui6V6oRY6nylQizWww,JC Garage Door Repair,5.0,129,Garage door supplier,,,https://jcgaragedoorrepair.com/,+1 856-652-3772,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOa8q1FxpB_NZfKaNkJTotwLTEuknKx4ypjl0Rp=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:47:01.984Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Main+Line+Garage+Door/data=!4m7!3m6!1s0x89c691f092620b9b:0x197f705dd04a9095!8m2!3d39.9613949!4d-75.5857976!16s%2Fg%2F11fll6219q!19sChIJmwtikvCRxokRlZBK0F1wfxk,Main Line Garage Door,5.0,389,Garage door supplier,"319 Westtown Rd Suite U, West Chester, PA 19382, United States","XC67+HM West Chester, Pennsylvania, USA",https://www.mainlinegaragedoor.com/,+1 610-819-7121,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNB9gs-KylS6VKDsaW1WOLSA6opilKCDHV3zY72=w408-h271-k-no,true,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:47:06.911Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/All+County+Garage+Doors+LLC/data=!4m7!3m6!1s0x89c71b623c7b9317:0xb982b163ef876243!8m2!3d39.6373747!4d-75.497257!16s%2Fg%2F11kmnp8nzw!19sChIJF5N7PGIbx4kRQ2KH72Oxgrk,All County Garage Doors LLC,4.7,14,Garage door supplier,"78 S Hook Rd, Pennsville, NJ 08070, United States","JGP3+W3 Pennsville, Pennsville Township, NJ, USA",https://allcountygd.com/,+1 856-812-8304,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZFeU6Hs4u3W10JMcfhdMVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.3143&pitch=0&thumbfov=100,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2025-11-07T22:47:11.775Z,,,,
