placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,info,error
"https://www.google.com/maps/place/1105+5th+Ave+E+Parking/@33.21031,-87.5658722,14z/data=!4m6!3m5!1s0x8888a824ca8ba17d:0xa064c33a821136dc!8m2!3d33.2048157!4d-87.5298351!16s%2Fg%2F11f2gsp8ts",1105 5th Ave E Parking,,,Parking lot,"1105 5th E Ave, Tuscaloosa, AL 35401, United States","6F3C+W3 Tuscaloosa, Alabama, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2PaKApAnQX8254fHx_3ghg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.12122&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2025-10-28T18:30:29.051Z,,,,,,,,,,
https://www.google.com/maps/place/P%26P+Parking+Solutions+LLC/data=!4m7!3m6!1s0x888cf2ebd4419081:0x44a23c5e7ed0996f!8m2!3d32.6107717!4d-85.4634017!16s%2Fg%2F11cmyhfz71!19sChIJgZBB1OvyjIgRb5nQfl48okQ,P&P Parking Solutions LLC,3.7,13,Valet parking service,"124 Bragg Ave, Auburn, AL 36830, United States","JG6P+8J Auburn, Alabama, USA",https://www.facebook.com/ppparking/,+1 334-740-2615,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=COUZom7uEH4nWy19rafImQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.797264&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Auburn+AL/@32.6082403,-85.4799167,14z",2025-10-28T18:30:44.518Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Auburn+University+Parking+Services/data=!4m7!3m6!1s0x888cf36af0855823:0x2abd8a6518a86a4a!8m2!3d32.5938212!4d-85.4866894!16s%2Fg%2F11rg77kkz7!19sChIJI1iF8GrzjIgRSmqoGGWKvSo,Auburn University Parking Services,1.6,53,Parking lot,"South Quad Parking Deck, 330 Lem Morrison Dr, Auburn, AL 36849, United States","HGV7+G8 Auburn, Alabama, USA",https://auburn.edu/parking/,+1 334-844-4143,Open ⋅ Closes 4:15 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iwGEExqKA6clvfy85QT73w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=355.4925&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Auburn+AL/@32.6082403,-85.4799167,14z",2025-10-28T18:30:50.910Z,7:15 am–4:15 pm,7:15 am–4:15 pm,7:15 am–4:15 pm,7:15 am–4:15 pm,Closed,Closed,7:15 am–4:15 pm,,,
https://www.google.com/maps/place/949+Buccaneer+Dr+Parking/data=!4m7!3m6!1s0x88892173d0c2ee85:0x3e8ce909590cf4c5!8m2!3d33.3455474!4d-86.8374796!16s%2Fg%2F11hbll9rr_!19sChIJhe7C0HMhiYgRxfQMWQnpjD4,949 Buccaneer Dr Parking,3.5,4,Parking lot,"949 Buccaneer Dr, Hoover, AL 35244, United States","85W7+62 Hoover, Alabama, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yNGx4c4xiiytaHElTF8GrA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.02722&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hoover+AL/@33.4053867,-86.8113781,14z",2025-10-28T18:31:02.334Z,,,,,,,,,,
https://www.google.com/maps/place/Magic+City+Parking/data=!4m7!3m6!1s0x888919c2d484c0d5:0xe0f0016ed0a8ea0f!8m2!3d33.4131862!4d-86.8016679!16s%2Fg%2F11j1lcx82h!19sChIJ1cCE1MIZiYgRD-qo0G4B8OA,Magic City Parking,5.0,6,,"2209 Montreat Cir, Vestavia Hills, AL 35216, United States","C57X+78 Vestavia Hills, Alabama, USA",https://magiccityparking.com/,+1 205-319-3239,Permanently closed,https://lh3.googleusercontent.com/p/AF1QipNysaOcC9Br_Xk67w6MasGjh0B8qbrw6dJh89d1=w698-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hoover+AL/@33.4053867,-86.8113781,14z",2025-10-28T18:31:07.151Z,,,,,,,,,,
https://www.google.com/maps/place/Apex+Valet/data=!4m7!3m6!1s0x88893d4e03c9fc37:0x67b1fcd2835dc8e6!8m2!3d33.384581!4d-86.737369!16s%2Fg%2F1hm3xckvr!19sChIJN_zJA049iYgR5shdg9L8sWc,Apex Valet,4.8,22,,"4509 Valleydale Rd, Birmingham, AL 35242, United States","97M7+R3 Birmingham, Alabama, USA",http://www.apexvalet.com/,+1 205-991-0532,Permanently closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HpwZRwadl_OkmDoVKz94AA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.6432&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Hoover+AL/@33.4053867,-86.8113781,14z",2025-10-28T18:31:12.236Z,,,,,,,,,,
"https://www.google.com/maps/place/Metro+by+T-Mobile/@31.2233594,-85.389326,14z/data=!4m6!3m5!1s0x88929305f97334bb:0x2ccbf4c61bc3828b!8m2!3d31.2223883!4d-85.3864037!16s%2Fg%2F11bxdthvsv",Metro by T-Mobile,4.0,49,Cell phone store,"307 Columbia Hwy, Dothan, AL 36301, United States","6JC7+XC Dothan, Alabama, USA",https://www.metrobyt-mobile.com/stores/bd/metro-by-t-mobile-dothan-al-10295853/?utm_source=google&utm_medium=lastmile&utm_campaign=39751,+1 334-699-1593,"Open ⋅ Closes 7 pm

Confirmed by this business 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqpLVz8PLsz-9LG_bgFjF9L8YgkOmHLh9uYfwk7wvclYw5xt8sPzzvwdzBZ2oHGTM8dhC6ku6zLhwcgkIndXGUKJGPsGP7nYWY-geSxxH95YjA1ynB54q-rXYQi--CVvLqKyXSGQ=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Dothan+AL/@31.2233594,-85.389326,14z",2025-10-28T18:31:21.000Z,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,12–6 pm,10 am–7 pm,"Wireless provider supplying phones, tablets & accessories, plus cell phone & device data plans. · In-store shopping · In-store pick-up",,
https://www.google.com/maps/place/Superior+Parking+Management+Solutions/data=!4m7!3m6!1s0x88605f98d0ca3b07:0x5774d9a8418e3876!8m2!3d35.0637303!4d-85.3083608!16s%2Fg%2F11v_4z_72m!19sChIJBzvK0JhfYIgRdjiOQajZdFc,Superior Parking Management Solutions,3.5,19,Valet parking service,"134 N Market St unit 4435, Chattanooga, TN 37405, United States","3M7R+FM Chattanooga, Tennessee, USA",https://www.parkingsuperior.com/,+1 423-405-0899,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMAwJVdyNRaP6BdEkuqJtu7Y0fH1hKYATO1fFzq=w408-h366-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Madison+AL/@34.6992579,-86.7483318,14z",2025-10-28T18:31:35.651Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,,
https://www.google.com/maps/place/Madison+Landing/data=!4m7!3m6!1s0x88626f0cc9766b93:0xad0b4a92531754a9!8m2!3d34.6926962!4d-86.7220037!16s%2Fg%2F1tjz8pc6!19sChIJk2t2yQxvYogRqVQXU5JKC60,Madison Landing,4.0,379,Apartment complex,"2002 Flagstone Dr, Madison, AL 35758, United States","M7VH+35 Madison, Alabama, USA",https://livemadisonlanding.com/?utm_source=GMB&utm_medium=organic,+1 833-938-3037,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipNgNHAWij1abxKAix0lkir7CKPqPNqPPt1IRvTn=w408-h272-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Madison+AL/@34.6992579,-86.7483318,14z",2025-10-28T18:31:41.014Z,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,10 am–5 pm,Closed,8:30 am–5:30 pm,· Dogs allowed,,
"https://www.google.com/maps/place/Parking+Services/@34.7308409,-86.6413053,17z/data=!3m1!4b1!4m6!3m5!1s0x88626b00794a6b35:0x1f5a276d1ae4edd7!8m2!3d34.7308409!4d-86.6413053!16s%2Fg%2F11vszjf7kr",Parking Services,1.0,5,Transportation service,"1410 Ben Graves Dr NW, Huntsville, AL 35816, United States","P9J5+8F Huntsville, Alabama, USA",,+1 256-824-6595,Open ⋅ Closes 4 pm,,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Madison+AL/@34.6992579,-86.7483318,14z",2025-10-28T18:31:48.190Z,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,Closed,Closed,8:30 am–4 pm,,,
