placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Mr.+Electric+of+the+Coastal+Empire/data=!4m7!3m6!1s0x88fb783aaaaaaaab:0xc94c362d5f846f7a!8m2!3d32.03718!4d-81.0639758!16s%2Fg%2F1vxg0096!19sChIJq6qqqjp4-4gRem-EXy02TMk,Mr. Electric of the Coastal Empire,4.9,861,Electrician,"2134 Shell Rd, Savannah, GA 31404, United States","2WPP+VC Savannah, Georgia, USA",https://mrelectric.com/the-coastal-empire?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 912-200-6383,"Open 24 hours

Confirmed by this business 1 week ago",Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipMtGET2aLgMJae-yMyOI4BG6CdGvnAmbcnQ9PXS=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:07.243Z,,,
"https://www.google.com/maps/place/Crout+Electrical+Company,+Inc./data=!4m7!3m6!1s0x88fba00195566fcf:0x563fb963c57dfba5!8m2!3d32.0527817!4d-81.1639362!16s%2Fg%2F1hc27054m!19sChIJz29WlQGg-4gRpft9xWO5P1Y","Crout Electrical Company, Inc.",4.7,14,Electrical installation service,"3000 Business Center Dr, Savannah, GA 31405, United States","3R3P+4C Savannah, Georgia, USA",http://www.croutelectric.com/,+1 912-351-9419,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOpYvUYcQuYK-D01t1t3xn9bj5FZ_r4nZyrI_gu=w790-h240-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:12.953Z,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Savannah/data=!4m7!3m6!1s0x88fb75c6d3372285:0x7363db0e954c725!8m2!3d32.0954513!4d-81.2723617!16s%2Fg%2F11h18jw1km!19sChIJhSI308Z1-4gRJcdU6bA9Ngc,Generator Supercenter of Savannah,4.6,185,Electric generator shop,"1521 Pooler Pkwy, Pooler, GA 31322, United States","3PWH+53 Pooler, Georgia, USA",https://www.generatorsupercenter.com/savannah/?L=true,+1 912-349-3736,"Closed · Opens 9 am Mon

Updated by this business 4 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPtWbpJOxBNwz2uvwPZs0IFmYsxtpLDQvxQ6MgD=w408-h544-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:17.970Z,· In-store shopping · Delivery,,
https://www.google.com/maps/place/Performance+Power+Systems+Inc/data=!4m7!3m6!1s0x88fb9fd1c928d8a5:0xcec6605a4036fcd8!8m2!3d32.0553433!4d-81.1279475!16s%2Fg%2F1tcyy8l6!19sChIJpdgoydGf-4gR2Pw2QFpgxs4,Performance Power Systems Inc,4.7,12,Diesel engine repair service,"105-D Owens Industrial, Savannah, GA 31405, United States","3V4C+4R Savannah, Georgia, USA",http://www.performancepowersystems.com/,+1 912-232-0300,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPN9GrUNH3_-1IXQUL5Ra0YULUDsxqNkFcDfhIl=w408-h544-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:23.095Z,,,
https://www.google.com/maps/place/Rushing+Electric+Co.+Inc./data=!4m7!3m6!1s0x88fb9f7460e1a98b:0xd90ac6c1a7aa7de2!8m2!3d32.095226!4d-81.146343!16s%2Fg%2F1xgrnsz0!19sChIJi6nhYHSf-4gR4n2qp8HGCtk,Rushing Electric Co. Inc.,4.7,50,Electrician,"411 US-80 W, Garden City, GA 31408, United States","3VW3+3F Garden City, Georgia, USA",http://rushingelectric.com/,+1 912-965-0805,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPGMynH348_RfbaO_5eOPv0iMpGzPF-OTjiMYp5=w1200-h240-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:28.087Z,,,
"https://www.google.com/maps/place/Current+Edge+Solutions,+LLC/data=!4m7!3m6!1s0x88fb75965a85bb89:0xcd1c3184283011fd!8m2!3d32.0638837!4d-81.0466633!16s%2Fg%2F11k0c8x487!19sChIJibuFWpZ1-4gR_REwKIQxHM0","Current Edge Solutions, LLC",5.0,7,Electrical engineer,"2700 Gregory St Suite 160, Savannah, GA 31404, United States","3X73+H8 Savannah, Georgia, USA",http://www.currentedgesolutions.com/,+1 912-357-5800,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNBeSxY0kO9Madd4GTXFQ-ilnHvRCd1J14eRFPU=w408-h272-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:33.257Z,,,
https://www.google.com/maps/place/Joyner+Electric+and+Security/data=!4m7!3m6!1s0x88fba0761416b6ef:0xb1fdf64732627b4d!8m2!3d32.048623!4d-81.1907955!16s%2Fg%2F1tmklv3j!19sChIJ77YWFHag-4gRTXtiMkf2_bE,Joyner Electric and Security,4.9,236,Electrician,"128L Salt Creek Rd, Savannah, GA 31405, United States","2RX5+CM Savannah, Georgia, USA",https://joynerelectricandsecurity.com/,+1 912-200-6889,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzJzv4G_Q5Tfbmnk8ISW-9eb_nsxUG9_JsOJ7gtkNoxmkc-WRiwZW_aJQ03V5Gvpjv88XpMwkmD-YECktWCSAt4TJCdLS0xxlsJ6BFwDIbJFeWNPrRgEK6YMZGcHub4d2yj3VLEbRdcVD59=w408-h408-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:38.152Z,,,
https://www.google.com/maps/place/JG+Beacham+Electric/data=!4m7!3m6!1s0x88fb75befc367c2d:0x48d71754fa50a471!8m2!3d32.0577902!4d-81.0941926!16s%2Fg%2F11c70dmj9n!19sChIJLXw2_L51-4gRcaRQ-lQX10g,JG Beacham Electric,5.0,43,Electrician,"414 E 35th St, Savannah, GA 31401, United States","3W54+48 Savannah, Georgia, USA",https://jgbeachamelectric.com/,+1 912-598-6230,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOmwLtPwirufFOlGyizDJqz6EpLOvTa_GNdK7CE=w408-h270-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:43.049Z,,,
https://www.google.com/maps/place/Cummins+Sales+and+Service/data=!4m7!3m6!1s0x88fb9fb09745c1dd:0x2d2d0428f28f8828!8m2!3d32.1298291!4d-81.1702265!16s%2Fg%2F1tdxlqzx!19sChIJ3cFFl7Cf-4gRKIiP8igELS0,Cummins Sales and Service,3.8,41,Manufacturer,"5534 Augusta Rd, Savannah, GA 31407, United States","4RHH+WW Savannah, Georgia, USA",https://www.cummins.com/sales-and-service?utm_source=GMB&utm_medium=yext,+1 912-232-5565,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHAebZBgf9L7az37xVKlahi_kjNhJGXO9c2feT3NfoWUayK_JiG5svBLVfYBBY8BmxnWSEBOva-itVQq84MkdLHcdhNu4hfWIJ4s_-nhVXLJECcp8wZrsC2IAE1ZyQamt7HDJ5dw=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:47.919Z,,,
https://www.google.com/maps/place/Northern+Tool+%2B+Equipment/data=!4m7!3m6!1s0x88fb75a855167ed5:0x108c18fe71ee28c5!8m2!3d32.0077902!4d-81.1169579!16s%2Fg%2F11css6p4nx!19sChIJ1X4WVah1-4gRxSjucf4YjBA,Northern Tool + Equipment,4.5,313,Tool store,"7505 Abercorn St, Savannah, GA 31406, United States","2V5M+46 Savannah, Georgia, USA",https://www.northerntool.com/store/savannahga-store-savannah-ga,+1 912-235-0202,Closes soon · 6 pm · Opens 9 am Sun,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWS58_zHLP8E1eZ_dRZro9ZHeU6pJD2JjEyMJzh8Unr2RQthIVjamXJtON9H9vYgqHFnOUvmebCFI4zdHkHXJYjU1gmBU95pgsXZeCjOAMayK1B99ts_GK8YzZdeFfVW8vbVn3=w408-h544-k-no,true,8 am–6 pm,9 am–5 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2026-01-10T22:39:52.860Z,Chain carrying a vast selection of tools & equipment for do-it-yourself & construction projects. · In-store shopping · In-store pick-up · Delivery,,
