placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Grimes+Pools/data=!4m7!3m6!1s0x886c674616e093ed:0xe0fef54fbb37be1a!8m2!3d39.1754507!4d-86.5662779!16s%2Fg%2F1tctmjrv!19sChIJ7ZPgFkZnbIgRGr43u0_1_uA,Grimes Pools,4.7,72,Swimming pool contractor,"2452 W Industrial Park Dr, Bloomington, IN 47404, United States","5CGM+5F Bloomington, Indiana, USA",http://grimespools.com/,+1 812-336-7665,"Open ⋅ Closes 5 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNFWDjLMkqFUqzvAYH8xKRkMt42Mmusf111dPL5=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:21.177Z,,,
https://www.google.com/maps/place/Aqua+Pro+Pool+%26+Spa+Specialists/data=!4m7!3m6!1s0x886c6657731d3529:0x2039b8be96b25ddc!8m2!3d39.1438314!4d-86.5322447!16s%2Fg%2F1tdqc9sp!19sChIJKTUdc1dmbIgR3F2ylr64OSA,Aqua Pro Pool & Spa Specialists,4.7,191,Swimming pool contractor,"1958 S Walnut St, Bloomington, IN 47401, United States","4FV9+G4 Bloomington, Indiana, USA",http://www.aquapropoolspa.com/,+1 812-333-6136,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPQTtntbG2AXznLaE15CriwXPmtgHfegVnkTg3n=w427-h240-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,10 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:26.302Z,,,
https://www.google.com/maps/place/Pools+and+Spa+Bloomington+Super+Solutions/data=!4m7!3m6!1s0x886c65b996961c49:0xa0f0d0e717b20caf!8m2!3d39.1709243!4d-86.493424!16s%2Fg%2F11vy0vg2z_!19sChIJSRyWlrllbIgRrwyyF-fQ8KA,Pools and Spa Bloomington Super Solutions,5.0,3,Pool cleaning service,"3210 E 10th St Suite 8764, Bloomington, IN 47408, United States","5GC4+9J Bloomington, Indiana, USA",https://www.supersolutionsindiana.com/,+1 812-219-9698,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHrpRCA1ZvlpkZvO-b1-eEmKdBeeeisFfmNuCgF1OqTKaaTC1OqpByRQGHX37QcRd_LWMcBMBTlpPKmDIKmwCw5ed-VFx-7fWbQhrFhDYe4DKNGKNsHPhQdQeWb9s_rfbZ9sUc=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:30.817Z,,,
"https://www.google.com/maps/place/Indiana+Pools+%26+Spas,+Inc./data=!4m7!3m6!1s0x886c66fb134b7617:0xfc048b88790e0437!8m2!3d39.1523565!4d-86.5339162!16s%2Fg%2F1tdkyf9b!19sChIJF3ZLE_tmbIgRNwQOeYiLBPw","Indiana Pools & Spas, Inc.",3.7,61,Swimming pool contractor,"1210 S Walnut St, Bloomington, IN 47401, United States","5F28+WC Bloomington, Indiana, USA",http://indianapoolsandspas.com/,+1 812-334-3900,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNkefGnvxA4w5hMh1HmnmrPp6Qtn2ekyYCehABS=w427-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:35.678Z,,,
https://www.google.com/maps/place/Parker+Pools/data=!4m7!3m6!1s0x886c8a157a6347ff:0xd166210896c4b93f!8m2!3d39.1800485!4d-86.5908684!16s%2Fg%2F1tl9n9s2!19sChIJ_0djehWKbIgRP7nElgghZtE,Parker Pools,4.1,22,Swimming pool contractor,"4388 W Vernal Pike, Bloomington, IN 47404, United States","5CJ5+2M Bloomington, Indiana, USA",https://www.parkerpoolsandspas.com/,+1 812-606-6122,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPh_sT77mDDxJdUSLqx1iY0lW61G2zsmzk7xA9C=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:40.428Z,,,
https://www.google.com/maps/place/WaterTech+Pools/data=!4m7!3m6!1s0x64b2cc96739cda27:0xc191e79394e18e4!8m2!3d39.013857!4d-86.66006!16s%2Fg%2F11tt320lcn!19sChIJJ9qcc5bMsmQR5BhOOXkeGQw,WaterTech Pools,5.0,10,Swimming pool contractor,,,https://jayswatertechpools.com/,+1 812-929-8196,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPEbDmFxXPmDeorvmCFGoLFOo4agHVCj-gQmaY=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:44.936Z,,,
https://www.google.com/maps/place/Pools+By+Sturgeon+Stone+%26+Landscape/data=!4m7!3m6!1s0x886c4381353c4353:0x41d41314370b1c2!8m2!3d39.135332!4d-86.5433485!16s%2Fg%2F1yh4g6849!19sChIJU0M8NYFDbIgRwrFwQzFBHQQ,Pools By Sturgeon Stone & Landscape,4.9,28,Swimming pool contractor,,,https://poolsbysturgeon.com/,+1 812-325-2333,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNynIZ3B_AZMn50TE48ZfUTTAa0bczpQ0FeuI0q=w408-h306-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:49.560Z,,,
https://www.google.com/maps/place/Parker+Builds/data=!4m7!3m6!1s0x886c433655284601:0x379db506ea30229e!8m2!3d39.0931921!4d-86.6238859!16s%2Fg%2F11r8h35q_4!19sChIJAUYoVTZDbIgRniIw6ga1nTc,Parker Builds,5.0,11,Swimming pool contractor,"6575 W May Rd, Bloomington, IN 47403, United States","39VG+7C Bloomington, Indiana, USA",,+1 812-322-2800,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMU7tJA9D8Ct5Y8NSf3dUmNkXHNhQuU387ww8c=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:53.997Z,Identifies as Asian-owned,,
https://www.google.com/maps/place/Bluetip+Billiards/data=!4m7!3m6!1s0x886c66e13b07d3ab:0x34849c2ff66f01f8!8m2!3d39.1620934!4d-86.5356377!16s%2Fg%2F11cnbxjx56!19sChIJq9MHO-FmbIgR-AFv9i-chDQ,Bluetip Billiards,4.7,250,Pool hall,"426 S College Ave, Bloomington, IN 47403, United States","5F67+RP Bloomington, Indiana, USA",http://www.bluetipbilliards.com/,+1 812-287-7608,Closed ⋅ Opens 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxIz7T67Z5NzH544rEscYCuFSIEjb0B_eadWqVRgJPfNdNQNn5jbLVX8LrFW-cbC11sk-tDwzwIyUuaFLOTA3K7DXbOvHWitj_zXUganbJ_XQJKHaoos0jAghLVh8P6WhOHb8w-=w408-h306-k-no,true,4–11 pm,4–11 pm,4–11 pm,3–11 pm,2–11 pm,2–11 pm,2–7 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:38:58.570Z,,,
"https://www.google.com/maps/place/Keith%27s+Pool+Service+and+Repair,+LLC/data=!4m7!3m6!1s0x886ca641f13c8829:0x1606377432d93299!8m2!3d39.7330959!4d-86.3163458!16s%2Fg%2F1hcbdctpq!19sChIJKYg88UGmbIgRmTLZMnQ3BhY","Keith's Pool Service and Repair, LLC",4.9,109,Swimming pool repair service,"2329 S Burke St, Indianapolis, IN 46231, United States","PMMM+6F Indianapolis, Indiana, USA",https://www.aquaticsconnect.com/indianapolis/services-vendors/keith-s-pool-service-and-repair-llc,+1 317-381-2177,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNZUQjva9wGM9IBVBNi5UZshnAGREQA_NYdUFyb=w408-h301-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Plainfield+Bloomington+IN/@39.169574,-86.5385549,14z",2025-10-27T17:39:03.090Z,,,
