placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes
https://www.google.com/maps/place/Charleston+Parking+System/data=!4m7!3m6!1s0x8848d332f059acab:0x3bc9a785723f99d3!8m2!3d38.3508278!4d-81.638534!16s%2Fg%2F1wc31yjw!19sChIJq6xZ8DLTSIgR05k_coWnyTs,Charleston Parking System,1.8,4,City government office,"501 Virginia St E, Charleston, WV 25301, United States","9926+8H Charleston, West Virginia, USA",https://www.charlestonwv.gov/government/city-departments/traffic-parking,+1 304-348-8158,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7tzbOYNnGYSnNAjtxWVMbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.18085&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:28.675Z,,,,,,,,,
https://www.google.com/maps/place/Douglas+Parking+Co/data=!4m7!3m6!1s0x884f2ccd419dd95b:0xed7f03e2d0fa7181!8m2!3d38.3532241!4d-81.6348032!16s%2Fg%2F1tfbz4mc!19sChIJW9mdQc0sT4gRgXH60OIDf-0,Douglas Parking Co,5.0,3,Parking lot,"500 Lee St E, Charleston, WV 25301, United States","9938+73 Charleston, West Virginia, USA",https://www.douglasparking.com/local-contacts/,+1 304-340-0981,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=USO8KvZN6OgSP98silb2Gw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.19063&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:32.083Z,,,,,,,,,
https://www.google.com/maps/place/MPB+%236+Summers+Street/data=!4m7!3m6!1s0x884f2ccd960eaf1f:0xc93eec8841effc9d!8m2!3d38.3508765!4d-81.635172!16s%2Fg%2F1tgw5qqb!19sChIJH68Ols0sT4gRnfzvQYjsPsk,MPB #6 Summers Street,3.5,14,Parking garage,"166 Summers St, Charleston, WV 25301, United States","9927+9W Charleston, West Virginia, USA",https://www.charlestonwv.gov/government/city-departments/traffic-parking,+1 304-348-0744,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=McnWIBzX2bnCH-_gAGJm4Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.5082&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:37.187Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,,
https://www.google.com/maps/place/Charleston+Chop+House+Valet/data=!4m7!3m6!1s0x8848d32cd6963003:0x3344d78b0d1d0396!8m2!3d38.355117!4d-81.6393804!16s%2Fg%2F11f2gskxw4!19sChIJAzCW1izTSIgRlgMdDYvXRDM,Charleston Chop House Valet,,,Parking lot,"1003 Charleston Town Center, Charleston, WV 25389, United States","9946+26 Charleston, West Virginia, USA",,+1 304-342-4882,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XaCDY02euziOJLh_Z6HSJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.8&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:40.537Z,,,,,,,,,
https://www.google.com/maps/place/City+Parking+Garage/data=!4m7!3m6!1s0x884f2cd23a33c045:0xb172ee5b67829711!8m2!3d38.3503527!4d-81.6382868!16s%2Fg%2F11c606nfsn!19sChIJRcAzOtIsT4gREZeCZ1vucrE,City Parking Garage,2.5,2,Parking garage,"99 Laidley St, Charleston, WV 25301, United States","9926+4M Charleston, West Virginia, USA",https://www.charlestonwv.gov/government/city-departments/traffic-parking,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E1m5rp1O3KUnsR2k4xTqOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.51767&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:43.202Z,,,,,,,,,
https://www.google.com/maps/place/Charleston+Civic+Center+Parking+Garage/data=!4m7!3m6!1s0x8848d32b5ee040a9:0xd3c146b701a36f7d!8m2!3d38.3559956!4d-81.6420422!16s%2Fg%2F11fzfdq3s8!19sChIJqUDgXivTSIgRfW-jAbdGwdM,Charleston Civic Center Parking Garage,4.3,58,Parking garage,"Charleston, WV 25301, United States","9945+95 Charleston, West Virginia, USA",,+1 304-541-5235,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-EUOmEUIh2lm3feXxQpQ0i2NPDyDQ0y_F4qXd22E3R2PTS9MYe03Rwru79uJPlfROgn_i_V8-Sp1y6-CbLP8x0tXFTiXzNME-ihieSRJceBEQzQeWQbjzVl370rOQYD0P_UeaJ4qDdZ8=w408-h286-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:46.197Z,,,,,,,,,
https://www.google.com/maps/place/Parking/data=!4m7!3m6!1s0x884f2dc2ea3bd77b:0x51b7ef981207295!8m2!3d38.3499122!4d-81.6331124!16s%2Fg%2F11g20_2l1k!19sChIJe9c76sItT4gRlXIggfl-GwU,Parking,4.5,2,Parking garage,"900 Lee St E, Charleston, WV 25301, United States","89X8+XQ Charleston, West Virginia, USA",https://parking.com/,+1 304-340-9052,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxpCGc_Tn6qB0DG8357_WR67flaR6hkjXhf9XP0PCzXI-tHY07XgUXojakosrVR3kUPVMp1J9vwq6PCCmEx3BJ3uVOCABrqUjEtV-vSoRWs9AxAr3G3AN4-tza3YzOVhimL-5_0=w408-h906-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:51.061Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Charleston+Marriott+Town+Center+Parking+Garage/data=!4m7!3m6!1s0x8848d32d542cf37d:0x3a376219a3bb29f!8m2!3d38.3560038!4d-81.6377504!16s%2Fg%2F11f2gs_q_l!19sChIJffMsVC3TSIgRn7I7miF2owM,Charleston Marriott Town Center Parking Garage,4.4,7,Parking garage,"200 Lee St E, Charleston, WV 25301, United States","9946+CV Charleston, West Virginia, USA",,+1 304-342-4882,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TWFkOPJsWw6eDsPAFh0c4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.27457&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:54.038Z,,,,,,,,,
https://www.google.com/maps/place/Metropolis/data=!4m7!3m6!1s0x884f2d48373e5a8d:0xc1ad868ce8c1c6b7!8m2!3d38.3470897!4d-81.6344081!16s%2Fg%2F11g20_8r6t!19sChIJjVo-N0gtT4gRt8bB6IyGrcE,Metropolis,,,Parking garage,"1011 Virginia St E, Charleston, WV 25301, United States","89W8+R6 Charleston, West Virginia, USA",https://parking.com/charleston/lot/church-lot?utm_source=Yext&utm_medium=Yext&utm_campaign=Yext-WV,+1 304-340-9052,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPc8H7vdbbY3-QhNYKT7vQnfyYCCGCNLtw0fO6O=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:40:58.813Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/100+Kanawha+Boulevard+East+Parking/data=!4m7!3m6!1s0x884f2cd4c6a85417:0xbcce67916601c8cb!8m2!3d38.354087!4d-81.643568!16s%2Fg%2F11f_p35zxm!19sChIJF1SoxtQsT4gRy8gBZpFnzrw,100 Kanawha Boulevard East Parking,4.0,2,Parking lot,"100 Kanawha Blvd E, Charleston, WV 25301, United States","9934+JH Charleston, West Virginia, USA",,+1 304-344-5777,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxm-6_TQYZwUKakHZ8CVZ-hwxaBVHsoiYGUIF9YS__8kwnIwl8RZztZREqHQ0P_-NYrzsNAvQPSBkG7xgpwI77RopvPHrYkaqbM8mJ7xF7p-OKBd1RdiAP3Cw-OB88mGQ9ydPdRgA=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Charleston+WV/@38.3498195,-81.6326234,14z",2025-10-28T18:41:01.937Z,,,,,,,,,
