placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info
https://www.google.com/maps/place/Reno+Vulcanizing+Auto+Care+and+Tires/data=!4m7!3m6!1s0x80993ed658879e5f:0xb882c66ef0e25596!8m2!3d39.5411464!4d-119.7398221!16s%2Fg%2F1tp2_mqz!19sChIJX56HWNY-mYARllXi8G7Ggrg,Reno Vulcanizing Auto Care and Tires,4.8,752,Auto repair shop,"225 E Prater Way, Sparks, NV 89431, United States","G7R6+F3 Sparks, Nevada, USA",https://renovulc.com/,+1 775-356-7500,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLeZTFNAFylfGFbsev8pv3f9eNYWeuvs91FxgukgJuhcFUDnwOvf-V8d6xFVvuGR-mLTgxcC1N3vLLMUz0rE3vrJM4mcF3i-rX950yoPfxIEu8KM_WtOokBc10sg2_QKG2ADe5ug=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:19:38.433Z,,
https://www.google.com/maps/place/BARAJAS+TIRES/data=!4m7!3m6!1s0x80993f459fa5aa1d:0x6db4b1d31c95d560!8m2!3d39.5270805!4d-119.7743988!16s%2Fg%2F11g8kyb4kp!19sChIJHaqln0U_mYARYNWVHNOxtG0,BARAJAS TIRES,4.4,266,Tire shop,"2255 Glendale Ave #7, Sparks, NV 89431, United States","G6GG+R6 Sparks, Nevada, USA",,+1 775-391-7863,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9JsNYCxrup1GwccphDhHL0DYNTNSnK3SO7c305GmoO2fWj_UtqZeWsONH6P_KAcme9Y2QZkWQ3kbcxp9QJf4AAsyaTBgN9Uxg7B-jvAqsygUI3pVUKJj514TTDdcUV4fw5Cqd1-nH7raV=w408-h544-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,9 am–2 pm,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:19:44.145Z,· In-store pick-up,
https://www.google.com/maps/place/Big+O+Tires/data=!4m7!3m6!1s0x809938d23bdf6737:0x5006cf47cb9e76bb!8m2!3d39.547636!4d-119.7522945!16s%2Fg%2F1tpbc6r6!19sChIJN2ffO9I4mYARu3aey0fPBlA,Big O Tires,4.7,776,Auto repair shop,"1604 Pyramid Way, Sparks, NV 89431, United States","G6XX+33 Sparks, Nevada, USA",https://www.bigotires.com/location/nv/sparks/1604-pyramid-way-89431/028905?utm_source=google&utm_medium=maps&utm_campaign=google+maps&y_source=1_ODY2OTUxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 775-328-7135,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdZ4u2Zz35aw9_1Uuvs8BEKaFzcJR0ErV9gctt1__wPBdFgo43-3KAVIsH5HuuOur5fguVWC8_EsNOoAMcQ3P_y6KvNxsCE0sU_ymCxjZO_xOkJfqr71ek8HssAt5VJgReN0D0=w420-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:19:48.936Z,,
https://www.google.com/maps/place/Tires+Plus/data=!4m7!3m6!1s0x80993eb861105815:0x85d324c60677146d!8m2!3d39.54177!4d-119.7188089!16s%2Fg%2F1tc_4bnl!19sChIJFVgQYbg-mYARbRR3BsYk04U,Tires Plus,4.3,446,Tire shop,"1401 Pullman Dr, Sparks, NV 89434, United States","G7RJ+PF Sparks, Nevada, USA",https://www.tiresplus.com/nevada/sparks/1401-pullman-dr/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 775-636-9284,"Open · Closes 6 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqy8nNBA7fPiDMK-pXRuQZg0MRlXd3uXfhk3m94IdVqBlFBORMUbAMoTrXzrvVQ0z3IWEJE6EMLZiOfSmaoQwURNuX-q0SxBR7_hupaGZ-_gU8l7btFesKaOyiTiuVJW6VfZuU=w408-h306-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:19:53.957Z,· In-store shopping · Kerbside pickup,LGBTQ+ friendly
https://www.google.com/maps/place/Hooten+Tire+Co/data=!4m7!3m6!1s0x80993f555483d143:0xf7070ea479186720!8m2!3d39.5335002!4d-119.7884451!16s%2Fg%2F1trsy7mp!19sChIJQ9GDVFU_mYARIGcYeaQOB_c,Hooten Tire Co,4.7,604,Tire shop,"1940 E 4th St, Reno, NV 89512, United States","G6M6+CJ Reno, Nevada, USA",,+1 775-786-5452,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepm_cnX9gIPr7vgFsxoH00tKmTaLc06zygfyFDulA_dn54VLoPYOqqACd8aseFIdR2ZillzlCr3mLLQUTARNM4G0toYMwVLARnDUlznPs0dRocPpT2tVLi21Wdr-zz_gbqvn-0=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:19:58.398Z,· In-store pick-up,
https://www.google.com/maps/place/GUTIERREZ+TIRES+LLC/data=!4m7!3m6!1s0x80994767ab207095:0x3816717e73b10b92!8m2!3d39.5522071!4d-119.7978354!16s%2Fg%2F1hc1ylmdm!19sChIJlXAgq2dHmYARkguxc35xFjg,GUTIERREZ TIRES LLC,4.6,560,Tire shop,"2536 Sutro St suite 1, Reno, NV 89512, United States","H622+VV Reno, Nevada, USA",https://www.gutierreztiresllc.com/,+1 775-351-1414,"Open · Closes 6:30 pm

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerz-yvHhkIHE_r_pyTfJrSj5_Yuc_OGd0OocCa7y7yjMF3mtcrRvBY2rGFGAQg5BKCjSLjTlYGLzQXzBoUSaWORxen9yIWLDMcpTaXPGnemMEANvxCWtqhkPZWH3ErcGQ4XADog51NYpWwZ=w408-h719-k-no,true,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:20:02.811Z,· In-store shopping · Kerbside pickup,Identifies as Latino-owned
https://www.google.com/maps/place/Big+Brand+Tire+%26+Service/data=!4m7!3m6!1s0x80993f5e894f8cd9:0xce7f9c92daa4c9b9!8m2!3d39.5183792!4d-119.7841281!16s%2Fg%2F113jkzlhd!19sChIJ2YxPiV4_mYARucmk2pKcf84,Big Brand Tire & Service,4.6,488,Tire shop,"2175 Market St, Reno, NV 89502, United States","G698+98 Reno, Nevada, USA",https://www.bigbrandtire.com/locations/reno-nv?store_number=3201&utm_source=organic&utm_medium=gbp&utm_campaign=3201,+1 775-367-7830,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweozSOa2QiuJ9RQmvPrp2-cbBjLfQSDaNLRjUinLGE91qd3UGwD-B80iztDdTEDcpop8dp0dgDO5mdViNIWewFCp30_Egw3YdS5I_IdiKJ9QgMMHkbabmO8jaDP4vQCCwUZHJg79pw=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:20:07.628Z,· In-store shopping · Kerbside pickup,LGBTQ+ friendly
https://www.google.com/maps/place/Reno+Tire+Pros/data=!4m7!3m6!1s0x80994752f906aa4f:0x72052b0cdf115660!8m2!3d39.5331073!4d-119.7982145!16s%2Fg%2F1tp08c3c!19sChIJT6oG-VJHmYARYFYR3wwrBXI,Reno Tire Pros,4.6,316,Tire shop,"1195 E 4th St, Reno, NV 89512, United States","G6M2+6P Reno, Nevada, USA",http://www.renotirepros.com/,+1 775-502-7767,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0NkS3M72UNnZiSyr7Vbwijm8VNZ7U2Skm0k8FaVFZbhkEzd14avoZ1APFJWwIUG8H1yUQoO0EU1Zs0j1JWVZr-bmg8mKjWU-rKcMKRToU8K0Y8QcD3GFQxTauitVTiCARwVL_Pu9D07FQ=w408-h408-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:20:12.063Z,· In-store shopping · In-store pick-up,
https://www.google.com/maps/place/CMC+Tire/data=!4m7!3m6!1s0x80993ef1f8c60d7d:0xe9ffc416180b0810!8m2!3d39.5225791!4d-119.7255172!16s%2Fg%2F11c5__lltl!19sChIJfQ3G-PE-mYAREAgLGBbE_-k,CMC Tire,4.8,148,Tire shop,"1105 Kleppe Ln, Sparks, NV 89431, United States","G7FF+2Q Sparks, Nevada, USA",https://www.cmctires.com/,+1 775-470-7460,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZT8ByM5cE1yz-djVrWPsUin63JmUy9elVb9BIntNd8Crk4oNrt-6j6KG4tieN4qsmotPb3ky8mBqCCbwqx12bszWHuKr-Z6eglDqmxsFS84QUqiNC9c4XrNf2VUmKL0Y2Uf-RSGNLbB2K=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:20:16.741Z,,
https://www.google.com/maps/place/All+American+Auto+Repair+%26+Tires/data=!4m7!3m6!1s0x80993fc6c15ca50f:0x971edc0d287d8898!8m2!3d39.5269322!4d-119.7406361!16s%2Fg%2F11kzxf4krd!19sChIJD6VcwcY_mYARmIh9KA3cHpc,All American Auto Repair & Tires,4.6,116,Auto repair shop,"191 E Glendale Ave, Sparks, NV 89431, United States","G7G5+QP Sparks, Nevada, USA",https://775allamericanauto.com/,+1 775-433-2225,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoMoawtiDxaCF2ZcmhECBX_6Th2ppktDkH5Q4K08EVi-Zg9MW9DgNZ9Gef21teZ7ZjgU4sxJgOpP-IeYNHeea_Yfc7LQDpEqwFJ-KcYGFZA_WwCf416pHVb1JNWGWdrMUBevkE=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-03-23T16:20:21.222Z,,
