placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,error
https://www.google.com/maps/place/Refine+Medical+Center/data=!4m7!3m6!1s0x54c11f2cfb0d19b5:0x51eecff944aef6e9!8m2!3d44.052376!4d-123.109789!16s%2Fg%2F11kb190b2x!19sChIJtRkN-ywfwVQR6fauRPnP7lE,Refine Medical Center,4.6,29,Family practice physician,"690 Van Buren St, Eugene, OR 97402, United States","3V2R+X3 Eugene, Oregon, USA",http://refinemedicalcl.com/,+1 541-228-9966,Closed ⋅ Opens 9 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPT7SsTERSr0FzAwXvLql--7wpNhN5hOccpPF4=w408-h606-k-no,true,Closed,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:34.330Z,,
https://www.google.com/maps/place/Pure+Infusion+Suites+of+Eugene/data=!4m7!3m6!1s0x54c11de87701b6df:0x15ee3011ced5b6f6!8m2!3d44.065885!4d-123.0978905!16s%2Fg%2F11sytz2bb1!19sChIJ37YBd-gdwVQR9rbVzhEw7hU,Pure Infusion Suites of Eugene,5.0,122,Medical Center,"920 Country Club Rd STE 230B, Eugene, OR 97401, United States","3W82+9R Eugene, Oregon, USA",https://pureinfusionsuites.com/locations/eugene/,+1 541-434-4401,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNWaEBEA8Fxbln103xQy-T4bIctriJkJRak_UqR=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:40.141Z,,
https://www.google.com/maps/place/Emerging+Health+Eugene+Infusion+Clinic/data=!4m7!3m6!1s0x54c0e1ddb097126f:0x652e4f779f4b7196!8m2!3d44.056293!4d-123.0544444!16s%2Fg%2F11w4rwn4wy!19sChIJbxKXsN3hwFQRlnFLn3dPLmU,Emerging Health Eugene Infusion Clinic,3.6,5,Pharmacy,"360 S Garden Way Suite 110, Eugene, OR 97401, United States","3W4W+G6 Eugene, Oregon, USA",https://emerginghealth.com/,+1 458-247-3050,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JvGp874LNO4ywTiUe47AVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.99259&pitch=0&thumbfov=100,false,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:45.802Z,,
https://www.google.com/maps/place/Medix+Infusion+-+Eugene/data=!4m7!3m6!1s0x54c11d9b6560b6f5:0x7d84ecd906fd6002!8m2!3d44.0698044!4d-123.1099805!16s%2Fg%2F11v9d7qfbq!19sChIJ9bZgZZsdwVQRAmD9BtnshH0,Medix Infusion - Eugene,3.5,2,Medical clinic,"1400 Executive Pkwy Suite 415, Eugene, OR 97401, United States","3V9R+W2 Eugene, Oregon, USA",https://medixinfusion.com/,+1 833-696-3349,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOwSL5k6mb45e1mbKbtxSpe5BL_sEtGtCAS5J8S=w428-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:50.710Z,,
https://www.google.com/maps/place/IV+Hydration+of+Oregon/data=!4m7!3m6!1s0x54c11fdb2ba88365:0x416e1f743c3afbec!8m2!3d44.0418812!4d-123.0910794!16s%2Fg%2F11j6dpstpw!19sChIJZYOoK9sfwVQR7Ps6PHQfbkE,IV Hydration of Oregon,4.9,44,Medical spa,"1605 Oak St, Eugene, OR 97401, United States","2WR5+QH Eugene, Oregon, USA",https://ivhydrationeugene.com/,+1 541-623-0874,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOmTqlt9Ut_OYswxBdoks98l5zs1RNvy8BYT6eg=w408-h286-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:53.674Z,,
https://www.google.com/maps/place/Willamette+Valley+Cancer+Institute+and+Research+Center+-+Eugene/data=!4m7!3m6!1s0x54c11e07b5a05ffd:0x633faf0d0b02b9d4!8m2!3d44.063412!4d-123.0912032!16s%2Fg%2F1tfq8z02!19sChIJ_V-gtQcewVQR1LkCCw2vP2M,Willamette Valley Cancer Institute and Research Center - Eugene,4.1,76,Cancer treatment center,"520 Country Club Rd, Eugene, OR 97401, United States","3W75+9G Eugene, Oregon, USA",https://www.oregoncancer.com/locations/eugene/?utm_campaign=Rio-Listings&utm_source=local-listings&utm_medium=google,+1 541-683-5001,"Closed ⋅ Opens 7:30 am Mon

Updated by this business 11 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNrBNOaI7iSVKoEP2AZQwZkozSEwGjkZH6XttT7lbQ-Foz-MwstI9NA3Ub3hIZ2vSyr6ZM4IdnaHzvpIWR7yB-sKSYvGDixen_-ogk5ID3B0RL9jXIOhLeNv5LUFCkNlIW8J8=w408-h541-k-no,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:27:58.699Z,,
https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x54c0e1dac9334c69:0x2fa9670cf42d2836!8m2!3d44.066094!4d-123.0743421!16s%2Fg%2F11y2pv1pv4!19sChIJaUwzydrhwFQRNigt9AxnqS8,Restore Hyper Wellness,5.0,362,Medical spa,"298 Coburg Rd Suite C, Eugene, OR 97401, United States","3W8G+C7 Eugene, Oregon, USA",https://www.restore.com/locations/or-eugene-or010?utm_source=gmb&utm_medium=Yext&y_source=1_MTAzMTUwNjYwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 541-600-4052,"Closed ⋅ Opens 10 am Mon

Confirmed by this business 12 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrvZM9hGrsowUYLUysxl1wMvZEMMCo3K5KBBrznhUME46WqS3U0TA6MqNtJCRzReLN76SJtzkt9aplbb0Zhs4BEyAb8RuAPxZNKqjvoueQKzzVf24sL5hMiuhWBXVliC1XFxZ4=w408-h544-k-no,true,10 am–4 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:28:03.678Z,,
https://www.google.com/maps/place/Infusion+Center+at+PeaceHealth+RiverBend+Pavilion/data=!4m7!3m6!1s0x54c0e1731a524b35:0x4041ea8589800626!8m2!3d44.0833513!4d-123.0267624!16s%2Fg%2F11fj2r8qry!19sChIJNUtSGnPhwFQRJgaAiYXqQUA,Infusion Center at PeaceHealth RiverBend Pavilion,4.5,11,Cancer treatment center,"3377 Riverbend Dr 5th Floor, Springfield, OR 97477, United States","3XMF+87 Springfield, Oregon, USA",https://www.peacehealth.org/locations/springfield/infusion-center-peacehealth-riverbend-pavilion?utm_source=gbp&utm_medium=organic&utm_content=SPRI-049&utm_campaign=gmb,+1 541-222-6280,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUZvECOVt1f0gTDXtKfGSVPGUpRuo4JYqJJ3s2cyCtIdte5z9AbajidsdG_WQ_Cv5Al86xP1f6alfnoWpPND2oXbRqsJXVzlXWQ4MBp6MTrbYBTAX3Qs4nZGmoHZjkjuIoDnJqBw=w426-h240-k-no,true,8 am–4 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Eugene+OR/@44.052121,-123.0896705,14z",2025-09-28T23:28:08.641Z,,
https://www.google.com/maps/place/The+Current/data=!4m7!3m6!1s0x54b8c7faba8ae7c3:0x7940e9f69e83de0b!8m2!3d44.045867!4d-121.32472!16s%2Fg%2F11tjp1kjch!19sChIJw-eKuvrHuFQRC96DnvbpQHk,The Current,4.8,32,Apartment complex,"954 SW Emkay Dr, Bend, OR 97702, United States","2MWG+84 Bend, Oregon, USA",https://www.thecurrentbend.com/?switch_cls[id]=25368&utm_source=google%20-%20entratammb&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,+1 458-221-7453,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNUhzPR7oTOXRXn6fwUntmZfpt_1TQyCJ-Wwx50=w408-h272-k-no,true,Closed,9 am–5 pm,9:30 am–6 pm,9 am–5 pm,9 am–5 pm,9:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bend+OR/@44.0581728,-121.3153096,14z",2025-09-28T23:28:22.972Z,· Dogs allowed,
https://www.google.com/maps/place/Dr.+Mark+Thibert/data=!4m7!3m6!1s0x54b8c7d254dcbfc7:0x32103e62d22b9355!8m2!3d44.047415!4d-121.32352!16s%2Fg%2F11b75gz_9_!19sChIJx7_cVNLHuFQRVZMr0mI-EDI,Dr. Mark Thibert,4.0,4,Family practice physician,"929 SW Simpson Ave Suite 300, Bend, OR 97702, United States","2MWG+XH Bend, Oregon, USA",,+1 541-389-7741,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I8EpJ9NVIZjJ_qGHGYH1GQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=45.01158&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Bend+OR/@44.0581728,-121.3153096,14z",2025-09-28T23:28:25.639Z,,
