placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/SERVPRO+of+Burlington%2FMiddlebury/data=!4m7!3m6!1s0x4cca79a9451857d3:0x8b5fdd82aaf4ef57!8m2!3d44.4841487!4d-73.1675277!16s%2Fg%2F11bw3_t016!19sChIJ01cYRal5ykwRV-_0qoLdX4s,SERVPRO of Burlington/Middlebury,4.8,52,Water damage restoration service,"1205 Airport Pkwy, South Burlington, VT 05403, United States","FRMJ+MX South Burlington, Vermont, USA",https://www.servpro.com/locations/vt/servpro-of-burlington-middlebury?utm_medium=organic&utm_source=gbp,+1 802-497-1101,,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweraE2Y_arX4ojHLULqbUzpdrbCLuCxaOMWaxg6goNoZ-qX9wOPiIbxZyPS4VGsTl4E35XylaCm4jrMIsnAGhSZSgq87_LqnhUwH923PHl1yd360dKsarC0co22RHJggvcxNslJx0DLQnLs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:24.449Z,,,
https://www.google.com/maps/place/SERVPRO+of+Stowe/data=!4m7!3m6!1s0x4cca708afd9e36b7:0xddfa938123dccf5a!8m2!3d44.4841487!4d-73.1675277!16s%2Fg%2F1tj5qc61!19sChIJtzae_YpwykwRWs_cI4GT-t0,SERVPRO of Stowe,4.8,36,Water damage restoration service,"1205 Airport Pkwy, South Burlington, VT 05403, United States","FRMJ+MX South Burlington, Vermont, USA",https://www.servpro.com/locations/vt/servpro-of-stowe?utm_medium=organic&utm_source=gbp,+1 802-655-7797,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweos5dtCzSy4sE0mwyRnVPto3yi-VvDUICpmsJ6lsc_lxXeNHZseq4KNNoGSkqzSgk_k6Mqa4vM0n4hSSNJ4fB1_NmipzsOpiz97XP1g2uF7TMd0jDTceOvvnNCo0nI_KpcSEvF0t40LewxS=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:30.117Z,,,
https://www.google.com/maps/place/Alderson+Environmental+Services/data=!4m7!3m6!1s0x4cca7af8c8444939:0x8b59a19e7a34d55a!8m2!3d44.4719152!4d-73.2145178!16s%2Fg%2F1tf5pvy7!19sChIJOUlEyPh6ykwRWtU0ep6hWYs,Alderson Environmental Services,4.2,10,Fire damage restoration service,"266 Pine St, Burlington, VT 05401, United States","FQCP+Q5 Burlington, Vermont, USA",https://aldersonvt.com/,,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6mSMjMNX1dEnzx2Iy3EB-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.22932&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:35.391Z,,,
https://www.google.com/maps/place/G.W.+Savage+Corp./data=!4m7!3m6!1s0x4cca798d01263fd3:0xea3c5d3e0d47e301!8m2!3d44.4547239!4d-73.1398086!16s%2Fg%2F11wvtb77z3!19sChIJ0z8mAY15ykwRAeNHDT5dPOo,G.W. Savage Corp.,4.7,28,Water damage restoration service,"16 Gregory Dr, South Burlington, VT 05403, United States","FV36+V3 South Burlington, Vermont, USA",https://www.gwsavage.com/,+1 802-660-8900,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq2LtuTjfZrp2Wo-kuJqhQkmHazMs6X8jSNLuZ7dgucWawqMx72JRXqOzeYwMOwDDtGEA4-a3nx_w13c5Ee7unXAFOcOCWfGKR0jXwpRoUjSqFkV7upya5T8UONUE4BBbDwVABFpeexHzJs=w457-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:40.142Z,,,
https://www.google.com/maps/place/PuroClean+Managed+Services+of+Vermont/data=!4m7!3m6!1s0x4cb5877d786592f9:0x6a47f670d034f699!8m2!3d44.4495135!4d-73.1320702!16s%2Fg%2F1wbrxcrv!19sChIJ-ZJleH2HtUwRmfY00HD2R2o,PuroClean Managed Services of Vermont,4.8,72,Water damage restoration service,"82 Leroy Rd, Williston, VT 05495, United States","CVX9+R5 Williston, Vermont, USA",https://www.puroclean.com/williston-vt-puroclean-managed-services,+1 802-864-5551,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqlEw4TiCnG5W1wpqjOiBcSPM6jyBJ4xz5TM8Ad9Ekio5cgYzMgBAymt4fuHwZBHXAKyCHc-d_gm2U9UdSGBw4yk8v3EaFz_ZtbpW34Tsm1pBPjzuGg9wlJBdKsrUUi2bx_YDw1=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:44.845Z,,,
https://www.google.com/maps/place/1-800-GOT-JUNK%3F+Vermont/data=!4m7!3m6!1s0x4cca7a3c2fc44e71:0x15b9c74a2b4e3353!8m2!3d44.1521906!4d-72.7133844!16s%2Fg%2F1hbpwr6fm!19sChIJcU7ELzx6ykwRUzNOK0rHuRU,1-800-GOT-JUNK? Vermont,4.8,1067,Junk removal service,,,https://www.1800gotjunk.com/us_en/locations/junk-removal-vermont?utm_source=googleplus&utm_medium=maps&utm_campaign=vermont,+1 802-307-1419,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRCZ5E3KL9nI_8U-6rOhwy0j86LM_9BYFegagxu9TSazyAEb0OjhQRIblnRzNzTEFtcHm_o_CGMFY7pqf2YJs3BGSNw9yz1dW9iRS41KRQ9OWQfj7qea1xucy6YFLEV6QEpn0Tvg=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:49.541Z,,,
https://www.google.com/maps/place/Pro-Tech+Contracting/data=!4m7!3m6!1s0x4cca7badea819901:0xe7933eac9c2e3e8!8m2!3d44.4841902!4d-73.2175277!16s%2Fg%2F11nxpmgwvg!19sChIJAZmB6q17ykwR6OPCyeozeQ4,Pro-Tech Contracting,4.5,8,General contractor,"132 N Champlain St, Burlington, VT 05401, United States","FQMJ+MX Burlington, Vermont, USA",https://protechcontractingvt.com/,+1 802-318-0205,Closed · Opens 7 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d4DWA0x9DjXDiZNAmN7mZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.46383&pitch=0&thumbfov=100,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:54.289Z,,,
https://www.google.com/maps/place/ServiceMaster+Restoration+Services+-+Williston/data=!4m7!3m6!1s0x4cca790408fdeebb:0x775cb2dfa69e81c4!8m2!3d43.922052!4d-72.8326054!16s%2Fg%2F1tf7xbcd!19sChIJu-79CAR5ykwRxIGept-yXHc,ServiceMaster Restoration Services - Williston,4.7,31,Fire damage restoration service,,,https://www.servicemasterrestore.com/servicemaster-restoration-services-williston/,+1 802-551-3555,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbr0fn1u20H8zIaI3wm2iBcS9Bo-75MLvzoFMw4P-w10q-v0kke7Midvfa0uCSuGIDys_9c2VhTfG2vGbHHTWmAHwHPT2025L9AmAMRNOtGv6-KwVHBCdGJ74SjuutKcHPDWa_=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:13:59.421Z,,,
https://www.google.com/maps/place/RestoPros+of+Vermont+and+Saratoga+Springs/data=!4m7!3m6!1s0x4cca798e28375fb3:0x58ddcb34a4ff6beb!8m2!3d44.4844094!4d-73.0815961!16s%2Fg%2F11x_1kx_3k!19sChIJs183KI55ykwR62v_pDTL3Vg,RestoPros of Vermont and Saratoga Springs,5.0,1,Water damage restoration service,"57 River Rd, Essex Junction, VT 05452, United States","FWM9+Q9 Essex Junction, Vermont, USA",https://www.restopros.co/vt-and-saratoga-springs/,+1 802-242-8372,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRDLT59bOkwKlQOaZyUPu8fv2hbiomzvAJgWMlT5zPTABtBPzwFbs-nxSc0dtB5FWH6hVNTqg7JQjenqcLmrJaZAQDHvI71GMkSpP60CB3wEdnOc8wbjRLiwPORsSbABYtuI4AxF7TWTrk=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:14:04.178Z,,,
https://www.google.com/maps/place/J.White+Contracting/data=!4m7!3m6!1s0x4cca7b4787d6a38b:0x36c14a4e313b5511!8m2!3d44.465382!4d-73.180222!16s%2Fg%2F11g4j6d_8f!19sChIJi6PWh0d7ykwREVU7MU5KwTY,J.White Contracting,4.5,66,Contractor,"150 Dorset St APT 142, South Burlington, VT 05403, United States","FR89+5W South Burlington, Vermont, USA",http://jwhitecontracting.org/,+1 802-373-4470,Closed · Opens 8:30 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrL9H9pqU9SH6htioPZBnqV6QZAB91t2GbkwI7YODMYBWt24AgRiuhRxQGdihWSclx80fv-4zhEjvEghRCFgOgQPvRofwv8sKZ3wWzYUs7H5GtSRz8atAdUNvJojSfHE6ueTlw=w425-h240-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-03-23T05:14:09.025Z,,,
