placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,info
"https://www.google.com/maps/place/Bivins+%26+Baird,+CPAs,+PLLC/data=!4m7!3m6!1s0x862833bfb0d48c5b:0xb8fcb517799d1081!8m2!3d32.3052625!4d-90.161922!16s%2Fg%2F11j7fkmn4r!19sChIJW4zUsL8zKIYRgRCdeRe1_Lg","Bivins & Baird, CPAs, PLLC",3.4,5,Certified public accountant,"5 Old River Pl # 107, Jackson, MS 39202, United States","8R4Q+46 Jackson, Mississippi, USA",https://www.bbcpams.com/,+1 769-257-7061,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO1VAMFHIzvrBssabU7FLD7VrIxf1aCblQF1TPN=w408-h270-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:20.692Z,,
https://www.google.com/maps/place/KPMG/data=!4m7!3m6!1s0x86283252c6f574e7:0xcc3d174d5a6bb557!8m2!3d32.3009095!4d-90.186311!16s%2Fg%2F1tgtfw54!19sChIJ53T1xlIyKIYRV7VrWk0XPcw,KPMG,5.0,1,Accountant,"188 E Capitol St # 1100, Jackson, MS 39201, United States","8R27+9F Jackson, Mississippi, USA",https://kpmg.com/us/en/how-we-work/locations/jackson.html,+1 601-354-3701,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L4w1Vdz2QYuHzu_kKDAKtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=156.6416&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:24.842Z,,
https://www.google.com/maps/place/Ball+CPA+Firm+PLLC/data=!4m7!3m6!1s0x86282d6769187b33:0xde495918cef26ebe!8m2!3d32.3322275!4d-90.1433241!16s%2Fg%2F1tffzwb8!19sChIJM3sYaWctKIYRvm7yzhhZSd4,Ball CPA Firm PLLC,4.8,4,Certified public accountant,"2616 Southerland Dr, Jackson, MS 39216, United States","8VJ4+VM Jackson, Mississippi, USA",,+1 601-982-2735,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4AfOP2S6ucWazgC-nJEdqA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.78245&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:27.818Z,,
https://www.google.com/maps/place/Victory+Tax+Services/data=!4m7!3m6!1s0x862833ea6a605cbd:0xffa19195072d42cb!8m2!3d32.2846266!4d-90.20637!16s%2Fg%2F1tdylkzl!19sChIJvVxgauozKIYRy0ItB5WRof8,Victory Tax Services,5.0,9,Tax preparation service,"1700 Terry Rd Suite #13, Jackson, MS 39204, United States","7QMV+VF Jackson, Mississippi, USA",,+1 601-353-0596,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNcVz7yjUTIp52g7cJ6WO3Ypbz0AsqSR3cXLh2K=w408-h306-k-no,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:32.943Z,true,
"https://www.google.com/maps/place/Lightheart,+Sanders+and+Associates/data=!4m7!3m6!1s0x8629ce1b3ea540cf:0x468109482f222dff!8m2!3d32.4704848!4d-90.144246!16s%2Fg%2F1xtf1ydh!19sChIJz0ClPhvOKYYR_y0iL0gJgUY","Lightheart, Sanders and Associates",5.0,138,Accounting firm,"140 Fountains Blvd Suite D, Madison, MS 39110, United States","FVC4+58 Madison, Mississippi, USA",https://lsacpafirm.com/,+1 601-898-2727,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNkGjANh8mK9ehLcA5eBSbSJkiKzxpVf3cOED1L=w408-h271-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:38.149Z,,
"https://www.google.com/maps/place/Stephen+Smith+%26+Company+PC,+CPA/data=!4m7!3m6!1s0x86282d686265cc75:0x897b24dbb07f76da!8m2!3d32.3310904!4d-90.1398091!16s%2Fg%2F11ddww9pnb!19sChIJdcxlYmgtKIYR2nZ_sNske4k","Stephen Smith & Company PC, CPA",5.0,1,Accountant,"1855 Crane Ridge Dr, Jackson, MS 39216, United States","8VJ6+C3 Jackson, Mississippi, USA",,+1 601-352-6767,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1SoCaekZdKg9K1ltEu0Wrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.83392&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:40.984Z,,
https://www.google.com/maps/place/Gilkey+Elite/data=!4m7!3m6!1s0x8628338f9c293c4f:0x9bc3bb6fc3e989a7!8m2!3d32.2981778!4d-90.2171847!16s%2Fg%2F1tcxq0r2!19sChIJTzwpnI8zKIYRp4npw2-7w5s,Gilkey Elite,4.1,9,Tax preparation service,"1151 AME Logan St, Jackson, MS 39203, United States","7QXM+74 Jackson, Mississippi, USA",,+1 769-572-7801,Closed ⋅ Opens 4 pm Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yLeg0-7_fXeHoBqKredaUg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.86905&pitch=0&thumbfov=100,true,Closed,4–7 pm,4–7 pm,4–7 pm,4–7 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:45.940Z,true,Identifies as women-owned
https://www.google.com/maps/place/Fas+Tax/data=!4m7!3m6!1s0x8628331ac3573e7b:0xaed7fbebb74fcf62!8m2!3d32.3230402!4d-90.1944468!16s%2Fg%2F1tg6qgxf!19sChIJez5XwxozKIYRYs9Pt-v7164,Fas Tax,4.1,19,Tax preparation service,"1823 Bailey Ave, Jackson, MS 39203, United States","8RF4+66 Jackson, Mississippi, USA",http://www.fastax.us/,+1 601-352-4556,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s1tBiDZvDI6Rsfcs7iFyvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.6399&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–12 am,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:51.064Z,,
https://www.google.com/maps/place/Premier+Tax/data=!4m7!3m6!1s0x862833f2115ad003:0xcd63f8f39f83f2ca!8m2!3d32.2832471!4d-90.2159488!16s%2Fg%2F12642tlb4!19sChIJA9BaEfIzKIYRyvKDn_P4Y80,Premier Tax,3.1,14,Accountant,"314 Raymond Rd suit b, Jackson, MS 39204, United States","7QMM+7J Jackson, Mississippi, USA",,+1 601-398-4373,"Closed ⋅ Opens 9 am Mon

Updated by phone call 1 week ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Js0l8uDa3EvXJGVOXSbi1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.65903&pitch=0&thumbfov=100,false,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–3 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:49:55.897Z,,
https://www.google.com/maps/place/Montgomery+Bivins/data=!4m7!3m6!1s0x86283262341a6c9d:0x9631700ff4a9db5!8m2!3d32.3078635!4d-90.1622173!16s%2Fg%2F1td6n056!19sChIJnWwaNGIyKIYRtZ1K_wAXYwk,Montgomery Bivins,5.0,1,Accountant,"860 E River Pl # 200, Jackson, MS 39202, United States","8R5Q+44 Jackson, Mississippi, USA",http://www.cpasllc.com/ebivins.html,+1 601-352-2036,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_EnzQG3mNRAjLs26alRQ-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.76505&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:50:00.847Z,,
"https://www.google.com/maps/place/Fred+Richards,+CPA/data=!4m7!3m6!1s0x8629d20a9df01e9b:0xb65900fd8d308898!8m2!3d32.4701328!4d-90.1266663!16s%2Fg%2F1vd768p6!19sChIJmx7wnQrSKYYRmIgwjf0AWbY","Fred Richards, CPA",5.0,4,Certified public accountant,"220 Waterford Square Suite A, Madison, MS 39110, United States","FVCF+38 Madison, Mississippi, USA",http://fredrichardscpa.com/,+1 601-605-8666,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XBUMwiMZb6GY3OjbFW89Ig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.3433&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-19T15:50:03.781Z,,
