placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,error,info
"https://www.google.com/maps/place/AC+Hotel+Waco+Downtown+Parking+Garage/@31.5575916,-97.1289922,14z/data=!4m6!3m5!1s0x864f83f1657f30ad:0x10ff3916109bd51c!8m2!3d31.5531282!4d-97.1307918!16s%2Fg%2F11w7ghfwqs",AC Hotel Waco Downtown Parking Garage,4.3,3,Parking garage,"625 Jackson Ave, Waco, TX 76701, United States","HV39+7M Waco, Texas, USA",https://www.marriott.com/en-us/hotels/actac-ac-hotel-waco-downtown/overview/?scid=feed67b0-9a2f-4de1-8df6-114544116108,+1 254-424-0364,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1m3qkdzfsXX2FKK4tSwwXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=318.09567&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-28T18:54:29.874Z,,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x864f830a7b0295b7:0xda83fb7c6172081d!8m2!3d31.5639363!4d-97.1247992!16s%2Fg%2F11xdgkc0fb!19sChIJt5UCewqDT4YRHQhyYXz7g9o,parkingmgt.com,,,Parking lot,"300 Taylor St, Waco, TX 76704, United States","HV7G+H3 Waco, Texas, USA",https://parkingmgt.com/convenient-parking-at-300-taylor-st-steps-from-waco-farmers-market-downtown-attractions/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9-QwIUfWRXZfrdXVgmLL0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.627777&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bellmead+Waco+TX/@31.5989517,-97.0894496,14z",2025-10-28T18:54:45.606Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x864f82b082275e11:0xaf879f60aadac221!8m2!3d31.6005165!4d-97.1058165!16s%2Fm%2F03nzqzl!19sChIJEV4ngrCCT4YRIcLaqmCfh68,Walmart Supercenter,4.0,5943,Department store,"1521 I-35, Bellmead, TX 76705, United States","JV2V+6M Bellmead, Texas, USA",https://www.walmart.com/store/1254-bellmead-tx/?veh=seo_loc,+1 254-867-8084,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxx02a--wuV70vMuOacmrewzLl26KceG-ksEbRWqhDzIV6Tc1zjgnW0IroFnmK1H65yx_z_l6uoat5lMcDoGY_o9BvMIYm88wiKNuI67-kYaAQXbWcWk6Jhkoh03HzygJHSGfg8R_fL_0ZC=w408-h725-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bellmead+Waco+TX/@31.5989517,-97.0894496,14z",2025-10-28T18:54:52.100Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,· In-store shopping · Kerbside pickup · Delivery,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x864f832978e6564b:0x64654fe2d0dc3002!8m2!3d31.5573899!4d-97.1354099!16s%2Fg%2F11ycy6pzf2!19sChIJS1bmeCmDT4YRAjDc0OJPZWQ,parkingmgt.com,,,Parking lot,"613 Columbus Ave, Waco, TX 76701, United States","HV47+XR Waco, Texas, USA",https://parkingmgt.com/convenient-parking-at-613-columbus-ave-easy-access-to-downtown-waco-nearby-attractions/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YO96dSaWk5Prg9B6yi2gTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.08887&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bellmead+Waco+TX/@31.5989517,-97.0894496,14z",2025-10-28T18:54:56.789Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x864f832bd8129e43:0x56b4b3c029b0d827!8m2!3d31.557207!4d-97.1356235!16s%2Fg%2F11xdgkg4p6!19sChIJQ54S2CuDT4YRJ9iwKcCztFY,parkingmgt.com,,,Parking lot,"625 Columbus Ave, Waco, TX 76701, United States","HV47+VQ Waco, Texas, USA",https://parkingmgt.com/convenient-parking-at-625-columbus-ave-easy-access-to-downtown-waco-nearby-attractions/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=54FI6tq2605sbJeX-eGi8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.78278&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Bellmead+Waco+TX/@31.5989517,-97.0894496,14z",2025-10-28T18:55:01.603Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
"https://www.google.com/maps/place/WPLS,+Waco+Parking+Lot+Striping/data=!4m7!3m6!1s0x864f830066f09f03:0xa101289ceb096fb6!8m2!3d31.5386872!4d-97.1226795!16s%2Fg%2F11lztrs86d!19sChIJA5_wZgCDT4YRtm8J65woAaE","WPLS, Waco Parking Lot Striping",5.0,1,Line marking service,"1724 S 12th St, Waco, TX 76706, United States","GVQG+FW Waco, Texas, USA",https://www.wacoparkinglotstriping.com/,+1 281-667-5453,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nQJd2RSyYyxskMYP8qqxZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.356857&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Woodway+Waco+TX/@31.5059998,-97.2050055,14z",2025-10-28T18:55:13.213Z,,,,,,,,,,
https://www.google.com/maps/place/Parking+Management+Company/data=!4m7!3m6!1s0x8644b58ece9e6077:0x8e60b66890778f30!8m2!3d30.2694284!4d-97.7484133!16s%2Fg%2F11pv26cb5m!19sChIJd2Cezo61RIYRMI93kGi2YI4,Parking Management Company,2.4,28,Public parking space,"583 W 6th St, Austin, TX 78701, United States","7792+QJ Austin, Texas, USA",https://parkingmgt.com/,+1 512-916-1111,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=szGWlB621P6Vqh6160Zb_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.91039&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Woodway+Waco+TX/@31.5059998,-97.2050055,14z",2025-10-28T18:55:18.084Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/ELITE+TRANSPORTATION/data=!4m7!3m6!1s0xa094a6bc40ef6323:0x2ef163375945c15c!8m2!3d32.219108!4d-96.902527!16s%2Fg%2F11w1k58v3h!19sChIJI2PvQLymlKARXMFFWTdj8S4,ELITE TRANSPORTATION,4.9,29,Transportation service,,,https://www.theelitetransportation.com/services,+1 254-349-4007,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNnI2Oa8AL5hW0EADy1pGLNGi-4R2dSKRLS0pkW=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Woodway+Waco+TX/@31.5059998,-97.2050055,14z",2025-10-28T18:55:23.090Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Bulldog+Auto+Detailing+in+Waco/data=!4m7!3m6!1s0x864f86aa58924063:0x48affb77c7e6e566!8m2!3d31.5125882!4d-97.1854205!16s%2Fg%2F11gfd4rbh_!19sChIJY0CSWKqGT4YRZuXmx3f7r0g,Bulldog Auto Detailing in Waco,4.9,309,Car detailing service,"5900 Franklin Av Service Rd Suite 2, Waco, TX 76710, United States","GR77+2R Waco, Texas, USA",https://bulldogautodetailing.com/?utm_source=gbp,+1 254-413-1714,"Open ⋅ Closes 5 pm

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPQcpgGtetHyqiFdvJZ3ktEwStd9GzuSwUeW6vp=w408-h726-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Woodway+Waco+TX/@31.5059998,-97.2050055,14z",2025-10-28T18:55:27.967Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,
https://www.google.com/maps/place/TxDot+Area+Engineer/data=!4m7!3m6!1s0x864f8130da020a1d:0x63ac635f57498299!8m2!3d31.4720105!4d-97.1783104!16s%2Fg%2F1tl8l3jk!19sChIJHQoC2jCBT4YRmYJJV19jrGM,TxDot Area Engineer,,,State government office,"7479 Bagby Ave, Woodway, TX 76712, United States","FRCC+RM Woodway, Texas, USA",https://www.txdot.gov/,+1 254-772-2890,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxTpdqQ05tQQyYpvLfFfww95_CLfJxc3BV1HVFzL7A_m-S_oBZ367GLRQl7SXTETBT95wouv2GtK1EsTVHn8zhtH8lKfB2aefGdjr1lHm6BX5Z42rqzM0o-SMppljXyiytp4qGchg=w408-h725-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Woodway+Waco+TX/@31.5059998,-97.2050055,14z",2025-10-28T18:55:30.813Z,,,,,,,,,,
