placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,error
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Fort+Collins/data=!4m7!3m6!1s0x87694af59874724d:0x98579458f324667b!8m2!3d40.5844359!4d-105.081945!16s%2Fg%2F1tgtfzyl!19sChIJTXJ0mPVKaYcRe2Yk81iUV5g,LifeStance Therapists & Psychiatrists Fort Collins,4.5,347,Mental health clinic,"320 W Olive St, Fort Collins, CO 80521, United States","HWM9+Q6 Fort Collins, Colorado, USA",https://lifestance.com/location/fort-collins-co-320-west-olive-street/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 970-310-3406,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMn68VcsNL0uQSIvHluxO70YcNHdsjcQxGh5N3R=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:21:52.306Z,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Fort+Collins/data=!4m7!3m6!1s0x87694bb6311d910d:0xea7169838f05b8aa!8m2!3d40.5853146!4d-105.0793955!16s%2Fg%2F11n0pqt00h!19sChIJDZEdMbZLaYcRqrgFj4Npceo,LifeStance Therapists & Psychiatrists Fort Collins,4.6,53,Mental health clinic,"215 W Oak St 4th Floor, Fort Collins, CO 80521, United States","HWPC+46 Fort Collins, Colorado, USA",https://lifestance.com/location/fort-collins-co-215-w-oak-st/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 970-632-1133,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNzCAlQw_LcqgC4ZF55WVgapbEZ0HkZRXR5OD97=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:21:58.199Z,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Fort+Collins/data=!4m7!3m6!1s0x87694b8855a7640b:0x2274034cfc7947c1!8m2!3d40.5874138!4d-105.0437781!16s%2Fg%2F11h7z15198!19sChIJC2SnVYhLaYcRwUd5_EwDdCI,LifeStance Therapists & Psychiatrists Fort Collins,4.8,107,Mental health clinic,"208 Racquette Dr, Fort Collins, CO 80524, United States","HXP4+XF Fort Collins, Colorado, USA",https://lifestance.com/location/fort-collins-co-208-racquette-drive/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 970-498-0709,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMesd-oFak9pr8jkwO9OkmtDwGwfgd-zmVTvayO=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:03.089Z,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Fort+Collins/data=!4m7!3m6!1s0x87694ad8896248a7:0xa536c4c197388a94!8m2!3d40.5718381!4d-105.0464969!16s%2Fg%2F11g8bbygrh!19sChIJp0hiidhKaYcRlIo4l8HENqU,LifeStance Therapists & Psychiatrists Fort Collins,4.6,160,Mental health clinic,"1537 Riverside Ave, Fort Collins, CO 80524, United States","HXC3+PC Fort Collins, Colorado, USA",https://lifestance.com/location/fort-collins-co-1537-riverside-avenue/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 970-549-2626,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMwtGQYIEC1aHvpcSwR66d0CgNBmfFb_CheAMAf=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:07.928Z,
"https://www.google.com/maps/place/Psychiatric+Services+of+The+Rockies+Josiah+Ziegler,+DO/data=!4m7!3m6!1s0x87694b173432e6b7:0x1d66ebd674162303!8m2!3d40.5748525!4d-105.056127!16s%2Fg%2F11wbttf_03!19sChIJt-YyNBdLaYcRAyMWdNbrZh0","Psychiatric Services of The Rockies Josiah Ziegler, DO",5.0,29,Mental health service,"1124 E Elizabeth St Building C, Fort Collins, CO 80524, United States","HWFV+WG Fort Collins, Colorado, USA",https://www.psychiatricservicesoftherockies.com/?utm_source=gmb_auth,+1 970-427-2473,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipMTeqZl0SwmuCy88zBj7L8suSW6zM-XEaIWkpVl=w408-h507-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:12.771Z,
https://www.google.com/maps/place/Health+District+Mental+Health+Connections/data=!4m7!3m6!1s0x87694a5de5109833:0xe814591ccf04041d!8m2!3d40.6072094!4d-105.0747696!16s%2Fg%2F1tf75_k2!19sChIJM5gQ5V1KaYcRHQQEzxxZFOg,Health District Mental Health Connections,5.0,1,Mental health service,"120 Bristlecone Dr, Fort Collins, CO 80524, United States","JW4G+V3 Fort Collins, Colorado, USA",http://www.healthdistrict.org/services/mental-health-connections,+1 970-221-5551,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipOuLulVQ31X-u5bIaHoOvE9WIyEWT0j9xHfkC9V=w408-h434-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:17.699Z,
https://www.google.com/maps/place/Wholeness+Center/data=!4m7!3m6!1s0x876eb4d38bedd631:0x291cf2044f9fa19f!8m2!3d40.5683044!4d-105.0279866!16s%2Fg%2F1tk4rnbs!19sChIJMdbti9O0bocRn6GfTwTyHCk,Wholeness Center,4.0,63,Mental health clinic,"2620 E Prospect Rd #190, Fort Collins, CO 80525, United States","HX9C+8R Fort Collins, Colorado, USA",http://www.wholeness.com/,+1 970-212-9120,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipNT6aeacb4x95pDoxR8Z7httGSxo0kg3Gj-vUQ4=w773-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:22.692Z,
https://www.google.com/maps/place/Solaris+Integrative+Psychiatry/data=!4m7!3m6!1s0x87694be7544c2319:0x7721ead00ce6ae25!8m2!3d40.570602!4d-105.0955422!16s%2Fg%2F11kqmxrhqp!19sChIJGSNMVOdLaYcRJa7mDNDqIXc,Solaris Integrative Psychiatry,5.0,7,Mental health clinic,"1302 S Shields St A2-4, Fort Collins, CO 80521, United States","HWC3+6Q Fort Collins, Colorado, USA",http://www.solarispsychiatry.com/,+1 970-676-3370,Closed · Opens 12 pm Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPCNV_7QWVCp4SDJVLyM8fnGDDCHQsd7m9yjEsx=w408-h306-k-no,true,12–8 pm,Closed,12–8 pm,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:27.438Z,
https://www.google.com/maps/place/Larson+Mental+Health/data=!4m7!3m6!1s0x876eb3c2fb8323a7:0xe58e6b589a8caf6a!8m2!3d40.532323!4d-105.0763922!16s%2Fg%2F11fvy3tp_r!19sChIJpyOD-8KzbocRaq-MmlhrjuU,Larson Mental Health,4.6,186,Mental health service,"155 Boardwalk Dr Suite 400, Fort Collins, CO 80525, United States","GWJF+WC Fort Collins, Colorado, USA",https://www.larsonmentalhealth.com/mental-health-treatment-colorado/medication-management-fort-collins,+1 970-540-4514,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM9Ry6mFUlFEV3KYVJUtvRQOQZs1tgf4ASApEKU=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:32.415Z,
https://www.google.com/maps/place/Family+Care+Center+Therapy+%26+Psychiatry+-+Fort+Collins/data=!4m7!3m6!1s0x87694b46c9a33799:0x2dc27edbbb84b0d!8m2!3d40.5419341!4d-105.0421452!16s%2Fg%2F11kq6svd8p!19sChIJmTejyUZLaYcRDUu4u-0n3AI,Family Care Center Therapy & Psychiatry - Fort Collins,4.7,113,Mental health clinic,"3351 Eastbrook Dr #200, Fort Collins, CO 80525, United States","GXR5+Q4 Fort Collins, Colorado, USA",https://fccwellbeing.com/clinic-locations/northern-colorado/fort-collins-temp-clinic/,+1 970-500-0164,"Closed · Opens 8 am Tue

Updated by this business 4 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOEtn-98FRQUys4_Yak2158svZjTEFsSI6_4-Th=w425-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2025-12-16T03:22:37.310Z,
