placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,error
https://www.google.com/maps/place/ABM/data=!4m7!3m6!1s0x8815e4f2a2bb4fa1:0x17024896f66162a3!8m2!3d41.0772746!4d-85.1377144!16s%2Fg%2F11f2gsmv1c!19sChIJoU-7ovLkFYgRo2Jh9pZIAhc,ABM,3.5,20,Parking garage,"100 E Washington Blvd, Fort Wayne, IN 46802, United States","3VG6+WW Fort Wayne, Indiana, USA",https://www.abm.com/,+1 260-427-1256,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgH_i18FjRG3S9ppk3PfGkSwCu5m-DR9wO76z0tWdFbu6tKQGLs7LCQ1yYLtOk7Wp0EIz-msb7Kx8LmQbNhvWg1TeroI9tSwcJ7pyA379XPs7PuzS9yEXSP8z2vkMYuQDygNTj=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:02.049Z,,,,,,,,
https://www.google.com/maps/place/520+West+Wayne+Street+Parking/data=!4m7!3m6!1s0x8815e4f53f2a1d4d:0xb91ca3bd2f2ae374!8m2!3d41.0773359!4d-85.146671!16s%2Fg%2F11f2gsz_b8!19sChIJTR0qP_XkFYgRdOMqL72jHLk,520 West Wayne Street Parking,1.0,1,Parking lot,"500-598 W Wayne St, Fort Wayne, IN 46802, United States","3VG3+W8 Fort Wayne, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uCFTTQwfBjyEORCt7fRcug&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.272484&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:06.100Z,,,,,,,,
https://www.google.com/maps/place/Lutheran+downtown+hospital+parking+700-798+W+Wayne+St+Garage/data=!4m7!3m6!1s0x8815e45f95040207:0x7013587c3deeb8b8!8m2!3d41.0771786!4d-85.1486363!16s%2Fg%2F11gd683vbt!19sChIJBwIElV_kFYgRuLjuPXxYE3A,Lutheran downtown hospital parking 700-798 W Wayne St Garage,3.0,2,Parking garage,"700-798 W Wayne St, Fort Wayne, IN 46802, United States","3VG2+VG Fort Wayne, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F_V750aNVa8n6YIFWIep5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.6928&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:08.947Z,,,,,,,,
https://www.google.com/maps/place/300-348+W+Main+St+Parking/data=!4m7!3m6!1s0x8815e48b140ac153:0x8e535e00115aba0e!8m2!3d41.0798795!4d-85.1442941!16s%2Fg%2F11f_p35bml!19sChIJU8EKFIvkFYgRDrpaEQBeU44,300-348 W Main St Parking,,,Parking lot,"300-348 W Main St, Fort Wayne, IN 46802, United States","3VH4+X7 Fort Wayne, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nQPvfWCSGcZGZXPGC7T7Nw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.04785&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:12.092Z,,,,,,,,
https://www.google.com/maps/place/Parking+Garage+1/data=!4m7!3m6!1s0x8815e34a94ff7c83:0x3179258aaad54911!8m2!3d41.1158901!4d-85.1079834!16s%2Fg%2F1hdz_7wwt!19sChIJg3z_lErjFYgREUnVqooleTE,Parking Garage 1,4.0,4,Parking garage,"Red Dr, Fort Wayne, IN 46815, United States","4V8R+9R Fort Wayne, Indiana, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOBXH9FOZgxQM9O6SNxYCSmK_W4i6PWzmF2KG1qIQaZa4KskzHUT9Xv6Tl0fezffVe-QFZy1C5Ykknw6lLSlI62NhIVrf-aljZCy-gJNge2CoDPkpjwHsjiZolXb4In5gkR7ZBoQ=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:15.211Z,,,,,,,,
https://www.google.com/maps/place/Fort+Wayne+Parking+Enforcement/data=!4m7!3m6!1s0x8815e48d01400355:0x990288a290964797!8m2!3d41.0788783!4d-85.1371594!16s%2Fg%2F1td7crlr!19sChIJVQNAAY3kFYgRl0eWkKKIApk,Fort Wayne Parking Enforcement,2.4,12,City government office,"200 E Berry St, Fort Wayne, IN 46802, United States","3VH7+H4 Fort Wayne, Indiana, USA",http://www.cityoffortwayne.org/,+1 260-427-1208,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6WkO6DugHLnrRzp3uSlX9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.1416&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:20.049Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x8815e519ef3e92f3:0x6fbf8183df980dad!8m2!3d41.0812346!4d-85.1423621!16s%2Fg%2F11nnp05hyx!19sChIJ85I-7xnlFYgRrQ2Y34OBv28,Public Parking,1.8,8,Parking lot,"600 S Harrison St, Fort Wayne, IN 46802, United States","3VJ5+F3 Fort Wayne, Indiana, USA",https://www.abm.com/parking-customers/,+1 260-427-1256,Closed ⋅ Opens 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEZQNWcbEXxU1xqUNhtp3XCTKIBV51ENpeXkbHjNCVQqqgKyczT20Ob1ICkvREcp12JdUR-4x5YCKa4ACqDDQLJpAqMmkoyVo7Dtb7smD2ExzvgkyF80Axjur89unc7MsB41w-=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-10-28T18:55:25.185Z,"12–6 am, 5 pm–12 am","12–6 am, 5 pm–12 am","12–6 am, 5 pm–12 am","12–6 am, 5 pm–12 am",Open 24 hours,Open 24 hours,5 pm–12 am,
https://www.google.com/maps/place/Parking/data=!4m7!3m6!1s0x8815e48cd2a8202f:0x4d40ebebb58ef330!8m2!3d41.0780679!4d-85.1410412!16s%2Fg%2F11mtc_5x_g!19sChIJLyCo0ozkFYgRMPOOtevrQE0,Parking,2.5,2,Parking lot,"S Harrison St, Fort Wayne, IN 46802, United States","3VH5+6H Fort Wayne, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8NVNbE1QCk8Ec-7obZSgjA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.11295&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Central+Neighborhood+Fort+Wayne+IN/@41.074006,-85.1507661,14z",2025-10-28T18:55:37.935Z,,,,,,,,
https://www.google.com/maps/place/742+N+Coliseum+Blvd+Parking/data=!4m7!3m6!1s0x8815fb427cad6ebf:0xfff4d48c268fb571!8m2!3d41.083121!4d-85.0863184!16s%2Fg%2F11f3sg7gk3!19sChIJv26tfEL7FYgRcbWPJozU9P8,742 N Coliseum Blvd Parking,3.3,4,Parking lot,"742 N Coliseum Blvd, Fort Wayne, IN 46815, United States","3WM7+6F Fort Wayne, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6GkhgXjkJvICi0ODavOGIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.94886&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Central+Neighborhood+Fort+Wayne+IN/@41.074006,-85.1507661,14z",2025-10-28T18:55:40.589Z,,,,,,,,
https://www.google.com/maps/place/Long+Term+Parking+Lot+%28Fort+Wayne+International+Airport+Parking%29/data=!4m7!3m6!1s0x8815ef2d751ba23d:0x5de65759c5faf056!8m2!3d40.9882194!4d-85.188688!16s%2Fg%2F11gd681yd0!19sChIJPaIbdS3vFYgRVvD6xVlX5l0,Long Term Parking Lot (Fort Wayne International Airport Parking),4.1,14,Parking lot,"3725-3925 W Ferguson Rd, Fort Wayne, IN 46809, United States","XRQ6+7G Fort Wayne, Indiana, USA",https://fwairport.com/fort-wayne-international/parking/,+1 260-747-3382,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzurX3ASGNtafDzcF_1VXiNC7BQqEjqvDbW5LD3fW0OHKRWDlrN36kmBCWoCbgMlTDagotH_eUBW0xRL1l-ZadiT3IosS07Iul-RlWyYe9UFo8Xo222jhZxcL_v6EYp2_z7Sduy=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Central+Neighborhood+Fort+Wayne+IN/@41.074006,-85.1507661,14z",2025-10-28T18:55:43.656Z,,,,,,,,
