placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,isBlackOwned,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes
https://www.google.com/maps/place/brain+core+gulfport+ms/data=!4m7!3m6!1s0x889c16fbede55555:0x2b7f321df74f25db!8m2!3d30.3927911!4d-89.0504427!16s%2Fg%2F11g8v4vzpn!19sChIJVVXl7fsWnIgR2yVP9x0yfys,brain core gulfport ms,,,Alternative medicine practitioner,"38 Pass Rd, Gulfport, MS 39507, United States","9WVX+4R Gulfport, Mississippi, USA",,+1 228-865-4728,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8YJXzVy1Jd9MrJIX7QbOxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.04352&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:15.648Z,,,,,,,,,,
"https://www.google.com/maps/place/Olivia+S.+Moran,+PA-C/data=!4m7!3m6!1s0x889c3f9936624f6f:0xf09594aa33802217!8m2!3d30.470053!4d-89.100192!16s%2Fg%2F11v06zb69r!19sChIJb09iNpk_nIgRFyKAM6qUlfA","Olivia S. Moran, PA-C",5.0,155,Medical spa,"15429 Oneal Rd, Gulfport, MS 39503, United States","FVCX+2W Gulfport, Mississippi, USA",https://www.drshannonwellness.com/olivia-s-moran-pa-c/,+1 228-831-1785,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMjxYpIbB9yYBHMT3ZRRjAME4iQD23AO_byIa4B=w408-h500-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:22.108Z,LGBTQ+ friendly,true,9 am–7 pm,9 am–4 pm,7:30 am–3 pm,Closed,9 am–4 pm,8 am–2 pm,Closed,
"https://www.google.com/maps/place/Steven+L.+Miller,+DC/data=!4m7!3m6!1s0x889c3b42ef34824b:0x1db0f2ef09800f45!8m2!3d30.3497267!4d-89.1505283!16s%2Fg%2F1tdc5_r5!19sChIJS4I070I7nIgRRQ-ACe_ysB0","Steven L. Miller, DC",4.9,45,Chiropractor,"125 Jeff Davis Ave, Long Beach, MS 39560, United States","8RXX+VQ Long Beach, Mississippi, USA",http://www.millerwhitmerfamilychiropractic.com/,+1 228-868-8885,Open · Closes 1 pm · Reopens 2 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RDV9e9HHemqJYm0dFmndPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=53.336212&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:27.719Z,,,"9 am–1 pm, 2–5 pm","9 am–1 pm, 2–5 pm","9 am–1 pm, 2–5 pm","9 am–1 pm, 2–5 pm","9 am–1 pm, 2–5 pm",Closed,Closed,
https://www.google.com/maps/place/Doctor%27s+Nutrition/data=!4m7!3m6!1s0x889c171d903e953d:0x7fc913c0cf7be293!8m2!3d30.3958838!4d-89.0262357!16s%2Fg%2F1tvm3k0h!19sChIJPZU-kB0XnIgRk-J7z8ATyX8,Doctor's Nutrition,4.9,64,Vitamin & supplements store,"721 Cowan Rd, Gulfport, MS 39507, United States","9XWF+9G Gulfport, Mississippi, USA",http://www.doctorsnutrition.com/,+1 228-897-0070,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMPsehkGeatnKU6O5oZjo5kwUQgER88Y7mt6Do7=w408-h271-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:33.879Z,,,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,11 am–2 pm,Closed,· In-store shopping · Kerbside pickup
"https://www.google.com/maps/place/ADD+Clinics,+Stan+Owen,+MD/data=!4m7!3m6!1s0x889c3d65d0beedd3:0xe6e66819bf975afd!8m2!3d30.3697793!4d-89.1019279!16s%2Fg%2F1tf5lf97!19sChIJ0-2-0GU9nIgR_VqXvxlo5uY","ADD Clinics, Stan Owen, MD",4.7,49,Doctor,"3300 15th St, Gulfport, MS 39501, United States","9V9X+W6 Gulfport, Mississippi, USA",http://addclinics.com/,+1 228-864-9669,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepkwXELsRpdKxx7_2ZaywuvqUqXoZKw0doapZMa8y9LxZ-cAq4wKQ-ipDgaFRQVZFiZ11xgaa4TNb3BQG5cFD_NCBvtLRHqpydD-Kh8c4G7_WYzEcdwV3obbkTfuiSoJCXGQJfCJry_-eDC=w408-h544-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:39.814Z,,,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,
https://www.google.com/maps/place/Pause+Pain+%26+Wellness/data=!4m7!3m6!1s0x889c1728105405b9:0x8f46f9d0ce6dff31!8m2!3d30.3805631!4d-89.089281!16s%2Fg%2F11sk8c7yn0!19sChIJuQVUECgXnIgRMf9tztD5Ro8,Pause Pain & Wellness,5.0,20,Medical clinic,"2210 Pass Rd B, Gulfport, MS 39501, United States","9WJ6+67 Gulfport, Mississippi, USA",https://pausethepain.com/,+1 833-940-5060,Temporarily closed,https://lh3.googleusercontent.com/p/AF1QipMa_0Z45uy6OTwSvKBqs8TU2iAmKraGeQ9ff_zt=w408-h408-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:45.679Z,LGBTQ+ friendly,,,,,,,,,
https://www.google.com/maps/place/Kaya+Life:+Cannabis+Clinicians+-+Gulfport/data=!4m7!3m6!1s0x889c178b26ace7cb:0x49a1f11fe695f6cf!8m2!3d30.3676976!4d-89.0916937!16s%2Fg%2F11sb0m8966!19sChIJy-esJosXnIgRz_aV5h_xoUk,Kaya Life: Cannabis Clinicians - Gulfport,4.9,152,Holistic medicine practitioner,"1317 24th Ave B, Gulfport, MS 39501, United States","9W95+38 Gulfport, Mississippi, USA",https://www.thekayalife.com/,+1 228-285-0128,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMwnnE71LuxwwRhdAsNi4Fw2lA2D0qnwEE_6ddW=w420-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:51.482Z,LGBTQ+ friendly,,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,
https://www.google.com/maps/place/Wellness+Wag/data=!4m7!3m6!1s0x889c1765dea233db:0xac4045134667de5c!8m2!3d30.4014721!4d-89.0260542!16s%2Fg%2F11ymm9xn4f!19sChIJ2zOi3mUXnIgRXN5nRhNFQKw,Wellness Wag,5.0,2,Alternative medicine practitioner,"1110 Cowan Rd B, Gulfport, MS 39507, United States","CX2F+HH Gulfport, Mississippi, USA",https://wellnesswag.com/?utm_source=google&utm_medium=gmb,+1 415-570-7864,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNOsJr8a-SENqOdKJqq9fppOKR9kALpC33f7Jn2=w426-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:01:57.442Z,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/HARDIN+SPORTS+MEDICINE+CHIROPRACTIC+%26+PERFORMANCE/data=!4m7!3m6!1s0x889c17319d141e5f:0x43655e3706638146!8m2!3d30.3860992!4d-89.0438363!16s%2Fg%2F11hdg0s5nq!19sChIJXx4UnTEXnIgRRoFjBjdeZUM,HARDIN SPORTS MEDICINE CHIROPRACTIC & PERFORMANCE,4.9,59,Chiropractor,"419 Security Square, Gulfport, MS 39507, United States","9XP4+CF Gulfport, Mississippi, USA",https://www.hardinsportsmed.com/,+1 228-241-1000,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPpzXATy_tO2htBeQSgn-y4i5JQph4_UtqaoCeQ=w426-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:02:03.092Z,,,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,8 am–12 pm,Closed,Closed,
https://www.google.com/maps/place/Spencer+Chiropractic+and+Neuropathy/data=!4m7!3m6!1s0x889c16fbee05c38b:0x98298233c83ae57e!8m2!3d30.3927483!4d-89.0505004!16s%2Fg%2F1tfl0_9q!19sChIJi8MF7vsWnIgRfuU6yDOCKZg,Spencer Chiropractic and Neuropathy,4.9,162,Chiropractor,"38 Pass Rd suite c, Gulfport, MS 39507, United States","9WVX+3Q Gulfport, Mississippi, USA",https://www.spencerchiropractic.com/,+1 228-575-8660,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPo0n5MkMxGEXZxT8dBlLdrLsrGV7urzDC0iJgT=w426-h240-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-02-23T17:02:08.359Z,,,8 am–5 pm,8 am–5 pm,8 am–4 pm,8 am–5 pm,Closed,Closed,Closed,
