placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Fayetteville+Vascular+and+Vein+Center/data=!4m7!3m6!1s0x89ab149b8ac231c9:0x9c1f916effa44187!8m2!3d35.0299078!4d-78.9345114!16s%2Fg%2F1hc1m9_8d!19sChIJyTHCipsUq4kRh0Gk_26RH5w,Fayetteville Vascular and Vein Center,2.9,14,Vascular surgeon,"3410 Village Dr suite 200, Fayetteville, NC 28304, United States","23H8+X5 Fayetteville, North Carolina, USA",http://www.fayettevillevascular.com/,+1 910-401-0202,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMiFkhe2VmVepkq6-L6k-OXkggjAmHljQzwzf7W=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:03.435Z,,,
https://www.google.com/maps/place/Cape+Fear+Valley+Heart+%26+Vascular+Center/data=!4m7!3m6!1s0x89ab149e5ddd6beb:0x645cf73a7158566f!8m2!3d35.0316755!4d-78.9316493!16s%2Fg%2F1tfrc0_n!19sChIJ62vdXZ4Uq4kRb1ZYcTr3XGQ,Cape Fear Valley Heart & Vascular Center,4.8,29,Heart hospital,"1638 Owen Dr, Fayetteville, NC 28304, United States","23J9+M8 Fayetteville, North Carolina, USA",https://www.capefearvalley.com/locations/cape-fear-valley-heart-vascular-center,+1 910-615-8260,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLVfp8t_am6SzeTro7dlRDZLSTFjfu6n4t8pCD1XPUoyzd9SKemDbCgwSCV0Lh7YzITecvwmNz6Tb-SipkVRaj3d-7jWT-c4XBPI2IumrQkU_x92IyJkhQ_weVra_-m1UgexBr3Q=w408-h530-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:06.537Z,,,
https://www.google.com/maps/place/Valley+Cardiology+Vascular+Clinic/data=!4m7!3m6!1s0x89ab154bb04940b7:0x592ea28ac1389ebb!8m2!3d35.0370616!4d-78.9396954!16s%2Fg%2F11slkfmgrr!19sChIJt0BJsEsVq4kRu544wYqiLlk,Valley Cardiology Vascular Clinic,3.9,55,Medical clinic,"3656 Cape Center Dr, Fayetteville, NC 28304, United States","23P6+R4 Fayetteville, North Carolina, USA",https://www.valleycardiologyvascularclinic.com/,+1 910-321-1012,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyS_Sd3S2KWWEfIkhlUt99Vva0PJOxZlctzSQF0yLE1srkPHKTK5mr3a9ZRbGiYiwZi-NmrUO5TXKzA10Sy3D7iKTjeqm6zCfEfjtJs7urH3p2FvJYw5G3QPPwFug0Y0dl9npDfeQ=w408-h544-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:11.926Z,,,
https://www.google.com/maps/place/Carolina+Heart+%26+Leg+Center/data=!4m7!3m6!1s0x89ab149862833b5d:0xd16f58ea6c305c27!8m2!3d35.0362109!4d-78.9372585!16s%2Fg%2F1s04hsjnx!19sChIJXTuDYpgUq4kRJ1wwbOpYb9E,Carolina Heart & Leg Center,4.2,139,Medical clinic,"3637 Cape Center Dr, Fayetteville, NC 28304, United States","23P7+F3 Fayetteville, North Carolina, USA",https://www.carolinaheartandleg.com/?utm_source=gmb_auth,+1 910-491-1760,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOERVCx8-jaX6v1JRIqqn70W3OMBYg3AUOmIh0cPp71gVr7kidcX3E7nQgi5RAZZBE4yqEChec_-a_wx10jIBLDsbs1X6SoHr9SXeAe4gF_qxGBDTxBdEoZvCTZbgmPfG_YpkD=w408-h725-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:16.873Z,,,
https://www.google.com/maps/place/Elan+Med+Spa/data=!4m7!3m6!1s0x89ab155180bb195b:0x5640dfbb8da68d2!8m2!3d35.0603651!4d-79.011005!16s%2Fg%2F125_yg1qt!19sChIJWxm7gFEVq4kR0mjauPsNZAU,Elan Med Spa,4.9,120,Medical spa,"6415 Brookstone Ln #103, Fayetteville, NC 28314, United States","3X6Q+4H Fayetteville, North Carolina, USA",http://elanmedspa.com/,+1 910-484-3526,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNfVpo0Vg1VUeNE6VSfYPiP7x9KPMbdH3VIt4JC=w408-h342-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–2 pm,10 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:21.721Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Hope+Mills+Medical+Clinic/data=!4m7!3m6!1s0x89ab16a4d4f9e4eb:0x546cf6e611d66d80!8m2!3d34.9704793!4d-78.946187!16s%2Fg%2F1tpf7_cf!19sChIJ6-T51KQWq4kRgG3WEeb2bFQ,Hope Mills Medical Clinic,2.4,63,Medical clinic,"3758 S Main St, Hope Mills, NC 28348, United States","X3C3+5G Hope Mills, North Carolina, USA",http://www.clinicshere.com/hope-mills-medical-clinic-hope-mills-nc/,+1 910-429-0647,"Closes soon · 5 pm · Opens 8 am Wed

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQHaf9OCpyz-Uf4UnZmqUW6JdAtCqA--zkQuTPETN03w-X6PzP-d7WH1FUTOlbwOc3PeW-woCK_GbcEOomQ0gJ1ch7P18yDihlTRYeyoQf1jvdQ9aA-qTOTmPtNmXPWWbdjT11iVFFPRI=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–6 pm,8 am–5 pm,Closed,Closed,8 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:26.787Z,,,
https://www.google.com/maps/place/Cape+Fear+Valley+Vascular+Specialists/data=!4m7!3m6!1s0x89ab14a1f9c8b3cf:0x2cc82a65a060d665!8m2!3d35.0375403!4d-78.934199!16s%2Fg%2F1tf08jcs!19sChIJz7PI-aEUq4kRZdZgoGUqyCw,Cape Fear Valley Vascular Specialists,3.7,16,Vascular surgeon,"1251 Oliver St, Fayetteville, NC 28304, United States","23Q8+28 Fayetteville, North Carolina, USA",https://www.capefearvalley.com/locations/cape-fear-valley-vascular-specialists,+1 910-822-6587,Closes soon · 5 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XkFXhTBHT_-4RWma9oAQOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.43988&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:31.764Z,,,
https://www.google.com/maps/place/FastMed+Urgent+Care/data=!4m7!3m6!1s0x89ab15fef74b631b:0xdebfe66b203ecc5c!8m2!3d34.9814089!4d-79.0136833!16s%2Fg%2F1hhhmrdnm!19sChIJG2NL9_4Vq4kRXMw-IGvmv94,FastMed Urgent Care,4.3,1780,Urgent care center,"3007 Town Center Dr #100, Fayetteville, NC 28306, United States","XXJP+HG Fayetteville, North Carolina, USA",https://www.fastmed.com/urgent-care-centers/fayetteville-nc-walk-in-clinic-hope-mills,+1 910-354-1281,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIkRDxWRxiWajLSS6HkA8Pi0dHH2SrLyGa9lZ8b_DBdO8jRq2ZPkK6TsJvVO8gyqEqkrCZKfBy9ZRRKRznexJBclUnWultNTxWnl7b_Iip3GinBxmMjIK4h0uX-mWojLDPxE4=w408-h536-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–4 pm,8 am–4 pm,8 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:36.931Z,,,
https://www.google.com/maps/place/Cape+Fear+Aesthetics/data=!4m7!3m6!1s0x89ab13412bfabf95:0x227b83806a002e6d!8m2!3d35.039607!4d-78.909331!16s%2Fg%2F1hjgnkln_!19sChIJlb_6K0ETq4kRbS4AaoCDeyI,Cape Fear Aesthetics,4.9,811,Plastic surgery clinic,"2053 Valleygate Dr #102b, Fayetteville, NC 28304, United States","23QR+R7 Fayetteville, North Carolina, USA",http://capefearaesthetics.com/,+1 910-323-3757,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipM1y6AnV1TErbmCyTUDe9H9lxVler5dUBFufND4=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:41.915Z,Identifies as veteran-owned,true,
https://www.google.com/maps/place/Hope+Mills+Mounjaro+Absolute+Ideal+Clinic/data=!4m7!3m6!1s0x4b207ea7be891f71:0xc317df45ac44d3c8!8m2!3d34.9943329!4d-78.9224765!16s%2Fg%2F11x5v7jh6j!19sChIJcR-Jvqd-IEsRyNNErEXfF8M,Hope Mills Mounjaro Absolute Ideal Clinic,,,Medical clinic,"3500 Legion Rd, Hope Mills, NC 28348, United States","X3VH+P2 Hope Mills, North Carolina, USA",https://weightoff.space/wof61,,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qdG9rnX-3xuQner9xUoR_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.89255&pitch=0&thumbfov=100,false,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2025-12-16T21:59:46.451Z,,,
